case_id,u_par,C_rate,SOC
1,23.395,0.0,0.193
2,28.782,0.0,0.261
3,15.352,0.0,0.116
4,21.613,0.0,0.725
5,18.72,0.0,0.554
6,17.599,0.0,0.495
7,5.149,0.0,0.14
8,18.548,0.0,0.428
9,4.521,0.0,0.01
10,0.133,0.0,0.485
11,4.423,0.0,0.668
12,7.037,0.0,0.523
13,18.922,0.0,0.764
14,1.791,0.0,0.782
15,25.325,0.0,0.676
16,3.066,0.0,0.259
17,10.278,0.0,0.107
18,10.769,0.0,0.978
19,1.419,0.0,0.365
20,18.147,0.0,0.746
21,6.44,0.0,0.821
22,19.52,0.0,0.289
23,8.725,0.0,0.347
24,29.656,0.0,0.39
25,22.223,0.0,0.204
26,26.886,0.0,0.71
27,27.43,0.0,0.89
28,29.869,0.0,0.472
29,20.653,0.0,0.833
30,21.979,0.0,0.148
31,27.168,0.0,0.17
32,10.11,0.0,0.055
33,24.151,0.0,0.403
34,5.674,0.0,0.861
35,15.645,0.0,0.535
36,16.133,0.0,0.17
37,13.366,0.0,0.128
38,19.814,0.0,0.009
39,28.816,0.0,0.461
40,26.063,0.0,0.378
41,7.451,0.0,0.397
42,20.844,0.0,0.798
43,7.796,0.0,0.755
44,25.546,0.0,0.028
45,9.287,0.0,0.915
46,8.609,0.0,0.319
47,3.637,0.0,0.071
48,12.052,0.0,0.335
49,2.176,0.0,0.064
50,21.483,0.0,0.902
51,0.558,0.0,0.09
52,21.096,0.0,0.936
53,1.102,0.0,0.857
54,24.412,0.0,0.039
55,10.86,0.0,0.628
56,12.506,0.0,0.604
57,24.97,0.0,0.645
58,26.387,0.0,0.816
59,12.84,0.0,0.846
60,5.959,0.0,0.998
61,2.681,0.0,0.227
62,28.015,0.0,0.241
63,13.69,0.0,0.955
64,8.397,0.0,0.154
65,26.547,0.0,0.36
66,4.959,0.0,0.585
67,17.876,0.0,0.738
68,16.343,0.0,0.435
69,2.942,0.0,0.541
70,3.359,0.0,0.295
71,29.2,0.0,0.804
72,14.614,0.0,0.697
73,9.52,0.0,0.189
74,24.824,0.0,0.217
75,22.68,0.0,0.097
76,6.22,0.0,0.714
77,23.533,0.0,0.93
78,27.826,0.0,0.3
79,9.865,0.0,0.988
80,4.091,0.0,0.456
81,14.955,0.0,0.329
82,11.233,0.0,0.442
83,20.308,0.0,0.637
84,17.203,0.0,0.656
85,0.831,0.0,0.564
86,13.929,0.0,0.416
87,28.278,0.0,0.505
88,11.476,0.0,0.236
89,23.977,0.0,0.941
90,1.935,0.0,0.969
91,16.628,0.0,0.518
92,13.093,0.0,0.571
93,11.97,0.0,0.592
94,14.147,0.0,0.271
95,15.142,0.0,0.687
96,16.88,0.0,0.894
97,6.692,0.0,0.873
98,23.036,0.0,0.046
99,7.841,0.0,0.617
100,19.403,0.0,0.78
