Complexity,Loss,Equation
1,9.241747,"2.7557952"
3,8.073825,"x0 * -4.8622837"
4,3.0307083,"19.2498 / sqrt(x1)"
5,2.318412,"144.33658 / (x1 - -8.411147)"
6,0.87251985,"(x0 * -33.930984) / sqrt(x1)"
7,0.04272642,"(x0 / (x1 + 8.420534)) * -253.4511"
9,0.0426665,"((x0 * -255.23154) - 1.7299708) / (x1 + 8.359223)"
10,0.037638187,"x0 * (-216.79077 / ((x1 + 8.460295) - sqrt(x1)))"
11,0.03086611,"x0 * (-244.11644 / ((1.3721509 / x1) + (x1 + 7.298878)))"
13,0.029078647,"((-238.9143 / ((x1 - (-1.4193847 / x1)) + 7.085959)) - 0.09715341) * x0"
14,0.026113855,"((-173.4051 / ((7.445098 + x1) - (sqrt(x1) * 1.4955842))) + -0.482294) * x0"
18,0.025994828,"(x0 * -0.51878476) + (x0 * (-172.23401 / ((x1 + 7.1530104) - sqrt((x1 + -0.40993983) + x1))))"
