Complexity,Loss,Equation
1,1.9120036,"3.3909764"
3,0.090781756,"x2 - x3"
4,0.078211315,"square(x1) - x3"
6,0.065082856,"x1 - (cube(x0) + x3)"
7,0.06489399,"0.92907524 - ((x3 + x0) * 1.0647783)"
8,0.058423966,"0.5341447 - ((x3 * 1.059032) + cube(x0))"
9,0.05825956,"0.78222257 - (square(square(x0 + 0.109521694)) + x3)"
10,0.05724357,"0.78222257 - ((x3 + cube(x0)) + square(cube(x0)))"
11,0.035185993,"((x1 * -50.516083) + (54.609238 - x3)) - (x0 * 30.291958)"
13,0.030003758,"(x1 * -50.516083) + ((54.609238 - x3) - ((x0 + x4) * 30.291958))"
15,0.024536123,"(x1 * -68.166985) + ((73.0467 - x3) - ((x4 + x0) * (40.78591 - x1)))"
