% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 1 2026, 11:40
% Dimension:          0
% Nodes:              15406
% Expressions:        5
% Description:        Point Probe 1, , , , Open-circuit cell voltage
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)
0.6                       2.8                      0                        4.21934680634613         13.939003406172171       4.58484230444356E7       -8.623950233281493E-7    4.32499526325124
0.6                       2.8                      2                        4.165714137459246        13.939003406172171       4.46503114869812E7       -8.623950233281493E-7    4.320263251239875
0.6                       2.8                      4                        4.14789774155854         13.939003406172171       4.345100059881952E7      -8.623950233281493E-7    4.31552650247975
0.6                       2.8                      6                        4.13379125245569         13.939003406172171       4.225168971065431E7      -8.623950233281493E-7    4.310789753719624
0.6                       2.8                      8                        4.122084639444644        13.939003406172171       4.105237882249457E7      -8.623950233281493E-7    4.3060530049595
0.6                       2.8                      10                       4.11200571078288         13.939003406172171       3.985306793433039E7      -8.623950233281493E-7    4.301316256199375
0.6                       2.8                      12                       4.103122856310137        13.939003406172171       3.865375704616906E7      -8.623950233281493E-7    4.296589925021715
0.6                       2.8                      14                       4.095217976847711        13.939003406172171       3.745444615801092E7      -8.623950233281493E-7    4.291867038218933
0.6                       2.8                      16                       4.088067010821176        13.939003406172171       3.625513526984893E7      -8.623950233281493E-7    4.287144151416148
0.6                       2.8                      18                       4.08150911062349         13.939003406172171       3.5055824381684594E7     -8.623950233281493E-7    4.2824212646133635
0.6                       2.8                      20                       4.075422918829705        13.939003406172171       3.385651349352309E7      -8.623950233281493E-7    4.27769837781058
0.6                       2.8                      22                       4.069704383373299        13.939003406172171       3.2657202605362196E7     -8.623950233281493E-7    4.272975491007796
0.6                       2.8                      24                       4.064270017337291        13.939003406172171       3.1457891717200927E7     -8.623950233281493E-7    4.268252604205012
0.6                       2.8                      26                       4.059160730380083        13.939003406172171       3.0258580829038557E7     -8.623950233281493E-7    4.264757368547237
0.6                       2.8                      28                       4.0544256323221575       13.939003406172171       2.9059269940874767E7     -8.623950233281493E-7    4.262357611089463
0.6                       2.8                      30                       4.050021503187945        13.939003406172171       2.7859959052711718E7     -8.623950233281493E-7    4.259957853631687
0.6                       2.8                      32                       4.045902882679882        13.939003406172171       2.6660648164550513E7     -8.623950233281493E-7    4.257558096173913
0.6                       2.8                      34                       4.042070123600821        13.939003406172171       2.5461337276391152E7     -8.623950233281493E-7    4.2551583387161385
0.6                       2.8                      36                       4.038473386535926        13.939003406172171       2.4262026388228133E7     -8.623950233281493E-7    4.252758581258363
0.6                       2.8                      38                       4.035130140966208        13.939003406172171       2.3062715500066016E7     -8.623950233281493E-7    4.25035882380059
0.6                       2.8                      40                       4.032028448995658        13.939003406172171       2.186340461190394E7      -8.623950233281493E-7    4.247959066342815
0.6                       2.8                      42                       4.029109990550872        13.939003406172171       2.0664093723742742E7     -8.623950233281493E-7    4.245564542979621
0.6                       2.8                      44                       4.026162017933324        13.939003406172171       1.9464782835580606E7     -8.623950233281493E-7    4.2431730070819444
0.6                       2.8                      46                       4.023268120101281        13.939003406172171       1.826547194741895E7      -8.623950233281493E-7    4.240781471184269
0.6                       2.8                      48                       4.020410985847671        13.939003406172171       1.7066161059257563E7     -8.623950233281493E-7    4.238389935286591
0.6                       2.8                      50                       4.017594816333184        13.939003406172171       1.586685017109445E7      -8.623950233281493E-7    4.235998399388915
0.6                       2.8                      52                       4.0148066634603765       13.939003406172171       1.466753928293344E7      -8.623950233281493E-7    4.2336068634912385
0.6                       2.8                      54                       4.012051662873993        13.939003406172171       1.3468228394772783E7     -8.623950233281493E-7    4.231215327593562
0.6                       2.8                      56                       4.009329814574033        13.939003406172171       1.2268917506609634E7     -8.623950233281493E-7    4.228824320814741
0.6                       2.8                      58                       4.006639442038543        13.939003406172171       1.1069606618449155E7     -8.623950233281493E-7    4.226439467068302
0.6                       2.8                      60                       4.0039717920905495       13.939003406172171       9870295.730287466        -8.623950233281493E-7    4.224054613321862
0.6                       2.8                      62                       4.0013328195505045       13.939003406172171       8670984.842126649        -8.623950233281493E-7    4.2216697595754225
0.6                       2.8                      64                       3.998722524418405        13.939003406172171       7471673.953964178        -8.623950233281493E-7    4.2192849058289825
0.6                       2.8                      66                       3.9961392605975106       13.939003406172171       6272363.065801986        -8.623950233281493E-7    4.216900052082543
0.6                       2.8                      68                       3.993568952961998        13.939003406172171       5073052.177639134        -8.623950233281493E-7    4.2145151983361036
0.6                       2.8                      70                       3.991020765543769        13.939003406172171       3873741.2894771285       -8.623950233281493E-7    4.212130344589664
0.6                       2.8                      72                       3.988494698342825        13.939003406172171       2674430.401315726        -8.623950233281493E-7    4.2097484150791304
0.6                       2.8                      74                       3.9859899754039496       13.939003406172171       1475119.5131541465       -8.623950233281493E-7    4.2073691661359005
0.6                       2.8                      76                       3.9834927549334327       13.939003406172171       275808.62499132723       -8.623950233281493E-7    4.20498991719267
0.6                       2.8                      78                       3.9810117153128592       13.939003406172171       -923502.263169436        -8.623950233281493E-7    4.202610668249441
0.6                       2.8                      80                       3.9785468565422284       13.939003406172171       -2122813.1513321833      -8.623950233281493E-7    4.20023141930621
0.6                       2.8                      82                       3.9760981323885627       13.939003406172171       -3322124.0394935436      -8.623950233281493E-7    4.197852170362981
0.6                       2.8                      84                       3.973656940566696        13.939003406172171       -4521434.927654553       -8.623950233281493E-7    4.19547292141975
0.6                       2.8                      86                       3.9712284997478333       13.939003406172171       -5720745.815817701       -8.623950233281493E-7    4.193093672476521
0.6                       2.8                      88                       3.968812809931975        13.939003406172171       -6920056.703978769       -8.623950233281493E-7    4.19071906696415
0.6                       2.8                      90                       3.9664098711191205       13.939003406172171       -8119367.592140357       -8.623950233281493E-7    4.1883446334040455
0.6                       2.8                      92                       3.964038496605361        13.939003406172171       -9318678.48030355        -8.623950233281493E-7    4.185970199843941
0.6                       2.8                      94                       3.9616885800917445       13.939003406172171       -1.0517989368464291E7    -8.623950233281493E-7    4.183595766283836
0.6                       2.8                      96                       3.959359326705535        13.939003406172171       -1.1717300256626558E7    -8.623950233281493E-7    4.18122133272373
0.6                       2.8                      98                       3.9570507364467318       13.939003406172171       -1.2916611144787632E7    -8.623950233281493E-7    4.178846899163625
0.6                       2.8                      100                      3.9547624489662234       13.939003406172171       -1.4115922032949746E7    -8.623950233281493E-7    4.176472465603521
0.6                       2.8                      102                      3.9524946271504238       13.939003406172171       -1.5315232921112578E7    -8.623950233281493E-7    4.174099741529702
0.6                       2.8                      104                      3.9502473054287854       13.939003406172171       -1.6514543809272705E7    -8.623950233281493E-7    4.171729509785686
0.6                       2.8                      106                      3.9480204838013075       13.939003406172171       -1.7713854697436526E7    -8.623950233281493E-7    4.169359278041671
0.6                       2.8                      108                      3.945820162181732        13.939003406172171       -1.891316558559852E7     -8.623950233281493E-7    4.166989046297655
0.6                       2.8                      110                      3.943644207673886        13.939003406172171       -2.0112476473760772E7    -8.623950233281493E-7    4.1646188145536405
0.6                       2.8                      112                      3.9414916857643045       13.939003406172171       -2.13117873619214E7      -8.623950233281493E-7    4.1622485828096245
0.6                       2.8                      114                      3.9393625964529866       13.939003406172171       -2.2511098250082582E7    -8.623950233281493E-7    4.1598783510656085
0.6                       2.8                      116                      3.93725969456088         13.939003406172171       -2.3710409138244595E7    -8.623950233281493E-7    4.1575081193215935
0.6                       2.8                      118                      3.9351823048722974       13.939003406172171       -2.490972002640702E7     -8.623950233281493E-7    4.1551410279286465
0.6                       2.8                      120                      3.9331298092631326       13.939003406172171       -2.610903091456914E7     -8.623950233281493E-7    4.153071900858224
0.6                       2.8                      122                      3.9311022077333844       13.939003406172171       -2.7308341802730557E7    -8.623950233281493E-7    4.151293299945233
0.6                       2.8                      124                      3.929063264936897        13.939003406172171       -2.8507652690893356E7    -8.623950233281493E-7    4.149514699032241
0.6                       2.8                      126                      3.92701724267735         13.939003406172171       -2.970696357905511E7     -8.623950233281493E-7    4.14773609811925
0.6                       2.8                      128                      3.9249751343269974       13.939003406172171       -3.0906274467218187E7    -8.623950233281493E-7    4.1459574972062585
0.6                       2.8                      130                      3.92293693988584         13.939003406172171       -3.210558535537847E7     -8.623950233281493E-7    4.144178896293267
0.6                       2.8                      132                      3.9209024981598963       13.939003406172171       -3.3304896243540112E7    -8.623950233281493E-7    4.142401247016505
0.6                       2.8                      134                      3.9188718040966553       13.939003406172171       -3.450420713170209E7     -8.623950233281493E-7    4.1406259056701185
0.6                       2.8                      136                      3.916844921435816        13.939003406172171       -3.570351801986413E7     -8.623950233281493E-7    4.138850564323732
0.6                       2.8                      138                      3.9148218501773786       13.939003406172171       -3.6902828908026055E7    -8.623950233281493E-7    4.137075222977346
0.6                       2.8                      140                      3.912802418292856        13.939003406172171       -3.810213979618847E7     -8.623950233281493E-7    4.135299881630961
0.6                       2.8                      142                      3.9107865900404977       13.939003406172171       -3.930145068434953E7     -8.623950233281493E-7    4.133524540284575
0.6                       2.8                      144                      3.908774452140959        13.939003406172171       -4.050076157251042E7     -8.623950233281493E-7    4.131749198938189
0.6                       2.8                      146                      3.906766004594241        13.939003406172171       -4.170007246067236E7     -8.623950233281493E-7    4.129973857591803
0.6                       2.8                      148                      3.9047612474003426       13.939003406172171       -4.2899383348835275E7    -8.623950233281493E-7    4.128200622538837
0.6                       2.8                      150                      3.902760180559264        13.939003406172171       -4.409869423699778E7     -8.623950233281493E-7    4.12642814882773
0.6                       2.8                      152                      3.900762804071006        13.939003406172171       -4.529800512515921E7     -8.623950233281493E-7    4.124655675116624
0.6                       2.8                      154                      3.8987691179355677       13.939003406172171       -4.649731601332088E7     -8.623950233281493E-7    4.122883201405517
0.6                       2.8                      156                      3.896779534571791        13.939003406172171       -4.7696626901481554E7    -8.623950233281493E-7    4.12111072769441
0.6                       2.8                      158                      3.894794205886258        13.939003406172171       -4.889593778964292E7     -8.623950233281493E-7    4.119338253983304
0.6                       2.8                      160                      3.892812760877421        13.939003406172171       -5.009524867780426E7     -8.623950233281493E-7    4.117565780272197
0.6                       2.8                      162                      3.890835199545281        13.939003406172171       -5.1294559565967366E7    -8.623950233281493E-7    4.115793750787062
0.6                       2.8                      164                      3.8888615218898366       13.939003406172171       -5.2493870454129405E7    -8.623950233281493E-7    4.114023785992185
0.6                       2.8                      166                      3.886891727911088        13.939003406172171       -5.36931813422928E7      -8.623950233281493E-7    4.112253821197308
0.6                       2.8                      168                      3.884925817609037        13.939003406172171       -5.489249223045482E7     -8.623950233281493E-7    4.110483856402432
0.6                       2.8                      170                      3.8829637909836814       13.939003406172171       -5.609180311861567E7     -8.623950233281493E-7    4.108713891607554
0.6                       2.8                      172                      3.8810053157248716       13.939003406172171       -5.7291114006776795E7    -8.623950233281493E-7    4.1069439268126775
0.6                       2.8                      174                      3.879050045080708        13.939003406172171       -5.849042489493764E7     -8.623950233281493E-7    4.105173962017801
0.6                       2.8                      176                      3.8770984533325783       13.939003406172171       -5.968973578310041E7     -8.623950233281493E-7    4.103403997222923
