% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 16:41
% Dimension:          0
% Nodes:              780
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% C_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
0.5                       0                        4.118696939972122        4010.0705701835386       1.4768238373834388       0
0.5                       36                       4.108223259743109        3388939.1745115197       1.4768238373834388       0
0.5                       72                       4.103024792680363        6765562.03484712         1.4768238373834388       0
0.5                       108                      4.098246368416305        1.0133593917177882E7     1.4768238373834388       0
0.5                       144                      4.093556821154605        1.3493018558473159E7     1.4768238373834388       0
0.5                       180                      4.088907938490615        1.6843870057115853E7     1.4768238373834388       0
0.5                       216                      4.084285420983809        2.018619812360405E7      1.4768238373834388       0
0.5                       252.00000000000003       4.079717585935905        2.3511903758293178E7     1.4768238373834388       0
0.5                       288                      4.075167644886391        2.6832140047412302E7     1.4768238373834388       0
0.5                       324                      4.070663272212637        3.0139208348451894E7     1.4768238373834388       0
0.5                       360                      4.06618260590495         3.3441391461458106E7     1.4768238373834388       0
0.5                       396                      4.061846077588763        3.671765388625695E7      1.4768238373834388       0
0.5                       432                      4.0575095492725755       3.9993916311055824E7     1.4768238373834388       0
0.5                       468                      4.053173020956389        4.3270178735854745E7     1.4768238373834388       0
0.5                       504.00000000000006       4.049311714090323        4.653214736266379E7      1.4768238373834388       0
0.5                       540                      4.045830669932772        4.978267837794006E7      1.4768238373834388       0
0.5                       576                      4.04234962577522         5.303320939321624E7      1.4768238373834388       0
0.5                       612                      4.038718800625917        5.6274787181547076E7     1.4768238373834388       0
0.5                       648                      4.034816431597056        5.950013331090083E7      1.4768238373834388       0
0.5                       684                      4.030914062568195        6.272547944025476E7      1.4768238373834388       0
0.5                       720                      4.027053658382141        6.594731838462031E7      1.4768238373834388       0
0.5                       756                      4.023421159725025        6.91501102696769E7       1.4768238373834388       0
0.5                       792                      4.01978866106791         7.235290215473339E7      1.4768238373834388       0
