% Model,JH_0516_pulse_hyperelastic_NeoHook - Copy.mph
% Version,COMSOL 6.3.0.420
% Date,"May 18 2026, 17:40"
% Dimension,1
% Nodes,60
% Expressions,6
% Description,"Insertion particle concentration, particle average, Volumetric strain"
% X,liion.cs_average (mol/m^3) @ t=0,solid.evol (1) @ t=0,liion.cs_average (mol/m^3) @ t=1799,solid.evol (1) @ t=1799,liion.cs_average (mol/m^3) @ t=2999,solid.evol (1) @ t=2999
0,27629.887531365188,-1.7883392860063085E-8,15463.178730743508,-0.014993846487214564,5743.53725719706,-0.025383471468218056
5.213996286111302E-6,27629.88791332982,-1.7783635458288005E-8,15487.830766218394,-0.014987525829913178,5750.277592006396,-0.025381766222671763
1.04279925722226E-5,27629.888122511773,-1.772900321222522E-8,15456.587476513261,-0.014995536450811801,5733.236741857716,-0.025386077402629322
1.5641988858333902E-5,27629.888162588213,-1.7718536747845544E-8,15373.453394720822,-0.015016851184181081,5693.724573837506,-0.025396073522239646
2.0855985144445207E-5,27629.888034094147,-1.7752095101033117E-8,15254.301635992702,-0.015047399415340891,5636.255496976834,-0.025410612285287792
2.60699814305565E-5,27629.88773502892,-1.7830202119050103E-8,15109.975924244663,-0.015084400112071326,5564.65000481481,-0.025428726929223357
3.1283977716667805E-5,27629.887260659634,-1.7954093207935487E-8,14953.209218944372,-0.01512458817884087,5483.899462247841,-0.025449154531826154
3.64979740027791E-5,27629.88660347685,-1.81257296516631E-8,14781.728498941742,-0.015168545808464145,5396.3537287020035,-0.02547130047635517
4.164556352287779E-5,27629.885763863575,-1.8345011092779903E-8,14591.049564632976,-0.015217421680998041,5304.0587058987985,-0.025494647089695635
4.645180160994883E-5,27629.884796707654,-1.8597603301693377E-8,14381.679517623008,-0.015271084867631592,5219.062065646169,-0.025516146862345074
5.080957905118224E-5,27629.883756635856,-1.8869238586659762E-8,14152.57619786571,-0.015329801407801505,5143.442834084151,-0.02553527409901077
5.476070677117381E-5,27629.882669722538,-1.9153107249822088E-8,13901.88034389113,-0.015394046556963971,5072.439498263963,-0.025553233327113074
5.834333919304622E-5,27629.881557039487,-1.9443706691869664E-8,13629.28242786281,-0.015463898186158198,5007.099818377173,-0.025569759625902175
6.159089895714416E-5,27629.88043654481,-1.97363460902644E-8,13335.180376816128,-0.015539252754495728,4946.98601074619,-0.025584963818211206
6.453466406383348E-5,27629.87932275533,-2.002723437760617E-8,13026.64884135208,-0.015618296207757443,4892.963238671891,-0.02559862717371282
6.72046528163123E-5,27629.878226753637,-2.0313476696798403E-8,12701.47516437172,-0.01570159413314192,4844.222943161598,-0.025610954272580738
6.962515888161432E-5,27629.877158446758,-2.059248641070444E-8,12362.389322368377,-0.015788445886472526,4801.545961799757,-0.02562174769366841
7.181894311174249E-5,27629.87612545619,-2.0862272130184874E-8,12009.279386148373,-0.01587887886678769,4762.358347653295,-0.025631658478585444
7.380908790160705E-5,27629.87513239224,-2.1121630810798926E-8,11636.908603288994,-0.015974232695206647,4726.777952195484,-0.02564065686191929
7.561235671667865E-5,27629.87418435091,-2.1369230445008298E-8,11255.41376289909,-0.01607191025311924,4694.575161067086,-0.025648800944913168
7.724729886928335E-5,27629.873283664645,-2.160446288514745E-8,10873.71037315298,-0.01616962841386905,4665.048718695188,-0.025656268098838204
7.873250388802487E-5,27629.872427433344,-2.182808432127303E-8,10512.184372072661,-0.01626216929976635,4638.576977957157,-0.0256629626626108
7.873250388802487E-5,NaN,2.2980045038213315E-8,NaN,-0.023293364753216958,NaN,-0.03842555503897418
8.018259841284442E-5,NaN,2.298004503410404E-8,NaN,-0.023293364753214682,NaN,-0.0384255550389761
8.018259841284442E-5,NaN,2.298004503410404E-8,NaN,-0.023293364753214682,NaN,-0.0384255550389761
8.177811160134858E-5,NaN,2.2980045029691157E-8,NaN,-0.023293364753215494,NaN,-0.03842555503897525
8.177811160134858E-5,NaN,2.2980045029691157E-8,NaN,-0.023293364753215494,NaN,-0.03842555503897525
