trajectory,C,u_per,I,u,soc,R1,C1,R0,k
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9999997,0.008457548,772.94684,0.008937672,0.03165213
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9998389,0.008457396,772.95734,0.008937672,0.03165284
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9996778,0.008457242,772.9678,0.008937672,0.031653572
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99951667,0.008457083,772.9783,0.008937672,0.0316543
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99935555,0.008456925,772.98865,0.008937672,0.03165501
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99919444,0.008456768,772.9991,0.008937672,0.031655747
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99903333,0.008456609,773.0096,0.008937672,0.031656463
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9988722,0.008456452,773.01996,0.008937672,0.031657197
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9987111,0.008456292,773.0305,0.008937672,0.031657908
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99855,0.008456131,773.04095,0.008937672,0.03165864
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9983889,0.008455972,773.05145,0.008937672,0.031659365
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9982278,0.008455813,773.06195,0.008937672,0.031660084
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99806666,0.008455649,773.0723,0.008937672,0.031660806
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99790555,0.008455483,773.08276,0.008937672,0.031661537
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99774444,0.008455325,773.0932,0.008937672,0.031662256
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9975833,0.008455156,773.10376,0.008937672,0.031662982
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9974222,0.008454995,773.1142,0.008937672,0.031663705
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9972611,0.008454828,773.1247,0.008937672,0.031664427
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9971,0.008454665,773.1352,0.008937672,0.031665154
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9969389,0.008454495,773.1457,0.008937672,0.031665873
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9967778,0.008454329,773.1561,0.008937672,0.031666603
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99661666,0.008454158,773.1666,0.008937672,0.031667326
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99645555,0.008453989,773.17706,0.008937672,0.031668052
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99629444,0.008453821,773.18756,0.008937672,0.03166877
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9961333,0.008453651,773.198,0.008937672,0.031669494
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9959722,0.00845348,773.2085,0.008937672,0.03167023
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9958111,0.008453311,773.21906,0.008937672,0.031670947
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99565,0.008453137,773.22955,0.008937672,0.031671662
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9954889,0.00845296,773.24,0.008937672,0.0316724
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9953278,0.00845279,773.2505,0.008937672,0.031673115
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99516666,0.008452618,773.2609,0.008937672,0.03167384
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99500555,0.008452442,773.2714,0.008937672,0.03167457
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99484444,0.008452266,773.2819,0.008937672,0.03167529
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9946833,0.008452093,773.2925,0.008937672,0.031676013
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9945222,0.008451919,773.30286,0.008937672,0.03167674
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9943611,0.008451738,773.3134,0.008937672,0.031677455
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9942,0.00845156,773.3239,0.008937672,0.031678185
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9940389,0.008451383,773.3345,0.008937672,0.031678904
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99387777,0.0084512,773.3449,0.008937672,0.031679638
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99371666,0.008451023,773.3554,0.008937672,0.03168036
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99355555,0.008450844,773.3659,0.008937672,0.031681083
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99339443,0.008450659,773.3764,0.008937672,0.031681813
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9932333,0.008450482,773.38696,0.008937672,0.031682532
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9930722,0.008450295,773.39746,0.008937672,0.031683244
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9929111,0.008450115,773.40796,0.008937672,0.03168398
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99275,0.008449925,773.41846,0.008937672,0.031684704
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9925889,0.008449743,773.42896,0.008937672,0.03168543
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99242777,0.008449558,773.43945,0.008937672,0.031686146
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99226665,0.008449373,773.44995,0.008937672,0.031686876
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.99210554,0.008449188,773.4606,0.008937672,0.031687606
