Complexity,Loss,Equation
2,8.758823e-7,"f = 0.082718395; g = 132.82011"
4,8.618576e-7,"f = 0.08384739; g = #1 - 144.85571"
5,8.502534e-7,"f = -0.07019004; g = cube(#3 + 5.247452)"
6,8.357261e-7,"f = 0.075869724; g = cube(cube(#3) + 5.2476196)"
7,8.24104e-7,"f = -0.035241827; g = cube(#3 / 0.10253725) + 337.58426"
8,8.208708e-7,"f = 0.03846087; g = cube(cube(#3 + 1.2843196)) + 278.38297"
9,7.8752174e-7,"f = 0.048851483; g = cube(cube(cube(#3 + 0.76681435))) + 239.07057"
10,7.823368e-7,"f = -0.034254048; g = cube(square(cube(cube(#3 + 0.7177166)))) + 338.20856"
11,7.740736e-7,"f = 0.05124222; g = (cube(cube(cube(#3 + 0.7667875))) + 239.07057) - #1"
12,7.737943e-7,"f = -0.036161408; g = (cube(cube(square(cube(#3 + 0.7177166)))) + 337.58426) - #1"
13,7.615644e-7,"f = 0.056961022; g = cube(cube(square(0.90914774 + #3))) + (232.06316 - (#1 * 3.0512724))"
17,7.6106755e-7,"f = 0.057326045; g = (square(cube(cube(#3 + 0.90917987))) + (233.48029 - #1)) - (#1 * (#3 - -1.9673989))"
19,7.6095284e-7,"f = 0.057326045; g = ((square(cube(cube(#3 + 0.90917987))) + (233.48029 - #1)) - (#1 * (#3 - -1.9673989))) - #2"
23,7.609396e-7,"f = 0.057326045; g = ((cube(square(cube(#3 + 0.90917987))) + (233.48029 - #1)) - (#1 * ((#3 + 1.3652817) + (#3 + 0.5497296)))) - -1.9673989"
25,7.608998e-7,"f = 0.057326045; g = ((square(cube(cube(#3 + 0.90917987))) + (233.48029 - #1)) - (#1 * ((#3 + 1.3652817) + (#3 + 0.4242596)))) - (0.25411272 * -0.3740052)"
