Complexity,Loss,Equation
2,8.365838e-7,"f = 0.08269565; g = -132.92152"
4,8.2208527e-7,"f = -0.085764095; g = 139.50977 - #1"
6,8.1727865e-7,"f = -0.05919273; g = (#3 * 169.38133) + 169.38133"
7,7.258153e-7,"f = 0.02848967; g = -191.78651 / (cube(#3) - 0.4618886)"
11,7.142707e-7,"f = -0.03699443; g = ((#1 + -186.8699) / (square(#3) - 0.5554437)) - #1"
13,7.1272575e-7,"f = -0.033266906; g = (#1 - ((#1 - 207.91585) / (square(#3) - 0.5551593))) + #1"
17,7.125961e-7,"f = -0.038323402; g = (((#1 + -186.8699) / (square(#3) - 0.5552941)) - (#1 - -1.3352939)) - (#1 - #2)"
18,7.1028364e-7,"f = 0.033335637; g = #1 - ((sqrt(#1 * ((0.30820182 - #1) * -1.8011742)) - 207.91585) / (square(#3) - 0.5551593))"
20,7.0701344e-7,"f = 0.034303423; g = 3.9290276 - ((sqrt((((-0.14678071 - #1) - #1) * -1.8011742) * #1) - 207.91585) / (square(#3) - 0.5551593))"
22,7.0583326e-7,"f = 0.034303423; g = (#1 - ((sqrt((((0.30820182 - #1) - #1) * -1.8011742) * #1) - 207.91585) / (square(#3) - 0.5551593))) + -2.1552978"
24,6.916171e-7,"f = 0.03444241; g = (((#3 * ((2.2670963 / (0.77288246 - #3)) - #1)) * cube(#3 + #3)) - (-185.43822 / (square(#3) - 0.5554912))) - #1"
27,6.7562416e-7,"f = 0.03444241; g = ((#3 * (((2.2670963 / (0.77288246 - #3)) - #1) * cube(#3 + #3))) - sqrt(#1)) - ((-185.43822 / (square(#3) - 0.5554912)) - #1)"
