Complexity,Loss,Equation
2,8.365707e-7,"f = 0.08270849; g = 132.70085"
4,8.222958e-7,"f = -0.08653061; g = #1 + -137.50658"
5,8.12376e-7,"f = -0.069954306; g = cube(#3 + 5.321802)"
6,7.5040253e-7,"f = square(cube(#3)) - -0.006309602; g = -1853.0256"
8,7.478709e-7,"f = cube(cube(#3 * 1.4869045)) - -0.011415278; g = 1033.5126"
10,7.425959e-7,"f = cube(square(#3)) - -0.007057718; g = 1672.8922 - cube(sqrt(#1))"
11,3.1490916e-7,"f = cube(#3 / 1.0098237) - (square(square(#3)) - 0.032791346); g = -340.85934"
13,2.9333086e-7,"f = (square(square(#3)) - 0.0331974) - cube(#3 / 1.009872); g = #1 + -345.23648"
15,2.4197465e-7,"f = ((#3 * square(square(#3))) - 0.032949977) - (#3 * cube(#3 / 1.0098714)); g = -348.62122"
17,1.8023674e-7,"f = (#3 * cube(#3 / 1.0105778)) - (square(#3 * square(#3)) - 0.03295001); g = #1 - 331.71777"
18,1.3580525e-7,"f = cube(#3 / 1.0098714) - ((sqrt(#3) * square(square(#3))) - 0.03295001); g = (#1 * 6.882452) - 403.36484"
19,9.973604e-8,"f = (square(#3 * square(#3)) - 0.03295001) - (cube(#3 / 1.0105778) * #3); g = (#1 * 6.882452) - 413.19"
21,7.984186e-8,"f = (#3 * cube(#3 / 1.0105778)) - (square(square(#3) * #3) - 0.03295001); g = 422.35358 - ((#3 + 6.882452) * #1)"
23,7.8141056e-8,"f = (square(square(#3) * #3) - 0.03295001) - (#3 * cube(#3 / 1.0105778)); g = (#1 + 411.5459) - (#1 * (#3 + 6.8824797))"
28,7.056334e-8,"f = (cube(#3 / 1.0105778) * #3) - (square(#3 * square(#3)) - 0.03295001); g = (421.13748 - ((#1 * 6.882452) + cube(square(sqrt(#3) + 0.8324126)))) * -1.0311763"
29,6.597129e-8,"f = (cube(#3 / 1.0105778) * #3) - (square(#3 * square(#3)) - 0.03295001); g = (421.13748 - ((#1 * 6.882452) + square(cube((#3 * #3) + 0.8324126)))) * -1.0311763"
