complexity,loss,equation,score,sympy_format,lambda_format
1,3.708729,2.7234335,0.0,2.72343350000000,PySRFunction(X=>2.72343350000000)
2,3.031682,exp(x2),0.20157164930851737,exp(x2),PySRFunction(X=>exp(x2))
3,0.352508,x2 * 5.4678273,2.151799542965091,x2*5.4678273,PySRFunction(X=>x2*5.4678273)
4,0.11107539,tan(x2) * 4.274529,1.154864157073327,tan(x2)*4.274529,PySRFunction(X=>tan(x2)*4.274529)
5,0.038496718,square(sin(x2) * 3.0150068),1.0596361690501481,9.09026600404624*sin(x2)**2,PySRFunction(X=>9.09026600404624*sin(x2)**2)
7,0.03223524,cube(cos(x2 + 4.91818)) * 7.774523,0.08875636342425372,cos(x2 + 4.91818)**3*7.774523,PySRFunction(X=>cos(x2 + 4.91818)**3*7.774523)
8,0.032215644,square(square(cos(x2 + -1.2371982)) * 2.6462522),0.0006080909799107481,7.00265070600484*cos(x2 - 1.2371982)**4,PySRFunction(X=>7.00265070600484*cos(x2 - 1.2371982)**4)
9,0.013569548,((x1 * -0.052274488) + 9.913911) * square(sin(x2)),0.8646240085556782,(9.913911 + x1*(-0.052274488))*sin(x2)**2,PySRFunction(X=>(9.913911 + x1*(-0.052274488))*sin(x2)**2)
10,0.012038025,square(sin(x2)) * (cos(x1 * -0.06733371) + 8.677526),0.1197577746423253,(cos(x1*(-0.06733371)) + 8.677526)*sin(x2)**2,PySRFunction(X=>(cos(x1*(-0.06733371)) + 8.677526)*sin(x2)**2)
11,0.0072818706,cube(cos(x2 + 4.91842)) * ((x1 * -0.044215985) + 8.459395),0.5026826101284525,(8.459395 + x1*(-0.044215985))*cos(x2 + 4.91842)**3,PySRFunction(X=>(8.459395 + x1*(-0.044215985))*cos(x2 + 4.91842)**3)
12,0.00570713,cube(sin(x2 + 0.20583852)) * (cos(x1 * 0.060922515) + 7.2664313),0.24367150941349378,(cos(x1*0.060922515) + 7.2664313)*sin(x2 + 0.20583852)**3,PySRFunction(X=>(cos(x1*0.060922515) + 7.2664313)*sin(x2 + 0.20583852)**3)
13,0.0055940207,cube(cos(x2 + 4.917744)) * (sin(cos(x1 * 0.06624464)) + 7.3954225),0.020017975172212807,(sin(cos(x1*0.06624464)) + 7.3954225)*cos(x2 + 4.917744)**3,PySRFunction(X=>(sin(cos(x1*0.06624464)) + 7.3954225)*cos(x2 + 4.917744)**3)
14,0.0054073185,((cos(x1 * 0.06200563) + 7.3359365) * cube(cos(x2 + 4.9062))) + 0.066216536,0.033944981378182054,(cos(x1*0.06200563) + 7.3359365)*cos(x2 + 4.9062)**3 + 0.066216536,PySRFunction(X=>(cos(x1*0.06200563) + 7.3359365)*cos(x2 + 4.9062)**3 + 0.066216536)
15,0.005280848,(cube(cos(x2 + 4.9052277)) + 0.008717464) * (sin(cos(x1 * -0.0668349)) + 7.4653764),0.023666622905014312,(sin(cos(x1*(-0.0668349))) + 7.4653764)*(cos(x2 + 4.9052277)**3 + 0.008717464),PySRFunction(X=>(sin(cos(x1*(-0.0668349))) + 7.4653764)*(cos(x2 + 4.9052277)**3 + 0.008717464))
