complexity,loss,equation,score,sympy_format,lambda_format
1,55.394096,6.6941943,0.0,6.69419430000000,PySRFunction(X=>6.69419430000000)
3,18.749043,2.044681 / x2,0.5416651532816317,2.044681/x2,PySRFunction(X=>2.044681/x2)
4,5.5012274,log(x2) * -9.26822,1.2261714801363461,-9.26822*log(x2),PySRFunction(X=>-9.26822*log(x2))
5,2.603846,square(cube(1.7914683 - x2)),0.7479816481649382,(1.7914683 - x2)**6,PySRFunction(X=>(1.7914683 - x2)**6)
6,2.4775388,cube((x2 + -1.0312604) * -3.0681257),0.04972393476463897,-28.8814800779401*(x2 - 1.0312604)**3,PySRFunction(X=>-28.8814800779401*(x2 - 1.0312604)**3)
7,2.3961132,exp(cube(-0.90627044 - x2) + 4.169597),0.033417723501722826,exp((-x2 - 0.90627044)**3 + 4.169597),PySRFunction(X=>exp((-x2 - 0.90627044)**3 + 4.169597))
8,2.3306963,cube(square(1.7934813 - x2)) - cos(x0),0.0276808604110005,(1.7934813 - x2)**6 - cos(x0),PySRFunction(X=>(1.7934813 - x2)**6 - cos(x0))
9,1.7637702,exp((0.8938147 - x2) * log(x1 + 38.12244)),0.2787133871455803,exp((0.8938147 - x2)*log(x1 + 38.12244)),PySRFunction(X=>exp((0.8938147 - x2)*log(x1 + 38.12244)))
10,1.053388,cube(sin(0.9214742 - x2) * log(x1 + 33.46219)),0.5154420406714123,-log(x1 + 33.46219)**3*sin(x2 - 0.9214742)**3,PySRFunction(X=>-log(x1 + 33.46219)**3*sin(x2 - 0.9214742)**3)
11,0.85694194,exp((0.84616965 - x2) * log((x0 * x1) + 51.36268)),0.20639674695554242,exp((0.84616965 - x2)*log(x0*x1 + 51.36268)),PySRFunction(X=>exp((0.84616965 - x2)*log(x0*x1 + 51.36268)))
13,0.56287915,cube(sin(0.91967356 - x2) * log(x1 + (square(x0) + 31.016167))),0.21015260844384892,-log(x0**2 + x1 + 31.016167)**3*sin(x2 - 0.91967356)**3,PySRFunction(X=>-log(x0**2 + x1 + 31.016167)**3*sin(x2 - 0.91967356)**3)
14,0.4821486,cube(sin(0.9037024 - sin(x2)) * log((square(x0) + x1) + 33.85749)),0.1548125861656011,-log(x0**2 + x1 + 33.85749)**3*sin(sin(x2) - 0.9037024)**3,PySRFunction(X=>-log(x0**2 + x1 + 33.85749)**3*sin(sin(x2) - 0.9037024)**3)
15,0.45680952,cube(sin(0.90145576 - x2) * log(square(x0) + (33.067074 + x1))) + 0.49160388,0.05398586653638082,-log(x0**2 + x1 + 33.067074)**3*sin(x2 - 0.90145576)**3 + 0.49160388,PySRFunction(X=>-log(x0**2 + x1 + 33.067074)**3*sin(x2 - 0.90145576)**3 + 0.49160388)
