case_id,u_par,C_rate,SOC
1,17.046,2.787,0.46
2,21.084,4.542,0.37
3,28.287,3.852,0.544
4,5.953,3.16,0.691
5,12.364,2.216,0.578
6,27.034,2.039,0.723
7,28.499,3.341,0.669
8,20.608,1.842,0.69
9,24.272,0.966,0.98
10,11.478,1.636,0.293
11,18.637,4.727,0.828
12,15.015,1.134,0.493
13,4.709,0.581,0.195
14,9.694,2.693,0.184
15,3.899,3.34,0.788
16,0.228,3.558,0.362
17,10.888,3.959,0.548
18,13.364,2.679,0.035
19,9.678,4.919,0.385
20,9.321,4.314,0.602
21,15.937,1.44,0.59
22,29.237,2.921,0.803
23,16.424,3.122,0.758
24,14.861,2.45,0.168
25,23.029,3.785,0.03
26,20.166,2.709,0.643
27,13.42,4.377,0.659
28,4.453,1.527,0.006
29,19.8,1.48,0.492
30,5.604,0.593,0.41
31,22.994,4.569,0.058
32,14.205,0.661,0.675
33,10.051,1.876,0.966
34,12.999,3.811,0.336
35,14.123,3.753,0.292
36,29.702,3.665,0.043
37,17.243,1.444,0.544
38,4.994,3.038,0.82
39,15.565,1.675,0.242
40,6.197,4.21,0.914
41,28.72,1.593,0.681
42,4.558,1.992,0.345
43,28.296,0.981,0.404
44,2.243,3.933,0.368
45,6.001,1.185,0.779
46,4.474,2.18,0.439
47,8.538,1.949,0.385
48,11.972,1.275,0.396
49,21.066,4.979,0.08
50,0.477,2.89,0.684
51,25.5,1.45,0.881
52,23.269,3.262,0.233
53,0.805,0.667,0.889
54,16.259,4.912,0.535
55,10.66,0.684,0.659
56,17.002,3.148,0.352
57,8.209,3.89,0.109
58,24.842,3.654,0.498
59,16.524,2.501,0.63
60,25.66,3.612,0.273
61,9.957,3.747,0.932
62,21.396,3.099,0.074
63,28.282,0.97,0.516
64,25.993,3.331,0.861
65,18.408,3.05,0.103
66,24.01,4.882,0.646
67,4.102,4.231,0.694
68,23.898,0.958,0.858
69,6.987,2.9,0.522
70,5.668,1.98,0.466
71,13.599,2.216,0.632
72,17.534,0.663,0.678
73,16.833,0.604,0.404
74,3.057,2.094,0.922
75,2.979,2.669,0.696
76,24.25,3.643,0.059
77,3.831,2.721,0.117
78,14.669,3.214,0.634
79,11.336,2.162,0.891
80,25.083,3.162,0.083
81,22.432,4.67,0.51
82,11.189,1.183,0.048
83,19.904,3.706,0.378
84,21.98,4.054,0.776
85,12.152,2.272,0.804
86,3.189,1.516,0.806
87,4.316,1.459,0.879
88,2.62,2.434,0.199
89,12.162,0.814,0.504
90,14.44,1.423,0.497
91,1.666,4.116,0.873
92,8.946,1.558,0.344
93,29.43,4.782,0.294
94,18.19,2.139,0.011
95,21.395,3.659,0.57
96,28.543,3.435,0.753
97,24.513,2.594,0.957
98,15.473,1.544,0.051
99,1.684,1.451,0.353
100,22.347,1.547,0.096
101,11.679,1.137,0.706
102,28.255,2.471,0.831
