complexity,loss,equation,score,sympy_format,lambda_format
1,0.09608596,3.7619514,0.0,3.76195140000000,PySRFunction(X=>3.76195140000000)
3,0.010141228,x0 + 3.261987,1.1243170560605906,x0 + 3.261987,PySRFunction(X=>x0 + 3.261987)
4,0.009408141,sqrt(x0) + 3.0953002,0.07503371707810241,sqrt(x0) + 3.0953002,PySRFunction(X=>sqrt(x0) + 3.0953002)
5,0.0054167793,sqrt(tan(x0)) + 3.0347118,0.5520739645512599,sqrt(tan(x0)) + 3.0347118,PySRFunction(X=>sqrt(tan(x0)) + 3.0347118)
6,0.002812314,(tan(x0) ^ 0.079775505) * 4.01719,0.6554937817273018,tan(x0)**0.079775505*4.01719,PySRFunction(X=>tan(x0)**0.079775505*4.01719)
7,0.0014232817,(tan(sinh(x0)) ^ 0.07387887) * 3.9690666,0.6810423704424832,tan(sinh(x0))**0.07387887*3.9690666,PySRFunction(X=>tan(sinh(x0))**0.07387887*3.9690666)
8,0.00091660296,(tan(x0 * 1.4016778) ^ 0.06744576) * 3.8342545,0.4400461391543751,tan(x0*1.4016778)**0.06744576*3.8342545,PySRFunction(X=>tan(x0*1.4016778)**0.06744576*3.8342545)
9,0.0009071011,(tan(sinh(x0) * 1.1627426) ^ 0.067934014) * 3.8871794,0.010420491119699416,tan(sinh(x0)*1.1627426)**0.067934014*3.8871794,PySRFunction(X=>tan(sinh(x0)*1.1627426)**0.067934014*3.8871794)
10,0.0006801537,((x0 ^ 0.10180602) * 2.9832892) + cosh(tanh(cube(x0))),0.2879351082347611,x0**0.10180602*2.9832892 + cosh(tanh(x0**3)),PySRFunction(X=>x0**0.10180602*2.9832892 + cosh(tanh(x0**3)))
11,0.00022323059,cosh(sinh(sin(x0) ^ 0.21716943) + cosh(0.7887963 - x0)),1.1141135289533997,cosh(sinh(sin(x0)**0.21716943) + cosh(0.7887963 - x0)),PySRFunction(X=>cosh(sinh(sin(x0)**0.21716943) + cosh(0.7887963 - x0)))
12,0.00013337737,((x0 ^ 0.24302228) * 3.192523) + cosh(sinh(x0 - cos(x0))),0.5150227941766281,x0**0.24302228*3.192523 + cosh(sinh(x0 - cos(x0))),PySRFunction(X=>x0**0.24302228*3.192523 + cosh(sinh(x0 - cos(x0))))
13,0.00012296114,sinh(cosh(tanh(x0) - 0.7417696)) * sinh((x0 ^ 0.27343434) + 1.0040447),0.08131410841598595,sinh(x0**0.27343434 + 1.0040447)*sinh(cosh(tanh(x0) - 1*0.7417696)),PySRFunction(X=>sinh(x0**0.27343434 + 1.0040447)*sinh(cosh(tanh(x0) - 1*0.7417696)))
14,9.69154e-05,sinh(cosh(sin(x0) - 0.672644) + (((x0 + 0.0003660555) ^ 0.1737191) * 1.1470618)),0.23802993749731233,sinh((x0 + 0.0003660555)**0.1737191*1.1470618 + cosh(sin(x0) - 1*0.672644)),PySRFunction(X=>sinh((x0 + 0.0003660555)**0.1737191*1.1470618 + cosh(sin(x0) - 1*0.672644)))
15,9.52995e-05,sinh(cosh(sinh(tanh(x0)) - 0.672644) + (((x0 + 0.0003660555) ^ 0.1737191) * 1.1470618)),0.016813868941115664,sinh((x0 + 0.0003660555)**0.1737191*1.1470618 + cosh(sinh(tanh(x0)) - 1*0.672644)),PySRFunction(X=>sinh((x0 + 0.0003660555)**0.1737191*1.1470618 + cosh(sinh(tanh(x0)) - 1*0.672644)))
