complexity,loss,equation,score,sympy_format,lambda_format
1,0.09608596,3.7619433,0.0,3.76194330000000,PySRFunction(X=>3.76194330000000)
3,0.010141226,x0 + 3.2619822,1.124317154667988,x0 + 3.2619822,PySRFunction(X=>x0 + 3.2619822)
4,0.009408142,sqrt(x0) + 3.0953298,0.07503341357238953,sqrt(x0) + 3.0953298,PySRFunction(X=>sqrt(x0) + 3.0953298)
5,0.0054167793,sqrt(tan(x0)) + 3.0347009,0.5520740708421783,sqrt(tan(x0)) + 3.0347009,PySRFunction(X=>sqrt(tan(x0)) + 3.0347009)
6,0.003881416,tan(x0 ^ 0.21788535) + 2.6415157,0.33330137822630035,tan(x0**0.21788535) + 2.6415157,PySRFunction(X=>tan(x0**0.21788535) + 2.6415157)
7,0.0023115966,square((tan(x0) ^ 0.08561242) + 1.0057288),0.5182615808936033,(tan(x0)**0.08561242 + 1.0057288)**2,PySRFunction(X=>(tan(x0)**0.08561242 + 1.0057288)**2)
8,0.0012205894,square((tan(sinh(x0)) ^ 0.077397995) + 0.99235153),0.6386045977807946,(tan(sinh(x0))**0.077397995 + 0.99235153)**2,PySRFunction(X=>(tan(sinh(x0))**0.077397995 + 0.99235153)**2)
9,0.00046651092,sinh(x0 / tanh(x0 + 0.033913128)) + 2.5699477,0.9618077074454847,sinh(x0/tanh(x0 + 0.033913128)) + 2.5699477,PySRFunction(X=>sinh(x0/tanh(x0 + 0.033913128)) + 2.5699477)
10,0.00022855001,sinh(sinh(x0 / sin(x0 + 0.014737752))) + 2.2592018,0.7135263798417013,sinh(sinh(x0/sin(x0 + 0.014737752))) + 2.2592018,PySRFunction(X=>sinh(sinh(x0/sin(x0 + 0.014737752))) + 2.2592018)
11,0.000108383414,sinh((x0 / tanh(x0 + 0.020589845)) + 0.1749798) + 2.220777,0.7460799786132059,sinh(x0/tanh(x0 + 0.020589845) + 0.1749798) + 2.220777,PySRFunction(X=>sinh(x0/tanh(x0 + 0.020589845) + 0.1749798) + 2.220777)
13,9.293697e-05,sinh((x0 + -0.0034460542) / sinh(tanh(sin(x0 + 0.022706373)))) + 2.5334764,0.07687677423588239,sinh((x0 - 0.0034460542)/sinh(tanh(sin(x0 + 0.022706373)))) + 2.5334764,PySRFunction(X=>sinh((x0 - 0.0034460542)/sinh(tanh(sin(x0 + 0.022706373)))) + 2.5334764)
14,9.24502e-05,sinh((x0 + -0.009049853) / (tanh(sin(x0) + 0.022544717) * 1.1491356)) + 2.7119966,0.005251400284559404,sinh((x0 - 0.009049853)/((tanh(sin(x0) + 0.022544717)*1.1491356))) + 2.7119966,PySRFunction(X=>sinh((x0 - 0.009049853)/((tanh(sin(x0) + 0.022544717)*1.1491356))) + 2.7119966)
15,6.742913e-05,(tan((x0 + -0.078380026) / (tanh(x0 + x0) + 0.08828505)) / 1.2489084) + 3.338302,0.31559300076808855,tan((x0 - 0.078380026)/(tanh(x0 + x0) + 0.08828505))/1.2489084 + 3.338302,PySRFunction(X=>tan((x0 - 0.078380026)/(tanh(x0 + x0) + 0.08828505))/1.2489084 + 3.338302)
16,6.419398e-05,tan(sinh((x0 + -0.08014986) / (tanh((x0 + x0) + 0.08058586) * 1.3550531))) + 3.3485446,0.049167683565356994,tan(sinh((x0 - 0.08014986)/((tanh(x0 + x0 + 0.08058586)*1.3550531)))) + 3.3485446,PySRFunction(X=>tan(sinh((x0 - 0.08014986)/((tanh(x0 + x0 + 0.08058586)*1.3550531)))) + 3.3485446)
17,6.279206e-05,tan(sinh((x0 + -0.080475174) / (tanh((x0 + sinh(x0)) + 0.08197517) * 1.3409425))) + 3.348928,0.02208080446908593,tan(sinh((x0 - 0.080475174)/((tanh(x0 + sinh(x0) + 0.08197517)*1.3409425)))) + 3.348928,PySRFunction(X=>tan(sinh((x0 - 0.080475174)/((tanh(x0 + sinh(x0) + 0.08197517)*1.3409425)))) + 3.348928)
18,6.259304e-05,tan((x0 + -0.050001767) / sinh(tanh(((x0 + x0) ^ 0.9703675) + 0.06601463) / 0.97676265)) + 3.2220082,0.0031745425435550506,tan((x0 - 0.050001767)/sinh(tanh((x0 + x0)**0.9703675 + 0.06601463)/0.97676265)) + 3.2220082,PySRFunction(X=>tan((x0 - 0.050001767)/sinh(tanh((x0 + x0)**0.9703675 + 0.06601463)/0.97676265)) + 3.2220082)
19,6.152101e-05,tan((x0 + -0.050515406) / sinh(tanh(((x0 + sinh(x0)) ^ 0.96466076) + 0.06770364) * 1.0135252)) + 3.2236454,0.017275347328386367,tan((x0 - 0.050515406)/sinh(tanh((x0 + sinh(x0))**0.96466076 + 0.06770364)*1.0135252)) + 3.2236454,PySRFunction(X=>tan((x0 - 0.050515406)/sinh(tanh((x0 + sinh(x0))**0.96466076 + 0.06770364)*1.0135252)) + 3.2236454)
20,5.966673e-05,tan((x0 + -0.037027523) / ((sinh(tanh(cube(cube(x0)) + (x0 + x0))) + 0.060719978) / 1.1023394)) + 3.1317852,0.030604163863255752,tan((x0 - 0.037027523)/(((sinh(tanh(x0**9 + x0 + x0)) + 0.060719978)/1.1023394))) + 3.1317852,PySRFunction(X=>tan((x0 - 0.037027523)/(((sinh(tanh(x0**9 + x0 + x0)) + 0.060719978)/1.1023394))) + 3.1317852)
