Complexity,Loss,Equation
1,21.86521,"6.859442"
3,20.79475,"7.397381 - x2"
4,18.296803,"square(3.1563404 - x2)"
5,12.97563,"cube(2.1388977 - cube(x2))"
6,12.4200535,"cube(2.0974808 - square(square(x2)))"
7,9.049981,"3.2801383 / cube(x2 ^ x2)"
8,2.0588393,"cube(0.784445 / cube(x2 ^ x2))"
9,1.901141,"cube(0.41168848 / ((x2 ^ x2) + -0.52087176))"
10,1.3180937,"cube(cube(((1.0763799 / x2) ^ x2) + -0.15184991))"
11,1.2494613,"sqrt(x2) * cube(cube((0.9344414 / x2) ^ x2))"
12,1.1385225,"cube(cube((1.0629029 / x2) ^ x2) + -0.84464467) + x2"
13,1.1126553,"cube((1.1364359 / cube(x2 ^ x2)) + (cube(x2) + -1.0739363))"
14,1.1089756,"cube(cube((0.9342298 / x2) ^ x2) + (x2 + -1.0138148)) / 0.7217211"
15,1.0834394,"cube(cube((1.0783832 / x2) ^ x2) + -0.91237074) + sin(x0)"
16,0.99744993,"x2 + cube((x1 * 0.0035255041) + (cube((1.0599787 / x2) ^ x2) + -0.87551993))"
17,0.96215075,"cube(cube((cube(-0.24367888 / x0) + (1.0926552 / x2)) ^ x2) + -0.9759142) - -1.0951384"
18,0.91336393,"x2 + (cube(sin(x0)) + cube(cube((1.0649401 / x2) ^ x2) + -0.8858028))"
19,0.87432766,"cube((0.115581684 * sin(x0)) + (-0.915314 + cube((1.0630056 / x2) ^ x2))) + x2"
20,0.7444767,"x2 + cube(cube(sin(x0) * 0.532191) + (cube((1.062947 / x2) ^ x2) + -0.9100134))"
21,0.6309582,"x2 + cube((sin(x0 - x2) * 0.18603368) + (cube((1.0685918 / x2) ^ x2) + -0.96697915))"
22,0.6280095,"cube((cube((1.0719502 / x2) ^ x2) + (sin(x0 - x2) * 0.18048392)) + -0.9906912) + sqrt(x2)"
23,0.5340865,"x2 + cube((sin(x0 / (x2 + 0.8087519)) * 0.26474154) + (-1.0088164 + cube((1.0565603 / x2) ^ x2)))"
24,0.52810603,"cube((sin(x0 / sqrt(x2 * 3.9634912)) * 0.2747563) + (cube((1.0683055 / x2) ^ x2) + -1.0987256)) - -1.0460966"
25,0.4568505,"x2 + cube(((sin(x0 - x2) * 0.18175532) + cube((1.0719682 / x2) ^ x2)) + (-1.0215998 + (x1 * 0.0037964878)))"
26,0.4556226,"cube(((x1 * 0.0036036677) + (-1.0416737 + cube((1.0705582 / x2) ^ x2))) + (sin(x0 - x2) * 0.19868876)) + sqrt(x2)"
27,0.42369846,"cube((cube((1.0536985 / x2) ^ x2) + (x1 * (x2 * 0.010070048))) + ((sin(x0 - x2) * 0.19348267) + -0.9711725)) + x2"
29,0.4145532,"cube((((x2 * (x1 * 0.009436629)) + -0.9821464) + (sin(x0 - x2) * 0.18753624)) + cube((1.0559905 / x2) ^ x2)) + (x2 + 0.15564503)"
30,0.40089896,"(x2 + 0.36756355) + cube(((sin(x0 - cube(x2 + 0.2962616)) * 0.19033758) + (cube((1.0732361 / x2) ^ x2) + -1.0595201)) + (x1 * 0.004059226))"
