Complexity,Loss,Equation
1,23.61813,"7.0746255"
3,7.327996,"4.4615927 / x2"
5,2.0575607,"22.009384 - (x2 * 22.972961)"
7,2.0395334,"(x2 + -23.312466) * (x2 - 0.9604524)"
9,1.3417611,"(x2 ^ x2) ^ -7.040266"
11,1.0068756,"((x2 ^ x2) ^ -8.623975) * 0.578663"
12,0.9873885,"(cube(x2 * log(x2)) + -0.004399578) * -251.73225"
13,0.9867624,"(x2 + ((x2 ^ x2) ^ -9.279591)) * 0.45139548"
14,0.7981918,"(cube(x2 * log(x2)) + -0.004459074) * (-239.5858 - x1)"
16,0.7832783,"(cube((x2 * 1.1267928) * log(x2)) + -0.0063850028) * (-163.7962 - x1)"
18,0.63390946,"((25.241636 / x0) + (-259.8854 - x1)) * (cube(x2 * log(x2)) + -0.004542367)"
20,0.5251068,"(((9.732903 / cube(x0)) + -250.51784) - x1) * (cube(log(x2) * x2) + -0.0045046657)"
22,0.37427503,"(cube(log(x2) * x2) + -0.00453458) * ((cube(x0) + ((48.10321 / x0) - x1)) + -289.92612)"
24,0.20582584,"(cube(log((0.04373471 / x0) + x2) * (x2 * 1.304962)) * (((x0 * 21.438948) + -176.67413) - x1)) + 1.4433742"
26,0.1478595,"((((x0 * 7.805682) / x2) + -178.61748) - x1) * ((cube(x2 * log(x2 + (0.041195486 / x0))) * 2.139271) - 0.007027544)"
28,0.09513705,"(cube((log(x2 + (0.045865916 / x0)) * 1.3086859) * x2) - 0.008576702) * ((((x0 + -1.1773956) * 8.714349) / x2) + (-153.49162 - x1))"
30,0.09505231,"(cube((x2 * log(x2 + (0.046104807 / x0))) * 1.3104486) - 0.008702819) * (((((x0 + -1.1777078) * (8.714249 / x2)) + -153.25728) + x2) - x1)"
