Complexity,Loss,Equation
1,22.426449,"6.336549"
3,22.030058,"6.8369527 - soc"
4,21.241776,"6.5867596 - cube(soc)"
5,18.261642,"cube(2.053243 - cube(soc))"
6,7.6954083,"(square(soc) - soc) * -40.54713"
7,2.394411,"soc / (cube(square(soc)) + 0.02709239)"
8,1.5432694,"square(soc / (square(square(soc)) + 0.08134286))"
10,1.384483,"square(soc / (square(square(soc)) + 0.084061675)) + d"
11,1.3524104,"cube(square((-1.2424198 + soc) / 0.34828547) * soc) + d"
12,1.1196027,"square(soc / ((square(square(soc)) + 0.07206326) + (C * 0.017304832)))"
13,0.87849694,"exp(cube((1.5065663 - cube(soc)) - exp(C - (soc / 0.11796115))))"
14,0.7773053,"exp(((0.7583362 - exp(C - (soc / 0.11940581))) - cube(soc)) * 4.1165695)"
15,0.61630476,"d + square(cube(exp(C - (soc / 0.119569354)) - (1.6566207 - cube(soc))))"
16,0.57151544,"exp(((0.69316256 - cube(soc)) - exp(C - (soc / 0.11919018))) * 4.5354185) + d"
17,0.5689202,"(cube(square((1.5449731 - cube(soc)) - exp(C - (soc / 0.11933502)))) + d) / 0.643085"
18,0.5060897,"exp(((0.90556926 - square(soc)) - exp(C - (soc / 0.15122499))) * ((d * C) + 3.9369886))"
19,0.48679042,"cube(square((1.6290343 - (cube(soc) + (d * -0.05705464))) - exp(C - (soc / 0.12091861)))) + C"
20,0.35363984,"cube(square((exp(C - (soc / 0.1484635)) - (1.8205367 - square(soc))) + exp(C * -18.69993))) + d"
21,0.31402746,"exp(((0.7038392 - (cube(soc) + (1.4616844e-10 ^ C))) - exp(C - (soc / 0.12018291))) * 4.511665) + d"
23,0.29117408,"d + cube(square(exp((C ^ 0.7230251) - (soc / 0.14162388)) - (1.8168459 - (exp(C * -19.44569) + square(soc)))))"
25,0.17761344,"cube(square((exp(cube((d * 0.073990166) - soc) + 0.54134184) - exp(C - (soc * 7.164559))) - exp(C * -19.953726))) + 0.9356649"
27,0.17001352,"square(cube(exp(C * -19.715961) - (exp(cube((d * 0.068635084) - soc) + 0.52593476) - exp(C - (soc * 7.1707926)))) + -0.22109877) + 0.62710375"
28,0.16566528,"(soc ^ 0.12290729) + square(cube(exp(C * -19.961672) - (exp(cube((d * 0.07333703) - soc) + 0.5408777) - exp(C - (soc * 7.2084827)))))"
29,0.15703437,"square(cube(exp(C * -21.122862) - ((exp(0.52630836 - cube(soc)) + (d * (soc * 0.13653167))) - exp(C - (soc * 6.8547363)))) + -0.2916697) + C"
30,0.152697,"square(cube(exp(C * -20.88741) - (((soc * d) * 0.14022727) + (exp(0.5305974 - cube(soc)) - exp(C - (soc * 6.8600416))))) + -0.21533729) + sqrt(C)"
