Complexity,Loss,Equation
1,21.240738,"6.2277746"
3,20.912554,"6.729346 - soc"
4,20.144405,"6.4776974 - cube(soc)"
5,17.637886,"square(cube(soc) + -2.746653)"
6,7.533237,"(square(soc) - soc) * -39.59813"
7,2.9583135,"soc / (cube(square(soc)) + 0.028228005)"
8,2.1978314,"square(soc / (square(square(soc)) + 0.083299585))"
9,2.1781821,"cube((soc / (cube(soc) + 0.123820975)) + 0.24151139)"
10,1.9880217,"d + square(soc / (square(square(soc)) + 0.086185195))"
11,1.9798809,"square(soc / (square(square(soc)) + 0.085193925)) + square(d)"
12,1.7367216,"cube(soc / (cube(soc) + 0.11800979)) / (C ^ C)"
13,1.3376353,"square(soc / (((C ^ C) * 0.107812665) + square(square(soc))))"
14,1.3160061,"square(soc / (((C ^ C) * 0.10626165) + cube(soc + -0.09639922)))"
15,1.1240835,"square(soc / (square(square(soc)) + ((C ^ C) * 0.1114823))) + d"
16,1.1163427,"square(d) + square(soc / (square(square(soc)) + ((C ^ C) * 0.11023133)))"
17,1.0305054,"square((d * 0.3081609) + (soc / (((C ^ C) / 8.68907) + square(square(soc)))))"
18,0.99618816,"square((soc / (square(square(soc)) + ((C ^ C) * 0.11023133))) + cube(C * d))"
19,0.93035316,"square(((C * d) * 0.5340234) + (soc / (square(square(soc)) + ((C ^ C) * 0.11362275))))"
20,0.8105637,"cube((soc / (cube(soc) + ((C ^ C) * 0.16104527))) + ((d + exp(cube(C))) * 0.13642958))"
21,0.7913108,"cube((soc / (((C ^ C) * 0.16094895) + cube(soc))) + ((d + exp(square(square(C)))) * 0.14204136))"
22,0.7345112,"cube((exp(d) * 0.09758814) + (soc / (cube(soc - (cube(C) * 0.053816807)) + ((C ^ C) * 0.15796506))))"
23,0.6789863,"cube((exp(d) * 0.104138635) + (soc / (cube(soc - cube(square(C * -0.6418773))) + ((C ^ C) * 0.15690257))))"
24,0.6735838,"cube(((soc / (((C ^ C) * 0.15778595) + cube(soc - (square(cube(C)) * 0.06900695)))) - -0.10168198) + (d * 0.16914785))"
25,0.66708905,"(0.8420152 - C) + cube((soc / (((C ^ C) * 0.15426731) + cube(cube(C * -0.41558942) + soc))) + (0.17932585 * d))"
26,0.6446229,"cube((soc / (cube(soc - (square(square(C)) * 0.078598894)) + ((C ^ C) * 0.15316279))) + (d * 0.18536656)) + (0.8404738 - C)"
27,0.6261576,"(cube(((soc + 0.08123737) / (cube(soc) + ((C ^ C) * 0.22697693))) + cube(C - 0.28014153)) - C) * ((d / 2.6808288) + 1.3870069)"
28,0.6216748,"(cube((soc / (cube(cube(C * -0.41242218) + soc) + ((C ^ C) * 0.16188478))) + (0.10118043 * exp(d))) - (C + -1.0654169)) - soc"
29,0.59511554,"((d * (soc / 1.3410982)) + 1.2016797) * (cube(cube(C - 0.28111547) + ((soc + 0.08030808) / (cube(soc) + ((C ^ C) * 0.21122828)))) - C)"
30,0.5927515,"(((cube((d * 0.16753824) + (soc / (((C ^ C) * 0.16315065) + cube(soc - square(square(C) * 0.28213325))))) - C) + 1.1531584) / 0.87481) - soc"
