Complexity,Loss,Equation
1,14.73535,"9.447384"
3,13.298023,"soc + 8.946838"
4,5.70297,"sqrt(soc * 196.58856)"
6,3.7141883,"soc * cube(3.2920573 - soc)"
7,2.5965664,"cube(cube(soc - 1.3532758)) + 11.507891"
8,1.915815,"cube(cube(1.3122306 - exp(soc / -0.07228787)))"
9,1.6620476,"cube(2.27319 - exp((soc / -0.12288528) + C))"
10,0.5129126,"cube(2.252624 - exp(cube(C + (soc / -0.1327819))))"
11,0.4397098,"exp(cube(1.3476334 - cube(exp((soc / -0.15324993) + C))))"
12,0.2794024,"exp(cube(1.3464677 - exp(((C * -0.20096038) + soc) / -0.038954653)))"
13,0.20784493,"cube(exp(0.8129938 - exp(cube((soc / -0.17916153) + (C - 0.6195835)))))"
14,0.18049663,"cube(exp(0.8121473 - square(exp(cube((soc / -0.19338027) - (0.45968962 - C))))))"
15,0.15112536,"exp(cube(cube(1.1018376 - exp((soc / -0.025364194) + (C / 0.12258729))))) + C"
16,0.14633581,"C + exp(cube(1.338173 - exp((((C * -0.20890824) + soc) / -0.030496357) - -0.6332861)))"
17,0.11991094,"C + (cube(exp(cube(0.93505657 - exp((soc / -0.03435718) + (C * 6.0582633))))) - soc)"
19,0.11153268,"cube(exp(cube(0.92948 - exp((soc / -0.032841906) + (C * 6.547163))))) + (C * (1.3525022 - soc))"
20,0.09937216,"((2.6863031 - exp(soc)) * C) + exp(2.4076316 - exp(((soc / -0.03533687) + (C * 6.085889)) + 1.7991886))"
21,0.09140171,"exp(2.4143233 - exp(1.7554841 + ((soc / -0.03648172) + (C * 5.8935075)))) + square(0.35172072 + (C - square(soc)))"
22,0.06657168,"(exp(cube(1.3522685 - exp((soc + (C * -0.2281688)) / -0.035692595))) - 0.8793234) - (C / cube(-0.75006306 - cube(soc)))"
23,0.063435204,"exp(cube(1.3561952 - exp((soc + (C * -0.22606383)) / -0.036210243))) - ((C / (-0.37383512 - cube(soc * 1.4777888))) + 1.1036565)"
24,0.057302095,"(exp(cube(1.3553095 - exp((soc + (C * -0.22528592)) / -0.036777604))) - 0.9544997) - (C / (-0.4222737 - cube(cube(soc + 0.39845926))))"
26,0.049172975,"cube(square(sqrt(sqrt(soc) + C) - square(soc))) + exp(2.4159229 - exp((soc / -0.037617076) + (((C + 5.037449) * C) + 1.7292985)))"
27,0.04798321,"exp(2.4163952 - exp((soc / -0.03765121) + (1.781868 + (cube(C) + (C * 5.0931325))))) + square(cube(sqrt(sqrt(soc) + C) - square(soc)))"
28,0.039071906,"square(cube(sqrt(sqrt(C)) + (soc - square(soc * -1.3413353)))) + exp(2.413817 - exp((((C + 4.8734035) * C) + 1.737455) + (soc / -0.038371522)))"
29,0.036061473,"exp(2.4179032 - exp((((C + 4.9567) * C) + (soc / -0.039086528)) + 1.6329553)) + square(square(square(soc + (sqrt(sqrt(C)) - square(soc * -1.35071)))))"
30,0.03490849,"square(square(square((sqrt(sqrt(C)) - square(soc * -1.348678)) + soc))) + exp(2.417553 - exp(((C + (soc / -0.1974688)) * 5.086757) + (cube(C) + 1.683793)))"
