Complexity,Loss,Equation
1,14.738889,"9.447541"
3,13.301228,"soc + 8.948152"
4,5.7083006,"sqrt(soc) * 14.021381"
6,3.7193253,"soc * cube(3.292126 - soc)"
7,2.595231,"cube(cube(soc + -1.3532163)) + 11.50873"
8,1.9166352,"cube(cube(1.3121996 - exp(soc * -13.857677)))"
9,1.6636356,"cube(2.2732046 - exp(C + (soc * -8.129967)))"
10,0.5125506,"cube(2.2526424 - exp(cube(C + (soc * -7.5335298))))"
11,0.43997702,"exp(cube(1.3476671 - cube(exp((soc * -6.525282) + C))))"
12,0.29020452,"exp(cube(1.3460115 - cube(square(exp((soc * -4.6852717) + C)))))"
13,0.20796816,"cube(exp(0.813032 - exp(cube(((soc * -5.5889444) + C) + -0.6183074))))"
14,0.18058088,"cube(exp(0.8123014 - square(exp(cube((soc * -5.1820164) + (C + -0.45555556))))))"
15,0.13708101,"cube(cube(1.304892 - exp(cube((C + -0.94116664) + (soc * -4.8343606))))) + C"
16,0.13388658,"exp((exp(cube(C + (-0.96651226 + (soc * -4.8474994)))) * -8.391672) + 2.3947964) + C"
17,0.11085242,"(square(cube(exp(cube((soc * -5.002297) + (C + -0.78875285))) - 1.5047066)) + C) - soc"
18,0.10674526,"(C + exp((exp(cube((soc * -4.9323034) + (C + -0.87454927))) * -5.9967823) + 2.4510953)) - soc"
19,0.09312933,"cube(cube(1.306359 - exp(cube((C + (soc * -4.81508)) + -0.93363065)))) + ((1.4022338 - soc) * C)"
20,0.08052819,"((2.5557194 - exp(soc)) * C) + cube(cube(1.3073266 - exp(cube((C + -0.93593603) + (soc * -4.774492)))))"
21,0.06921044,"(cube(1.1284138 - cube(soc)) * C) + cube(cube(1.3071598 - exp(cube(((soc * -4.729318) + C) + -0.94193393))))"
22,0.06541061,"cube(cube(1.3077378 - exp(cube(((soc * -4.7014947) + C) + -0.9478456)))) + cube((sqrt(C) - cube(soc)) - -0.15659343)"
23,0.06200852,"((C * (sqrt(soc) - soc)) * 6.4126873) + exp((exp(cube(((soc * -4.6292124) + -1.0248253) + C)) * -10.197502) + 2.3967483)"
24,0.051712975,"exp((exp(cube((soc * -4.5825844) + (C + -1.016391))) * -9.759867) + 2.4037476) + (square((soc - sqrt(soc)) * -5.4156904) * C)"
25,0.049676996,"exp((exp(cube((soc * -4.4634314) + (C + -1.0388385))) * -9.861933) + 2.412277) + cube((sqrt(C) * -5.20665) * (soc - sqrt(soc)))"
26,0.04756677,"(cube((soc - sqrt(soc)) * -5.361574) * (C + -0.14098182)) + exp((exp(cube((C + (soc * -4.4659915)) + -1.036344)) * -9.756742) + 2.4130847)"
27,0.03458411,"exp((exp(cube(((soc * -4.6134715) + -0.9607453) + (C ^ 1.2646277))) * -9.877789) + 2.4116821) + square(C * ((soc - sqrt(soc)) * 5.9695387))"
28,0.031612825,"(cube((soc - sqrt(soc)) * -5.457261) * square(C)) + exp((exp(cube(((C ^ 1.2714428) + -0.99477786) + (soc * -4.511421))) * -11.1214905) + 2.4134336)"
30,0.029003156,"((square(C) * cube((soc - sqrt(soc)) * -5.320805)) + exp((exp(cube(((C ^ 1.2671312) + (soc * -4.5832295)) + -0.97955734)) * -11.137805) + 2.3998606)) + 0.17366971"
