Complexity,Loss,Equation
1,0.0019733487,"0.82014096"
3,0.0014216074,"x1 ^ -0.07290267"
4,0.001101615,"0.75726646 ^ sqrt(x2)"
5,0.00090153154,"0.7764394 ^ (x2 ^ 0.32612705)"
6,0.00053694623,"(x2 * square(x1)) ^ -0.04274077"
7,0.0003767342,"(x1 * (x2 * 4.8972464)) ^ -0.05694256"
8,0.0003180117,"(x1 * cube(x2 - -0.72500366)) ^ -0.0597503"
9,0.00023358426,"(x2 * (x1 * (x0 + 2.9997683))) ^ -0.05811435"
10,0.00018075091,"((x1 + square(x0)) * (x2 - -0.16462849)) ^ -0.080491126"
11,0.00014529386,"((square(x0) + x1) * square(x2 - -0.4830541)) ^ -0.06925457"
12,8.402744e-5,"exp(x2 * -0.14296198) * (((0.753944 ^ x0) / x1) + 0.83561313)"
14,6.749411e-5,"((((0.52727234 ^ x0) ^ x2) / x1) + 0.8172716) * exp(x2 * -0.0979856)"
15,6.472249e-5,"((((0.6458662 ^ x0) ^ sqrt(x2)) / x1) + 0.8261591) * exp(x2 * -0.11934766)"
