Complexity,Loss,Equation
1,3.466186e-16,"0.70000005"
11,3.1615619e-16,"0.7 / (((x0 / x2) + 6.6051216) ^ -5.0757222e-8)"
15,3.1608366e-16,"0.7 / ((((x2 + (x0 + 0.35049134)) / x2) + x0) ^ -5.1360253e-8)"
17,3.0941094e-16,"0.7 / (exp(exp((0.15581669 / x2) * x0)) ^ -2.7362661e-8)"
19,2.7140548e-16,"0.7 / (exp(exp(cube(x0 / x2) * 0.0010936115)) ^ -2.9813787e-8)"
20,2.5588415e-16,"0.7 / (exp(exp(exp((x2 / -0.10081373) + x0))) ^ -2.9813787e-8)"
22,1.997463e-16,"0.7 / (exp(exp(exp((x0 + (x2 / -0.117525436)) - x1))) ^ -2.9813787e-8)"
24,1.1960118e-16,"0.7 / (exp(exp(exp(((x2 / -0.10081373) + x0) / (x1 + 0.6875369)))) ^ -2.9813787e-8)"
26,6.266551e-17,"0.7 / (exp(exp(exp((((x2 / -0.10081373) + x0) - (x1 * 0.021295063)) / 0.6895431))) ^ -2.9813787e-8)"
28,6.1867684e-17,"0.7 / (exp(exp(exp(((x1 / x0) * -0.11465256) + ((x0 + (x2 / -0.10081376)) / 0.6895431)))) ^ -2.9813787e-8)"
30,5.8603854e-17,"0.7 / (exp(exp(exp((x0 + ((x2 / -0.10081373) - (x1 * (0.39191648 ^ x0)))) / 0.6895431))) ^ -2.9813787e-8)"
