Complexity,Loss,Equation
1,0.066487044,"0.79739285"
3,0.045559276,"0.59043723 ^ soc"
4,0.043430474,"1.4645615 - sqrt(soc)"
5,0.02580279,"(0.00016299752 ^ soc) + 0.68379766"
7,0.022675155,"((C * 0.0008017859) ^ soc) + 0.6730322"
8,0.013274925,"exp((soc * -4.4050045) / C) + 0.6849904"
9,0.005168565,"exp(cube((soc / C) * -4.033351)) + 0.68802583"
10,0.003860788,"exp(cube(cube((soc / C) * -4.037672))) + 0.68157595"
12,0.001046848,"(exp(cube(cube((soc * -3.9543324) / C))) + 0.6526239) ^ 0.8373357"
13,0.0009859741,"sqrt((exp(cube(cube((-4.0415316 / C) * soc))) + 0.26729667) * 1.8310033)"
14,0.0007074814,"(0.6435152 + exp(cube(cube(-4.4070807 * (soc / C)) + 0.3713612))) ^ 0.808084"
15,0.00042615907,"(exp(cube(cube(cube((soc / (C + soc)) * -5.004366)))) + 0.64713097) ^ 0.81639856"
16,0.00042237222,"sqrt((exp(cube(cube(cube(soc * (-5.0394464 / (C + soc)))))) * 1.7673625) + 0.49133196)"
17,0.0003069869,"(exp(cube(cube(cube((soc / (soc + (C - -0.01621306))) * -5.1077785)))) + 0.6466523) ^ 0.81641775"
18,0.0002754375,"(exp(cube(cube(cube(soc * (-4.3054924 / ((C + square(soc)) - -0.020324083)))))) * 0.79977465) + 0.7005154"
19,0.00027179133,"(exp(cube(cube(cube(((soc * -5.077078) - -0.022536922) / ((C ^ 1.0395768) + soc))))) * 0.8017737) + 0.7005195"
20,0.000266912,"sqrt((exp(cube(cube(cube((soc / (soc + ((C ^ 1.0429565) - -0.023864005))) * -5.125848)))) * 1.7665274) + 0.49069387)"
22,0.00024859625,"(exp(cube(cube(cube(((soc * -4.973516) - cube((soc * 2.3431776) + -0.28741577)) / (soc + C))))) * 0.80180174) + 0.7005195"
23,0.00024434333,"sqrt((exp(cube(cube(cube(((soc * -5.0202603) - cube(-0.28804713 + (soc * 2.3260112))) / (C + soc))))) * 1.7646598) + 0.4909026)"
24,0.00022743232,"(exp(cube(cube(cube(((soc * -4.973516) - cube((soc * (2.7495022 - d)) + -0.2850965)) / (soc + C))))) * 0.80204505) + 0.7005477"
25,0.00022399277,"sqrt((exp(cube(cube(cube(((soc * -5.0129294) - cube(((2.786699 - d) * soc) + -0.28599682)) / (C + soc))))) * 1.7641815) + 0.49073765)"
26,0.0002121426,"(exp(cube(cube(cube(((soc * -4.918773) - cube((soc * (3.2077756 - d)) + -0.37473482)) / ((C - 0.011125442) + soc))))) + 0.6466548) ^ 0.8158949"
27,0.00020909202,"sqrt((exp(cube(cube(cube(((soc * -4.9506493) - cube((soc * (3.21012 - d)) + -0.3740516)) / ((soc + C) - 0.011169839))))) * 1.7641815) + 0.49073765)"
28,0.00020086185,"(exp(cube(cube(cube(((soc * -4.897761) - cube(((C + (2.2078724 - d)) * soc) + -0.32721362)) / (C + (soc - 0.012981074)))))) + 0.6466523) ^ 0.81641775"
29,0.0001992347,"(exp(cube(cube(cube(((soc * -4.897936) - cube(((square(C) + (2.3138344 - d)) * soc) + -0.3270993)) / (C + (soc - 0.012872813)))))) + 0.646653) ^ 0.8164181"
30,0.0001947975,"(exp(cube(cube(cube(((soc * -4.8886323) - cube(((((2.305012 - d) ^ C) * soc) / 0.6466523) + -0.3280135)) / ((C + soc) - 0.014003208))))) + 0.6466523) ^ 0.81641775"
