Complexity,Loss,Equation
1,0.11742749,"3.753417"
3,0.0184571,"soc - -3.253433"
4,0.0154842315,"sqrt(soc) - -3.0900552"
6,0.0056911125,"exp(sqrt(sqrt(soc))) - -1.5074642"
7,0.0043588285,"sqrt(sqrt(soc * 11.871907)) - -2.279442"
8,0.0018361225,"soc - (exp(soc * -51.671333) + -3.2822292)"
10,0.0008952648,"((soc * 0.878247) - exp(soc * -39.460556)) - -3.349046"
11,0.00056687003,"((0.48772275 - exp(soc * -28.983704)) * exp(soc)) - -2.9589064"
12,0.00048611307,"(exp(soc) * log(1.5946015 - exp(soc * -19.949188))) - -2.9996262"
13,0.0002263374,"(square(soc + -0.25309715) - -3.7358704) - square(square(sqrt(soc) + -1.0996741))"
14,0.00017973034,"square(0.22043109 - soc) + (3.6987348 - cube(cube(sqrt(1.0892433 - sqrt(soc)))))"
15,0.000114689065,"square(soc + -0.34515345) + (3.9265995 - cube(1.405381 - sqrt(sqrt(soc + 0.0017250017))))"
17,7.771947e-5,"3.7935104 + (square(0.2837772 - soc) - cube(1.4472188 - sqrt(sqrt((2.24704 * soc) + 0.006966278))))"
19,7.5529766e-5,"(3.793808 - cube(1.402768 - sqrt(sqrt(soc + (soc + 0.008945581)) + -0.03459167))) + square(0.28315562 - soc)"
21,6.9960915e-5,"(3.8257062 + square(0.2967264 - soc)) - cube(1.383448 - sqrt(sqrt(sqrt(1.04906985e-5 + square(soc * 1.459932))) - 0.009441066))"
22,4.9486123e-5,"(square(0.31308034 - soc) + 3.8004744) - cube(1.4523449 - sqrt(sqrt((soc * 2.1701553) + square(cube(square(soc) + 0.4362697)))))"
23,4.85368e-5,"(square(soc - 0.31209552) - cube(1.4576889 - sqrt(sqrt((cube(cube(soc + 0.2722709)) + (soc * 2.274542)) + 0.0075305016)))) + 3.7974656"
24,4.7494483e-5,"(square(0.31765193 - soc) - cube(1.4507025 - sqrt(sqrt((soc * 2.1778831) + square(square((square(soc) + -0.28472993) + soc)))))) + 3.8048787"
25,4.728339e-5,"(3.8061783 + square(0.3196419 - soc)) - cube(1.4519113 - sqrt(sqrt((soc * 2.1768444) + square(square((soc * (soc + 1.0122823)) + -0.28553396)))))"
26,4.6692126e-5,"square(0.32114178 - soc) + (3.808258 - cube(1.4250621 - sqrt(sqrt((square(square((square(soc) + soc) - 0.29123396)) + soc) + soc) + -0.018280402)))"
27,4.276899e-5,"(square(0.32494915 - soc) + 3.8109396) - cube(1.4592237 - sqrt(sqrt(square(square((sqrt(soc) - 0.24683347) + cube(soc))) + (soc + soc)) + 0.025364704))"
29,4.2409272e-5,"square(soc - 0.32265532) + (3.8086953 - cube(1.470832 - sqrt(sqrt(((soc + soc) * 1.0476929) + square(square((cube(soc) - 0.24593347) + sqrt(soc)))) + 0.033310153)))"
30,4.2069638e-5,"(3.8144524 + square(0.3269237 - soc)) - cube(1.4626218 - sqrt(sqrt(soc + (sin(soc) + square(square(sqrt(soc) + (cube(soc) - 0.24502118))))) + 0.027256034))"
