Complexity,Loss,Equation
1,3.4190397e-9,"0.0008364335"
5,1.9982325e-9,"(x1 * -4.3724413e-6) - -0.00090055034"
6,1.7236023e-9,"0.0009587804 - (log(x1) * 5.026195e-5)"
7,1.4057244e-9,"((x2 * -6.8901295e-6) * x1) - -0.00089066563"
8,5.2182925e-10,"(log(x1 * x2) * -5.096062e-5) - -0.0009195664"
9,4.65127e-10,"(0.0005955156 / (x2 + sqrt(sqrt(x1)))) - -0.0005799341"
10,3.6317988e-10,"(cos(sqrt(sqrt(x1)) + x2) * 0.00018708184) - -0.00096344063"
11,3.0141195e-10,"((x2 + log(log(x1 + x0))) * -0.00014529571) - -0.0010494073"
12,1.8442123e-10,"(log(log(sqrt(x0 + x1)) + x2) * -0.00023137413) - -0.0009718492"
13,1.577765e-10,"(log(log(sqrt(x1) + log(x0)) + x2) * -0.00020672113) - -0.00095634966"
14,1.4054259e-10,"(log(log(sqrt(log(cube(x0)) + x1)) + x2) * -0.00021819187) - -0.00095952593"
15,1.3267752e-10,"(log(x2 + log(log(x0) + sqrt(x1 * 1.5186982))) * -0.00023343205) - -0.0009966396"
