Complexity,Loss,Equation
1,10.800158,"1.7108891"
3,6.288519,"0.61789495 / x2"
5,4.6024075,"x0 * (0.49450424 / x2)"
7,1.4689461,"cube((x0 * 0.13413581) / x2)"
9,1.0682645,"cube(x0 * (0.13138235 / x2)) + 0.6672559"
11,0.9872318,"square(((x0 * -0.26711363) / x2) - -1.090484) + 0.46094477"
12,0.9201416,"0.118975334 / (exp((x0 / x2) * -0.32258272) + 0.0046356735)"
13,0.5225174,"3.3826408 / (cube(((x0 / x2) * -0.103320405) - -2.1228056) + 0.17443831)"
14,0.3952044,"0.80000913 / (exp(cube((x0 / x2) * -0.0975519)) + 0.040826876)"
15,0.3550123,"3.2551033 / ((x0 * cube(((x0 / x2) * -0.09384699) - -1.8469656)) + 0.17708243)"
16,0.32919478,"0.78421426 / (exp(cube(((x0 - -0.092701726) / x2) * -0.09344731)) + 0.040471654)"
17,0.26954305,"(3.1705804 / ((cube(((x0 / x2) * -0.24683465) - -4.8126726) * x2) + 0.1801814)) + 0.71413994"
18,0.2226754,"(27.237833 / (exp(((x0 * (-0.49985325 / x2)) - -7.7580175) * x0) + 1.4782012)) + 0.8116749"
19,0.20122428,"(1.8380383 / ((x2 * cube((x0 * ((-0.19207157 / x2) + -0.092701964)) - -4.0452337)) + 0.100892894)) + 0.70238584"
20,0.15408517,"(0.96921706 / ((x2 * exp((((x0 / x2) * -0.36645705) - -5.1681623) * x0)) + 0.05142026)) + 0.82788926"
22,0.1462829,"(0.89328474 / ((exp((x0 + 0.38493726) * ((x0 * (-0.27044666 / x2)) - -3.7436686)) * x2) + 0.046583544)) + 0.83041614"
24,0.14241534,"(((x2 * exp((((x0 / x2) * -0.31585538) - -4.4087615) * (x0 + 0.24426733))) + 0.04282343) ^ -0.9345616) + 0.83437395"
26,0.11989875,"square((((exp((x0 + 0.7025836) * (((x0 / x2) * -0.35299087) - -5.102645)) * x2) + 0.0257309) ^ -0.3474692) - -0.8269177)"
28,0.11139318,"square(-0.8288164 - (((x2 * exp((1.5910752 ^ x0) * (((x0 * -0.34940842) / x2) - -5.086935))) + 0.027051654) ^ -0.35275632))"
29,0.11129629,"square((((x2 * exp((((x0 / x2) * -0.35076377) - -5.1068525) * exp(x0 * 0.4654541))) + 0.026572349) ^ -0.35096657) - -0.82950366)"
30,0.10932131,"square(-0.87678826 - (((x2 * exp(((1.5814933 ^ x0) + x2) * ((x0 * (-0.34664762 / x2)) - -5.086934))) + 0.031079046) ^ -0.36248204))"
