Complexity,Loss,Equation
1,43.976784,"3.9238896"
3,41.98313,"square(exp(C))"
4,28.021835,"cube(2.1098998 - soc)"
5,16.286085,"square(cube(1.6256021 - soc))"
6,16.128374,"cube(-1.1072531 / (-0.38808328 - soc))"
9,10.476805,"sqrt(square(cube(exp((C ^ soc) - soc))))"
20,10.376203,"exp((((C + (0.43755132 ^ soc)) - ((soc + -0.43648338) * 2.124829)) - soc) + 0.563994) - (1.8330522 - C)"
22,10.038807,"square((((((sqrt(sqrt(C)) + 0.22102435) - soc) - ((soc * 1.993018) - 1.3015403)) * 1.987349) + C) + -0.90622467) - soc"
24,8.203897,"exp(((square(square(square((C ^ soc) ^ soc))) + 0.6909204) * ((sqrt(C) - (soc - 1.2631203)) - soc)) + -0.30233967) - 1.1089717"
25,8.023445,"exp(((square(square(square((C ^ soc) ^ soc))) + 0.7522107) * ((sqrt(C) - (soc - 2.035473)) - soc)) + -1.6904334) - sqrt(C)"
26,7.1365047,"(exp((((3.643332 - (C * -0.3158281)) - soc) * (square(square(square((C ^ soc) ^ soc))) + 0.8103427)) + -3.8523784) - square(C)) - C"
29,6.52597,"(exp((((sqrt(C) - ((C * 0.44057947) - 3.660463)) - soc) * (square(square(square((C ^ soc) ^ soc))) + 0.8063462)) + -4.3889675) - square(C)) - C"
