Complexity,Loss,Equation
1,105.076324,"5.671928"
3,97.42003,"C * 10.931233"
4,71.88682,"cube(2.355184 - soc)"
5,37.86405,"(1.5521688 - soc) ^ 7.9336843"
6,37.18411,"78.31458 / exp(cube(exp(soc)))"
7,22.574598,"cube(C + cube(1.3926488 - soc))"
8,16.032001,"(1.2332962 - cube(soc ^ C)) ^ 16.636192"
9,14.853172,"(1.0974749 - square(square(soc ^ C))) ^ 37.02833"
10,8.972007,"exp(cube(cube(-0.94107956 - soc) + C) - -3.4636796)"
11,5.86034,"cube(exp(cube(C + cube(-0.8575457 - soc)) - -1.1411834))"
12,3.587108,"exp(cube(cube(exp(C) + cube(-1.2067701 - soc))) - -3.3535829)"
13,2.0760906,"exp(cube(cube(cube((1.3473324 ^ C) - soc) + -1.9325064)) + 3.3999896)"
14,1.2134814,"exp(cube(cube(cube(square((1.3432378 ^ C) - soc) + -1.9623104))) - -3.372971)"
15,0.5778964,"exp(exp(cube(cube(cube(cube((1.3428719 ^ C) - soc) + -1.9143322))) + 1.2128079))"
16,0.43647906,"exp(exp(cube(cube(cube(cube(cube((1.3429966 ^ C) - soc) + -1.875777))) + 1.0664451)))"
18,0.41113394,"exp(exp(cube(cube(cube(cube(cube((1.3431875 ^ C) - soc) + -1.875207))) + 1.0669104))) + -0.17739165"
19,0.4090248,"exp(exp(cube(cube(cube(cube(cube((1.3436674 ^ C) - soc) + -1.8761878))) + 1.0667663)) - cube(soc))"
20,0.3656823,"exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8845993))) + 1.033007)) + 0.35817847) - soc"
21,0.35831133,"exp(exp(cube(cube(cube(cube(cube((1.344835 ^ C) - soc) + -1.8866467))) + 1.02276)) + 0.45909914) - sqrt(soc)"
22,0.358162,"exp(exp(cube(cube(cube(cube(cube((1.344835 ^ C) - soc) + -1.8866467))) + 1.02276)) + 0.45930207) - (soc ^ 0.45930207)"
23,0.35283902,"(cube(1.1021591 - soc) + exp(exp(cube(cube(cube(cube(cube((1.345418 ^ C) - soc) + -1.8805944))) + 1.0647086)))) + -0.41297293"
24,0.33341104,"(exp(exp(cube(cube(cube(cube(cube((1.3441533 ^ C) - soc) + -1.8786204))) + 1.0645436))) + exp(cube(soc * -3.086079))) + -0.35210449"
25,0.32266682,"exp(exp(cube(cube(cube(cube(cube((1.3441533 ^ C) - soc) + -1.8786204))) + 1.0645436))) + (exp(cube(cube(soc * -3.086079))) + -0.35210449)"
26,0.2857187,"(exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8804055))) + 1.0642165))) + exp(cube(C + (soc * -4.6146083)))) + -0.31139502"
27,0.26519457,"exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8804055))) + 1.0642165))) + (exp(cube(cube(C + (soc * -4.6146083)))) + -0.31139502)"
28,0.25707573,"(exp(cube(cube(C + cube(-0.82636154 - soc)))) - 0.28467706) + exp(exp(cube(cube(cube(cube(cube((1.342881 ^ C) - soc) + -1.8776617))) + 1.064113)))"
29,0.23898378,"exp(exp(cube(cube(C + cube(-0.8353474 - soc)))) + exp(cube(cube(cube(cube((-0.9671142 - soc) + ((C ^ 1.1714972) * 0.33535329))))) - -0.86611444)) + -0.32224214"
30,0.23522787,"exp(exp(cube(cube(cube(cube((((C ^ 1.1672112) * 0.3352311) - soc) + -0.9675628)))) - -0.86614716) + cube(exp(cube(cube(cube(-0.80669373 - soc) + C))))) - 0.31837946"
