Complexity,Loss,Equation
1,0.91349906,"0.9183584"
3,0.25916627,"0.27669552 / x2"
5,0.2437424,"(0.2509675 / x2) - -0.16809405"
6,0.19847158,"cube(x2) + (0.2582873 / x2)"
7,0.13030277,"square(log(x2) + 0.7351663) - -0.4544362"
8,0.108579636,"x2 + cube(square(square(x2 + -1.2017062)))"
9,0.09794235,"x2 + square(square(cube(exp(x2) + -2.2078617)))"
10,0.052935295,"x2 + (x0 * cube(cube(square(x2 + -1.1599816))))"
11,0.042276666,"(square(cube(cube(x2 + -1.1641372))) * sqrt(x0)) + x2"
12,0.017765226,"(cube(cube(square(x2 + -1.1308774))) * sqrt(exp(x0))) + x2"
13,0.015128544,"x2 + (exp(x0 * 0.562412) * cube(cube(square(x2 + -1.1262808))))"
14,0.013551743,"x2 + (sqrt(exp(x0)) * cube(square(cube((x2 * 0.9296234) + -1.1246852))))"
15,0.013145285,"(exp((x2 + 0.36682653) * x0) * cube(cube(square(x2 + -1.1327536)))) + x2"
