Complexity,Loss,Equation
1,17.336506,"x0"
3,10.970768,"0.707982 / x2"
5,6.463608,"(x0 / x2) - x0"
7,1.6179678,"cube((x0 * 0.14444138) / x2)"
9,1.3454857,"square(((0.30030873 / x2) * x0) - 1.158415)"
10,1.2691572,"exp((x2 / (x0 * -0.024168313)) + 5.2291865)"
12,1.0702667,"exp((x2 / (x0 * -0.022665512)) + 5.349659) + 0.49018705"
13,0.9106228,"0.07329351 / (tanh(x0 / (x2 * -4.6626453)) + 1.0027081)"
15,0.7777737,"(tanh(((x0 / x2) * 0.26197857) + -3.9486554) + 1.0405749) / 0.08046937"
17,0.7290419,"(tanh((((0.26954454 / x2) - -0.08305209) * x0) + -4.2676306) + 1.0422852) * 12.458228"
18,0.6483391,"(tanh(-7.7179785 - ((x0 + 1.8102227) * log(x2))) + 1.0465308) * 12.80045"
19,0.17656904,"(tanh((square((x0 * 0.20109433) + 0.33504963) / x2) + -4.4010367) + 1.0441227) * 12.366565"
20,0.16582306,"(tanh((0.18626384 / x2) + (-5.7049026 - (log(x2) * x0))) + 1.0441648) * 12.819343"
21,0.10298812,"12.286049 * (tanh((((0.09817447 / x2) - 0.20958212) * (2.1971498 ^ x0)) + -2.8793967) + 1.0407348)"
23,0.08810745,"(tanh(((2.050505 ^ x0) * ((0.114274785 / x2) - (x0 * 0.04829766))) + -3.5626612) + 1.041198) * 12.430353"
25,0.083571486,"12.413552 * (tanh(((x0 * 0.32123965) + (((0.1139037 / x2) - 0.26943654) * (2.0291483 ^ x0))) + -3.3778708) + 1.0402229)"
27,0.081775725,"(12.500811 - x2) * (tanh(((x0 * 0.2995212) + -3.392068) + ((2.0415757 ^ x0) * ((0.11397922 / x2) - 0.26437172))) + 1.0433195)"
29,0.07431648,"cube(((tanh((((0.096732646 / x2) - 0.18180726) * (2.128995 ^ x0)) + -2.3717513) - (0.14107482 / x0)) + 2.128995) - x2) + 0.42269787"
