Complexity,Loss,Equation
1,0.93120337,"0.9018487"
3,0.25810176,"0.27098334 / x2"
5,0.24458764,"(0.247822 / x2) + 0.1560428"
6,0.20301169,"cube(x2) + (0.2531437 / x2)"
7,0.13056272,"square(log(x2 * 2.0965612)) + 0.4336925"
8,0.10443574,"exp((x2 * -12.948124) + 2.4111826) + x2"
9,0.10284207,"sqrt(x0 * square(x2 + -0.37924922)) / x2"
10,0.06626762,"exp(x0 + ((x2 * -25.852024) + 2.13272)) - -0.62601936"
11,0.014513972,"x2 + sqrt(exp((x0 + 4.38655) + (x2 * -33.091125)))"
12,0.012055482,"sqrt(square(x2) + exp((x0 + 4.3033996) + (x2 * -31.378304)))"
13,0.009044858,"sqrt((exp((x2 * -31.09946) + (x0 + 4.291787)) + x2) + -0.22657987)"
15,0.0078183655,"(x1 * -0.009655338) + sqrt(x2 + exp((x0 + (x2 * -30.87017)) + 4.334134))"
