Complexity,Loss,Equation
1,0.09608596,"3.7619348"
3,0.010141226,"x0 + 3.2619817"
4,0.0094081415,"sqrt(x0) + 3.0953088"
5,0.005416778,"sqrt(tan(x0)) + 3.0346813"
6,0.0042200773,"tan(sqrt(sqrt(x0))) + 2.6822007"
7,0.0040439754,"tan(sqrt(x0) + 5.2869024) + 4.1325016"
8,0.0024200475,"sqrt(sqrt(tan(x0)) * 2.5915027) + 2.4236622"
9,0.00223797,"sqrt((sqrt(sqrt(tan(x0))) * 11.692851) + 4.525669)"
10,0.0004753038,"cube((tan(sqrt(x0)) - x0) + -1.341328) + 4.74864"
11,0.0004413926,"tan((tan(sqrt(x0)) - sin(x0)) + -1.1959348) + 4.8358617"
12,0.0001227233,"tan(cos(x0) * ((sqrt(x0) - x0) + -1.2558268)) + 5.083132"
13,9.436735e-5,"tan((-1.1963722 - sin(x0)) + tan(sqrt(x0) + -0.04428784)) + 5.0143886"
14,8.643093e-5,"tan(((-1.245359 - x0) + sqrt(x0)) * cos(x0 * 1.0236713)) + 5.0400696"
15,8.623331e-5,"tan((tan(sqrt(x0)) + 1.8999858) - sin(x0)) + (5.01797 - (x0 * 0.14668109))"
