Complexity,Loss,Equation
1,0.0346423,"0.9993388"
4,0.024330508,"exp(0.32369027 / x1)"
5,0.019838516,"exp(exp(0.13850129 - x1))"
6,0.012595646,"exp((0.8273397 - x2) / x1)"
7,0.011320233,"((1.0575078 - x2) / x1) - -0.928155"
8,0.008827802,"exp((cos(log(x1)) - x2) / x1)"
9,0.006464459,"((cos(log(x1)) - x2) / x1) + 1.0696924"
10,0.004790389,"((cos(x1 * -0.24198806) - x2) / x1) - -1.028713"
11,0.0029539126,"(((cos(log(x1)) - x2) / x1) * 1.4987007) + 1.1046218"
12,0.0025037683,"(((cos(log(x1)) - sqrt(x2)) * 2.1627347) / x1) + 1.201534"
13,0.0024335126,"((-0.1456894 - ((cos(log(x1)) - x2) * -1.6970786)) / x1) + 1.1390247"
14,0.0020538073,"(((cos(log(x1)) - sin(x2 * 1.3760713)) / x1) * 1.7462132) - -1.1453211"
15,0.00090868515,"2.6512647 * (((cos(sqrt(0.48025978 * x1)) - x2) / (x1 + 0.5245271)) - -0.44543552)"
