Complexity,Loss,Equation
1,0.13329796,"2.6882355"
4,0.07467854,"log(x1 + 7.4520884)"
5,0.003195667,"(x1 * 0.03728228) - -2.25074"
6,0.0010637922,"(1.0262196 ^ x1) + 1.2892199"
8,0.0009803523,"((1.0329385 ^ x1) + 2.1979485) * 0.7193925"
9,0.0009734565,"log(((1.0734398 ^ x1) + 2.3384032) * 2.997733)"
10,0.00014713187,"((1.0262196 ^ x1) + 1.349769) + (x2 * -0.11269906)"
11,9.195951e-5,"((0.9200431 ^ x2) * (1.02705 ^ x1)) + 1.3347703"
12,9.175279e-5,"((0.9203497 ^ x2) * sqrt(1.0548475 ^ x1)) + 1.3342905"
13,3.3166212e-5,"((0.9698987 ^ x2) + -0.25106487) * ((1.0324441 ^ x1) + 2.1415052)"
14,2.5381249e-5,"sqrt((x2 * -0.56888354) + sqrt(x2 + (1.1106018 ^ x1))) - -1.3370303"
15,1.805998e-5,"((x2 * -0.14503942) - -1.3322849) + sqrt(sqrt(sqrt((1.2378372 ^ x1) + x2)))"
16,1.3674987e-5,"sqrt(sqrt((1.1127236 ^ x1) + (x2 * 0.46726602))) + ((x2 * -0.16593292) + 1.3322216)"
17,4.5563447e-6,"(sqrt(sqrt(sqrt((1.235928 ^ x1) + (x2 * 0.71318257)))) - -1.3368936) + (x2 * -0.13738772)"
19,4.3869313e-6,"(sqrt(sqrt(sqrt((1.2360599 ^ x1) + ((x2 * 0.68367016) + 0.024713416)))) - -1.3357134) + (x2 * -0.13629085)"
