Complexity,Loss,Equation
1,0.11682984,"2.8031244"
3,0.0053649605,"d - -2.3021443"
4,0.0049279565,"square(d) + 2.469357"
5,0.0013040269,"-6.6659074 / (d + -2.9137924)"
7,0.0012889949,"(exp(d) + 1.684606) ^ 0.8424951"
9,4.3404543e-5,"-6.6676865 / (d + (-2.8645375 - (soc * 0.1004011)))"
10,2.5655407e-5,"((soc * -0.03048601) + 0.7078161) * (exp(d) + 2.3277967)"
12,1.2800503e-5,"((soc * -0.034799017) + 0.80888355) * ((2.5019202 ^ d) + 1.9027135)"
13,1.18498265e-5,"exp((((d ^ 1.2168244) * 0.40705717) + (soc * -0.043840613)) - -0.8613519)"
15,9.7856855e-6,"exp((((soc * 0.057631057) - (d + 0.12006991)) - (0.54273677 ^ d)) * -0.7637647)"
16,7.829872e-6,"(((soc - (-0.14839476 - sqrt(d))) * -0.036144216) + 0.8753281) * exp(1.4523822 ^ d)"
17,5.7903894e-6,"exp(((1.4963088 ^ d) + (soc * (square(cube(d - 0.54854214)) + -0.054028876))) * 0.848383)"
18,5.5297733e-6,"exp(((1.4991643 ^ d) + ((-0.05343142 - (-0.026600445 / (84551.59 ^ d))) * soc)) * 0.84739983)"
19,4.349474e-6,"exp((((cube(cube(0.666403 - d)) + -0.058017872) * soc) + (1.5452352 ^ d)) * 0.7731181) / 0.92668355"
20,3.7896104e-6,"exp((((-0.4230343 - soc) * (-0.052000705 - (-0.016825275 / exp(d * 9.77744)))) - (1.4905796 ^ d)) * -0.8650625)"
22,3.1627262e-6,"exp(((soc * (0.04860592 - ((0.017433938 - square(d)) / cube(cube(d + 1.0059934))))) - (1.4953315 ^ d)) * -0.8487138)"
23,2.835613e-6,"exp(((((0.056295145 - ((0.018684857 - square(d)) / cube(cube(exp(d))))) * soc) - (1.5458789 ^ d)) * -0.76849556) + 0.081834085)"
25,2.714682e-6,"exp(((((0.05593305 - ((0.023540417 - square(d)) / (0.3315486 + cube(cube(exp(d)))))) * soc) - (1.5408517 ^ d)) * -0.77639014) + 0.07361961)"
26,2.325458e-6,"exp((((soc * (0.05668528 - (cube((soc * 0.06758265) ^ d) * (0.018456865 - square(d))))) - (1.5559522 ^ d)) * -0.7545556) + 0.09571997)"
28,2.2108145e-6,"exp((((soc * (0.05673367 - ((0.017972559 - square(d / -1.0930159)) * cube((soc * 0.07772408) ^ d)))) - (1.5561136 ^ d)) * -0.7546674) + 0.095495924)"
30,2.050691e-6,"exp(((((soc * 0.057593014) - (((soc * 0.015371118) - square(d / -1.130153)) * cube((soc * 0.07820191) ^ d))) - (1.5617676 ^ d)) * -0.7445288) + 0.10695083)"
