Complexity,Loss,Equation
1,0.034671232,"0.9994209"
4,0.024349801,"exp(0.323331 / x1)"
5,0.01985863,"exp(1.1490501 / exp(x1))"
6,0.012601723,"exp((0.8274367 - x2) / x1)"
7,0.011326878,"((1.0590944 - x2) / x1) + 0.92714775"
8,0.009504061,"(cube(1.26475 - x2) / x1) + 0.92613405"
9,0.0088165905,"exp((0.8173673 - (x2 * sqrt(x1))) / x1)"
10,0.002367967,"sqrt(x1) * (((1.895436 - x2) / x1) + 0.15366799)"
12,0.0010823566,"sqrt((cube(1.8126715 - x2) / x1) + (sqrt(x1) * 0.19572979))"
13,0.0005802352,"sqrt(((cube(1.7943475 - x2) / x1) + 0.3092423) + (x1 * 0.0281933))"
14,0.0003130237,"((square((1.7035357 - x2) / (x1 + 0.20330945)) + 0.016016478) * x1) + 0.596587"
