Complexity,Loss,Equation
1,0.13626108,"2.7465668"
5,0.005729038,"(x1 * 0.037341524) + 2.3085792"
7,0.003522808,"(1.0262604 ^ x1) + 1.3468257"
9,0.0024327333,"(x2 * -0.21371873) + ((x1 * 0.03734647) + 2.4233272)"
11,0.00020533388,"((1.0262628 ^ x1) + 1.4618124) - (x2 * 0.21418041)"
13,4.3523178e-5,"((1.034097 ^ x1) + 2.4458973) * ((x2 * -0.05350382) + 0.7136552)"
15,3.7144127e-5,"sqrt(((1.0474416 ^ x1) + 1.4060591) * ((x2 * -0.36129096) + 2.5092132))"
16,3.0834395e-5,"log((1.0584812 ^ x1) + 3.2568824) * ((x2 * -0.12714012) + 1.6984559)"
17,7.82531e-6,"((1.0270071 ^ x1) + 1.447367) + ((x2 * -0.2788384) + (x2 / (x1 + 8.353354)))"
19,6.8401414e-6,"(x2 * -0.27034587) + (((1.0270071 ^ x1) + 1.447367) + (x2 / ((x1 * 1.3710188) + 8.857316)))"
23,6.3536563e-6,"((((x2 / ((x1 ^ 1.3091257) + 8.827953)) + 1.0021979) * (1.0269583 ^ x1)) + 1.445274) + (x2 * -0.27216727)"
25,5.940806e-6,"(x2 * -0.27222148) + (1.4454843 + (((x2 / ((x1 ^ 1.3088515) + (9.6336775 - x2))) + 1.0025709) * (1.0269396 ^ x1)))"
27,5.5752444e-6,"(x2 * -0.27222148) + ((((x2 / (((x1 ^ 1.3088515) + 9.386108) - cube(x2))) + 1.0025709) * (1.0269396 ^ x1)) + 1.4454843)"
28,5.4187303e-6,"(1.0269483 ^ x1) + (sqrt(exp(x2 / ((x1 * (1.7755953 - x2)) + (6.7209907 - x2))) + (x2 * -0.47487924)) + 0.44725454)"
30,5.1463053e-6,"sqrt((x2 * -0.4748736) + exp(x2 / ((((1.7690603 - x2) * (x2 + x1)) + 5.9104204) - x2))) + ((1.0269583 ^ x1) + 0.44678393)"
