Complexity,Loss,Equation
1,0.009342502,"1.0001856"
4,0.006698152,"sqrt(log(log(x1)))"
5,0.003944544,"0.8352726 + (x1 * 0.009741542)"
6,0.0021098712,"1.1866044 - sqrt(x2 / x1)"
7,0.0019515349,"2.208274 - exp(sqrt(x2 / x1))"
8,0.001181245,"sqrt(sqrt(exp((x1 * 0.032053) - x2)))"
9,0.000773169,"((4.524193 - x2) * 0.20919922) + (x1 * 0.009802527)"
10,0.00022826,"sqrt(log((2.8855207 + cube(x1 * 0.038199067)) - x2))"
11,0.00018896337,"sqrt(sqrt((cube(x1 * 0.03438071) - sqrt(x2)) + 1.4343117))"
13,0.00014483168,"sqrt(sqrt((1.2678965 - sqrt(x2)) + cube(x1 * 0.032944646)) - -0.11139919)"
