Complexity,Loss,Equation
1,0.009342502,"1.0002067"
3,0.008143803,"x2 ^ -0.032076523"
4,0.006698152,"sqrt(log(log(x1)))"
5,0.0039002441,"(1.008065 ^ x1) - 0.14457507"
6,0.0021098715,"1.1865889 - sqrt(x2 / x1)"
7,0.0019370286,"1.2873508 - ((x2 / x1) ^ 0.3673562)"
8,0.0013401473,"(1.0349382 - (x2 / x1)) ^ sqrt(x1)"
9,0.00084756175,"(1.0061299 - (x2 / (x1 ^ 1.603518))) ^ x1"
10,0.0007474674,"sqrt((1.0137987 - (x2 / (x1 ^ 1.3063828))) ^ x1)"
11,0.0006057644,"(1.0076826 - (x2 / (x1 ^ 1.4913211))) ^ (x1 + -2.5516543)"
13,0.00036094728,"(((0.5058124 ^ x1) - (x2 / (x1 ^ 1.5454484))) + 1.0065641) ^ x1"
15,0.0003537043,"(1.0065641 + ((0.5058124 ^ x1) - (x2 / (x1 ^ 1.5454484)))) ^ (x1 ^ 1.0125259)"
