Complexity,Loss,Equation
1,0.009704461,"0.16603793"
3,0.00012289156,"x0 * 0.0996704"
5,0.00012288881,"(x0 + 0.0011832902) * 0.099618435"
6,0.0001228735,"(x0 * 0.09949253) ^ 0.99868274"
7,2.5439285e-5,"x0 * ((x1 * -0.00051100866) + 0.105818294)"
9,1.0289682e-5,"(((x2 * x1) * -0.00079547096) + 0.10506321) * x0"
10,6.3612406e-6,"x0 * ((sqrt(x2 * x1) * -0.0037045083) + 0.10752539)"
11,5.435515e-6,"x0 * ((x1 * -0.0005104871) + ((x2 * -0.009085184) + 0.11091619))"
12,3.4809937e-6,"x0 * (0.109100185 - (sqrt((x1 + x2) * x2) * 0.0041123563))"
13,2.5915665e-6,"x0 * ((sqrt(sqrt(x2) * (x1 + 5.7329073)) * -0.0049538566) - -0.11654027)"
14,1.6003183e-6,"(0.11326955 - (sqrt(x1 + 3.5736866) * ((x3 * -7.034611e-6) + 0.004733455))) * x0"
16,1.3095994e-6,"(x0 * (0.11627585 - (sqrt(x1 + 5.125412) * ((x2 * 0.0023509052) + 0.0027585763)))) + -0.0011365123"
17,1.1772963e-6,"(0.115816206 - (sqrt((x1 + 6.103756) - log(x0)) * ((x2 * 0.0023386625) + 0.002772182))) * x0"
19,1.1175317e-6,"(0.11548382 - (sqrt((x1 + cos(x0)) + 5.5234394) * ((x2 * 0.0023570075) + 0.0027122356))) * x0"
21,1.0780866e-6,"x0 * (0.116035655 - (((x2 * 0.0023316052) + 0.0027952632) * sqrt((cos(x0 + -0.29443526) + x1) + 5.921313)))"
23,1.0659589e-6,"(0.115466826 - (sqrt((5.394968 + x1) + cos(x0 + (-0.6859533 / x0))) * (0.0027137771 + (x2 * 0.0023471727)))) * x0"
26,1.0228817e-6,"(0.114910975 - (sqrt((square(sin(x0 + x2)) + x1) + (6.9969907 - x0)) * (0.0026844789 + (x2 * 0.0023343416)))) * (x0 - -0.007139305)"
27,1.0221885e-6,"(0.114910975 - (sqrt((square(sin(sqrt(x2) + x0)) + x1) + (6.9969907 - x0)) * ((x2 * 0.0023343416) + 0.0026844789))) * (x0 - -0.007139305)"
28,1.0163616e-6,"(0.11483302 - (((x2 * 0.002361546) + 0.0026567862) * sqrt(x1 + ((square(square(sin(sqrt(x2) + x0))) + 6.996989) - x0)))) * (x0 - -0.006847894)"
29,1.0131874e-6,"(0.114910975 - (sqrt((square(sin(x0 + sqrt(x2 / 1.2887632))) + x1) + (6.9969907 - x0)) * ((x2 * 0.0023343416) + 0.0026844789))) * (x0 - -0.007139305)"
