Complexity,Loss,Equation
1,1.4105371,"1.0389093"
2,0.7305976,"exp(C)"
3,0.0075597903,"C / 0.20289676"
5,0.002721481,"(5.373371 - d) * C"
7,0.0013378029,"(5.179359 - (d * soc)) * C"
8,0.00091962906,"C * (5.252544 - (d * sqrt(soc)))"
10,0.0007794726,"(-0.0031787457 - C) * ((d * sqrt(soc)) + -5.2206)"
12,0.0004575265,"sqrt(square((C * ((sqrt(soc) * d) + -5.3106694)) - -0.028402217))"
13,0.0003744138,"(-0.007187331 - (C ^ 1.0304904)) * ((d * sqrt(soc)) + -5.260529)"
14,0.00036152863,"sqrt(square((C * (sqrt(sqrt(cube(d)) * soc) + -5.35423)) - -0.028374575))"
15,0.0002873206,"(-0.007139539 - (C ^ 1.0301224)) * (sqrt(cube(sqrt(d)) * soc) + -5.303456)"
17,0.00023921671,"((C + 0.008336175) / (((-0.15904617 - d) * (sqrt(soc) * -0.04149498)) + 0.19587128)) ^ 1.03349"
18,0.00018934201,"((C / (((soc + 1.0228466) * (0.009888966 - (d * -0.019648492))) + 0.18383472)) ^ 1.0322126) - -0.036317434"
20,0.00017426012,"((C + 0.008733527) / (((d + 0.39224845) * (0.028022237 - (soc * -0.032834355))) + 0.21584056)) + (C ^ 1.1675619)"
22,0.00016357825,"((C / (((soc * 0.010248786) - ((exp(soc / exp(C)) * -0.022853106) * d)) + 0.19150959)) ^ 1.0219849) - -0.03575918"
23,0.00015118666,"((C / (0.19271314 + ((soc * 0.008733529) - (exp(soc / (0.91312325 + C)) * (-0.021315908 * d))))) ^ 1.0235858) - -0.036025286"
24,0.0001394175,"((C / ((0.19265772 - ((d * exp((soc - 0.4308119) / exp(C))) * -0.028914386)) + (soc * 0.0104366895))) ^ 1.0281351) - -0.03537428"
25,0.00012955414,"((C / ((soc * 0.009707798) + (0.19284543 - (d * (exp((soc - s) / square(exp(C))) * -0.029086273))))) ^ 1.0263102) - -0.03552673"
26,0.00012399514,"((C / (((soc * 0.007988165) - ((d * -0.028808203) * exp((soc - s) / square(C + 1.0471396)))) + 0.19410297)) ^ 1.0277663) - -0.036020774"
27,0.000117542906,"((C / (((soc * 0.010585151) + 0.19150546) - ((d * -0.028802823) * exp((soc - (s * d)) / square(exp(C)))))) ^ 1.0242337) - -0.03555076"
28,0.000109652006,"((C / (0.19166885 + ((soc * 0.01083874) - ((d * -0.030277396) * exp((soc - (d * sqrt(s))) / square(exp(C))))))) ^ 1.0261691) - -0.035748124"
29,0.000106516716,"((C / (((soc * 0.010514791) + 0.1921134) - ((d * -0.030671278) * exp((soc - (d * (1.2001121 - soc))) / square(exp(C)))))) ^ 1.0274882) - -0.036336184"
30,0.0001056223,"((C / (0.19248655 + ((soc * 0.00988739) - ((exp((soc - ((s - -0.24197058) * d)) / exp(C / 0.565652)) * -0.030477557) * d)))) ^ 1.0276136) - -0.036330346"
