complexity,loss,equation,score,sympy_format,lambda_format
1,21.86521,6.8604555,0.0,6.86045550000000,PySRFunction(X=>6.86045550000000)
3,20.79475,7.397986 - x2,0.025098119103716985,7.397986 - x2,PySRFunction(X=>7.397986 - x2)
5,17.34003,(1.4027767 - x2) * 7.9262433,0.09084142477360066,(1.4027767 - x2)*7.9262433,PySRFunction(X=>(1.4027767 - x2)*7.9262433)
7,6.6092496,(x2 * (0.91867006 - x2)) * 51.42067,0.4822737894988676,x2*(0.91867006 - x2)*51.42067,PySRFunction(X=>x2*(0.91867006 - x2)*51.42067)
9,2.6117961,square(x2 * (-18.644352 * (0.8802375 - x2))),0.46421598843848993,347.611861499904*x2**2*(0.8802375 - x2)**2,PySRFunction(X=>347.611861499904*x2**2*(0.8802375 - x2)**2)
10,1.7815741,exp((0.8387817 - x2) * (x2 * 14.939253)),0.3825408462190269,exp((0.8387817 - x2)*x2*14.939253),PySRFunction(X=>exp((0.8387817 - x2)*x2*14.939253))
11,1.190172,cube(x2 * cube(2.439493 - (x2 * 1.5631156))),0.40339946486698286,x2**3*(2.439493 - 1.5631156*x2)**9,PySRFunction(X=>x2**3*(2.439493 - 1.5631156*x2)**9)
13,1.1042933,cube((1.153017 - (x2 * (2.0675075 - x2))) * (12.318168 * x2)),0.03744612581666209,1869.12509596949*x2**3*(1.153017 - x2*(2.0675075 - x2))**3,PySRFunction(X=>1869.12509596949*x2**3*(1.153017 - x2*(2.0675075 - x2))**3)
15,1.0991979,cube(((x2 * (1.1371124 - (x2 * (2.0467663 - x2)))) * 12.990795) + -0.08650945),0.0023124254284413314,(x2*(1.1371124 - x2*(2.0467663 - x2))*12.990795 - 0.08650945)**3,PySRFunction(X=>(x2*(1.1371124 - x2*(2.0467663 - x2))*12.990795 - 0.08650945)**3)
17,0.9592433,cube((1.1538432 - (x2 * (2.068758 - x2))) * (x2 * ((x1 * 0.019059582) - -12.083732))),0.06809563325332259,x2**3*(1.1538432 - x2*(2.068758 - x2))**3*(x1*0.019059582 - 1*(-12.083732))**3,PySRFunction(X=>x2**3*(1.1538432 - x2*(2.068758 - x2))**3*(x1*0.019059582 - 1*(-12.083732))**3)
19,0.71674687,cube(((1.1260474 - ((2.0396395 - x2) * x2)) * (16.177237 - ((2.1291368 / x0) + x0))) * x2),0.14571100332969936,x2**3*(1.1260474 - x2*(2.0396395 - x2))**3*(16.177237 - (x0 + 2.1291368/x0))**3,PySRFunction(X=>x2**3*(1.1260474 - x2*(2.0396395 - x2))**3*(16.177237 - (x0 + 2.1291368/x0))**3)
21,0.487171,cube(((1.0502956 - (x2 * (1.9724646 - x2))) * ((-1.6240631 / x0) + 16.747679)) * (x2 - (x0 * 0.015786884))),0.19305377350265776,(1.0502956 - x2*(1.9724646 - x2))**3*(16.747679 - 1.6240631/x0)**3*(-0.015786884*x0 + x2)**3,PySRFunction(X=>(1.0502956 - x2*(1.9724646 - x2))**3*(16.747679 - 1.6240631/x0)**3*(-0.015786884*x0 + x2)**3)
23,0.4037226,cube((((x2 * (15.14579 - (1.9277205 / x0))) - (x0 * 0.31983653)) * (1.0526061 - ((1.9981709 - x2) * x2))) + 0.38746166),0.09394359117881253,((1.0526061 - x2*(1.9981709 - x2))*(-0.31983653*x0 + x2*(15.14579 - 1.9277205/x0)) + 0.38746166)**3,PySRFunction(X=>((1.0526061 - x2*(1.9981709 - x2))*(-0.31983653*x0 + x2*(15.14579 - 1.9277205/x0)) + 0.38746166)**3)
25,0.24516383,cube((x1 * 0.00435022) + (((x2 - (x0 * 0.016896948)) * (1.0544548 - ((1.9803712 - x2) * x2))) * (16.52713 - (1.6981425 / x0)))),0.24940066375538997,(x1*0.00435022 + (1.0544548 - x2*(1.9803712 - x2))*(16.52713 - 1.6981425/x0)*(-0.016896948*x0 + x2))**3,PySRFunction(X=>(x1*0.00435022 + (1.0544548 - x2*(1.9803712 - x2))*(16.52713 - 1.6981425/x0)*(-0.016896948*x0 + x2))**3)
27,0.17182755,cube((((x2 * ((14.570666 - (2.0157163 / x0)) - (x1 * -0.029940858))) - (x0 * 0.33295497)) * (1.0547504 - ((2.0051253 - x2) * x2))) + 0.44606006),0.1777176616838369,((1.0547504 - x2*(2.0051253 - x2))*(-0.33295497*x0 + x2*(-(-0.029940858)*x1 + 14.570666 - 2.0157163/x0)) + 0.44606006)**3,PySRFunction(X=>((1.0547504 - x2*(2.0051253 - x2))*(-0.33295497*x0 + x2*(-(-0.029940858)*x1 + 14.570666 - 2.0157163/x0)) + 0.44606006)**3)
29,0.15448307,cube(((1.0284197 - ((1.981965 - x2) * x2)) * (((((x1 * x2) * 0.07582936) + (15.16377 - (2.134817 / x0))) * x2) - (x0 * 0.35204667))) + 0.46251085),0.05320342326647348,((1.0284197 - x2*(1.981965 - x2))*(-0.35204667*x0 + x2*(x1*x2*0.07582936 + 15.16377 - 2.134817/x0)) + 0.46251085)**3,PySRFunction(X=>((1.0284197 - x2*(1.981965 - x2))*(-0.35204667*x0 + x2*(x1*x2*0.07582936 + 15.16377 - 2.134817/x0)) + 0.46251085)**3)
