complexity,loss,equation,score,sympy_format,lambda_format
1,21.86521,6.859442,0.0,6.85944200000000,PySRFunction(X=>6.85944200000000)
3,20.79475,7.397381 - x2,0.025098119103716985,7.397381 - x2,PySRFunction(X=>7.397381 - x2)
4,18.296803,square(3.1563404 - x2),0.12797420586981031,(3.1563404 - x2)**2,PySRFunction(X=>(3.1563404 - x2)**2)
5,12.97563,cube(2.1388977 - cube(x2)),0.3436533623456008,(2.1388977 - x2**3)**3,PySRFunction(X=>(2.1388977 - x2**3)**3)
6,12.4200535,cube(2.0974808 - square(square(x2))),0.043760598722002386,(2.0974808 - x2**4)**3,PySRFunction(X=>(2.0974808 - x2**4)**3)
7,9.049981,3.2801383 / cube(x2 ^ x2),0.3165497258023759,3.2801383/(x2**(3*x2)),PySRFunction(X=>3.2801383/(x2**(3*x2)))
8,2.0588393,cube(0.784445 / cube(x2 ^ x2)),1.4806202808582574,0.482711335602921/x2**(9*x2),PySRFunction(X=>0.482711335602921/x2**(9*x2))
9,1.901141,cube(0.41168848 / ((x2 ^ x2) + -0.52087176)),0.07968814515944642,0.0697760119643907/(x2**x2 - 0.52087176)**3,PySRFunction(X=>0.0697760119643907/(x2**x2 - 0.52087176)**3)
10,1.3180937,cube(cube(((1.0763799 / x2) ^ x2) + -0.15184991)),0.36626770612656295,((1.0763799/x2)**x2 - 0.15184991)**9,PySRFunction(X=>((1.0763799/x2)**x2 - 0.15184991)**9)
11,1.2494613,sqrt(x2) * cube(cube((0.9344414 / x2) ^ x2)),0.053474027693590324,sqrt(x2)*(0.9344414/x2)**(9*x2),PySRFunction(X=>sqrt(x2)*(0.9344414/x2)**(9*x2))
12,1.1385225,cube(cube((1.0629029 / x2) ^ x2) + -0.84464467) + x2,0.09298112925203554,x2 + ((1.0629029/x2)**(3*x2) - 0.84464467)**3,PySRFunction(X=>x2 + ((1.0629029/x2)**(3*x2) - 0.84464467)**3)
13,1.1126553,cube((1.1364359 / cube(x2 ^ x2)) + (cube(x2) + -1.0739363)),0.022982048350894495,(x2**3 - 1.0739363 + 1.1364359/(x2**(3*x2)))**3,PySRFunction(X=>(x2**3 - 1.0739363 + 1.1364359/(x2**(3*x2)))**3)
14,1.1089756,cube(cube((0.9342298 / x2) ^ x2) + (x2 + -1.0138148)) / 0.7217211,0.003312614498570035,(x2 + (0.9342298/x2)**(3*x2) - 1.0138148)**3/0.7217211,PySRFunction(X=>(x2 + (0.9342298/x2)**(3*x2) - 1.0138148)**3/0.7217211)
15,1.0834394,cube(cube((1.0783832 / x2) ^ x2) + -0.91237074) + sin(x0),0.023296095749561277,((1.0783832/x2)**(3*x2) - 0.91237074)**3 + sin(x0),PySRFunction(X=>((1.0783832/x2)**(3*x2) - 0.91237074)**3 + sin(x0))
16,0.99744993,x2 + cube((x1 * 0.0035255041) + (cube((1.0599787 / x2) ^ x2) + -0.87551993)),0.08269393753987493,x2 + (x1*0.0035255041 + (1.0599787/x2)**(3*x2) - 0.87551993)**3,PySRFunction(X=>x2 + (x1*0.0035255041 + (1.0599787/x2)**(3*x2) - 0.87551993)**3)
17,0.96215075,cube(cube((cube(-0.24367888 / x0) + (1.0926552 / x2)) ^ x2) + -0.9759142) - -1.0951384,0.036030808844961466,((1.0926552/x2 - 0.0144695048483425/x0**3)**(3*x2) - 0.9759142)**3 - 1*(-1.0951384),PySRFunction(X=>((1.0926552/x2 - 0.0144695048483425/x0**3)**(3*x2) - 0.9759142)**3 - 1*(-1.0951384))
18,0.91336393,x2 + (cube(sin(x0)) + cube(cube((1.0649401 / x2) ^ x2) + -0.8858028)),0.05203673301760573,x2 + ((1.0649401/x2)**(3*x2) - 0.8858028)**3 + sin(x0)**3,PySRFunction(X=>x2 + ((1.0649401/x2)**(3*x2) - 0.8858028)**3 + sin(x0)**3)
