complexity,loss,equation,score,sympy_format,lambda_format
1,23.61813,7.0746255,0.0,7.07462550000000,PySRFunction(X=>7.07462550000000)
3,7.327996,4.4615927 / x2,0.5851562779600945,4.4615927/x2,PySRFunction(X=>4.4615927/x2)
5,2.0575607,22.009384 - (x2 * 22.972961),0.635090463281817,22.009384 - 22.972961*x2,PySRFunction(X=>22.009384 - 22.972961*x2)
7,2.0395334,(x2 + -23.312466) * (x2 - 0.9604524),0.004400049376126554,(x2 - 23.312466)*(x2 - 1*0.9604524),PySRFunction(X=>(x2 - 23.312466)*(x2 - 1*0.9604524))
9,1.3417611,(x2 ^ x2) ^ -7.040266,0.20936902569279714,(x2**x2)**(-7.040266),PySRFunction(X=>(x2**x2)**(-7.040266))
11,1.0068756,((x2 ^ x2) ^ -8.623975) * 0.578663,0.14356546698329012,0.578663/(x2**x2)**8.623975,PySRFunction(X=>0.578663/(x2**x2)**8.623975)
12,0.9873885,(cube(x2 * log(x2)) + -0.004399578) * -251.73225,0.01954377082632641,-251.73225*x2**3*log(x2)**3 + 1.1075156689905,PySRFunction(X=>-251.73225*x2**3*log(x2)**3 + 1.1075156689905)
13,0.9867624,(x2 + ((x2 ^ x2) ^ -9.279591)) * 0.45139548,0.000634298037694805,(x2 + (x2**x2)**(-9.279591))*0.45139548,PySRFunction(X=>(x2 + (x2**x2)**(-9.279591))*0.45139548)
14,0.7981918,(cube(x2 * log(x2)) + -0.004459074) * (-239.5858 - x1),0.2120803615228488,(-x1 - 239.5858)*(x2**3*log(x2)**3 - 0.004459074),PySRFunction(X=>(-x1 - 239.5858)*(x2**3*log(x2)**3 - 0.004459074))
16,0.7832783,(cube((x2 * 1.1267928) * log(x2)) + -0.0063850028) * (-163.7962 - x1),0.009430429382215824,(-x1 - 163.7962)*(1.43064601595726*x2**3*log(x2)**3 - 0.0063850028),PySRFunction(X=>(-x1 - 163.7962)*(1.43064601595726*x2**3*log(x2)**3 - 0.0063850028))
18,0.63390946,((25.241636 / x0) + (-259.8854 - x1)) * (cube(x2 * log(x2)) + -0.004542367),0.10579096200732475,(x2**3*log(x2)**3 - 0.004542367)*(-x1 - 259.8854 + 25.241636/x0),PySRFunction(X=>(x2**3*log(x2)**3 - 0.004542367)*(-x1 - 259.8854 + 25.241636/x0))
20,0.5251068,(((9.732903 / cube(x0)) + -250.51784) - x1) * (cube(log(x2) * x2) + -0.0045046657),0.0941522330970049,(x2**3*log(x2)**3 - 0.0045046657)*(-x1 - 250.51784 + 9.732903/x0**3),PySRFunction(X=>(x2**3*log(x2)**3 - 0.0045046657)*(-x1 - 250.51784 + 9.732903/x0**3))
22,0.37427503,(cube(log(x2) * x2) + -0.00453458) * ((cube(x0) + ((48.10321 / x0) - x1)) + -289.92612),0.16930538449170143,(x2**3*log(x2)**3 - 0.00453458)*(x0**3 - x1 - 289.92612 + 48.10321/x0),PySRFunction(X=>(x2**3*log(x2)**3 - 0.00453458)*(x0**3 - x1 - 289.92612 + 48.10321/x0))
24,0.20582584,(cube(log((0.04373471 / x0) + x2) * (x2 * 1.304962)) * (((x0 * 21.438948) + -176.67413) - x1)) + 1.4433742,0.2989802635889066,2.22225348580321*x2**3*(21.438948*x0 - x1 - 176.67413)*log(x2 + 0.04373471/x0)**3 + 1.4433742,PySRFunction(X=>2.22225348580321*x2**3*(21.438948*x0 - x1 - 176.67413)*log(x2 + 0.04373471/x0)**3 + 1.4433742)
26,0.1478595,((((x0 * 7.805682) / x2) + -178.61748) - x1) * ((cube(x2 * log(x2 + (0.041195486 / x0))) * 2.139271) - 0.007027544),0.1653839378834906,(2.139271*x2**3*log(x2 + 0.041195486/x0)**3 - 0.007027544)*(7.805682*x0/x2 - x1 - 178.61748),PySRFunction(X=>(2.139271*x2**3*log(x2 + 0.041195486/x0)**3 - 0.007027544)*(7.805682*x0/x2 - x1 - 178.61748))
28,0.09513705,(cube((log(x2 + (0.045865916 / x0)) * 1.3086859) * x2) - 0.008576702) * ((((x0 + -1.1773956) * 8.714349) / x2) + (-153.49162 - x1)),0.22047200747990184,(2.24133240325586*x2**3*log(x2 + 0.045865916/x0)**3 - 0.008576702)*(-x1 - 153.49162 + (8.714349*x0 - 10.2602361694644)/x2),PySRFunction(X=>(2.24133240325586*x2**3*log(x2 + 0.045865916/x0)**3 - 0.008576702)*(-x1 - 153.49162 + (8.714349*x0 - 10.2602361694644)/x2))
30,0.09505231,(cube((x2 * log(x2 + (0.046104807 / x0))) * 1.3104486) - 0.008702819) * (((((x0 + -1.1777078) * (8.714249 / x2)) + -153.25728) + x2) - x1),0.0004455559743590635,(2.25040131835118*x2**3*log(x2 + 0.046104807/x0)**3 - 0.008702819)*(-x1 + x2 - 153.25728 + 8.714249*(x0 - 1.1777078)/x2),PySRFunction(X=>(2.25040131835118*x2**3*log(x2 + 0.046104807/x0)**3 - 0.008702819)*(-x1 + x2 - 153.25728 + 8.714249*(x0 - 1.1777078)/x2))
