complexity,loss,equation,score,sympy_format,lambda_format
1,21.86521,6.860352,0.0,6.86035200000000,PySRFunction(X=>6.86035200000000)
3,20.79475,7.396906 - x2,0.025098119103716985,7.396906 - x2,PySRFunction(X=>7.396906 - x2)
4,18.296797,square(x2 - 3.1568222),0.127974533796005,(x2 - 1*3.1568222)**2,PySRFunction(X=>(x2 - 1*3.1568222)**2)
5,12.975235,cube(2.1404662 - cube(x2)),0.3436834765645933,(2.1404662 - x2**3)**3,PySRFunction(X=>(2.1404662 - x2**3)**3)
6,8.971938,(square(x2) - x2) * -40.93037,0.3689408343950968,(x2**2 - x2)*(-40.93037),PySRFunction(X=>(x2**2 - x2)*(-40.93037))
7,1.7097039,x2 / (square(cube(x2)) - -0.02581358),1.657781508619939,x2/(x2**6 - 1*(-0.02581358)),PySRFunction(X=>x2/(x2**6 - 1*(-0.02581358)))
8,1.3060371,square(x2 / (-0.07972543 - square(square(x2)))),0.2693227598248253,x2**2/(-x2**4 - 0.07972543)**2,PySRFunction(X=>x2**2/(-x2**4 - 0.07972543)**2)
9,1.2704217,(x2 + -0.059460975) / (square(cube(x2)) + 0.020133434),0.027648545202338715,(x2 - 0.059460975)/(x2**6 + 0.020133434),PySRFunction(X=>(x2 - 0.059460975)/(x2**6 + 0.020133434))
10,1.1656092,(x2 / (square(square(x2)) - -0.07109127)) ^ 1.8694184,0.08610502380072003,(x2/(x2**4 - 1*(-0.07109127)))**1.8694184,PySRFunction(X=>(x2/(x2**4 - 1*(-0.07109127)))**1.8694184)
12,1.1178428,square(cube((2.2415345 / (x2 ^ x2)) + -1.7420118) + x2),0.020921556090362593,(x2 + (-1.7420118 + 2.2415345/(x2**x2))**3)**2,PySRFunction(X=>(x2 + (-1.7420118 + 2.2415345/(x2**x2))**3)**2)
13,1.0683436,((x0 / (x2 ^ 10.549151)) ^ x2) / (x0 - -2.476658),0.045291344974916,(x0/(x2**10.549151))**x2/(x0 - 1*(-2.476658)),PySRFunction(X=>(x0/(x2**10.549151))**x2/(x0 - 1*(-2.476658)))
15,0.879469,((x0 / (x2 ^ 10.497814)) ^ x2) / (x0 - (-2.8051755 + x2)),0.09727318718403714,(x0/(x2**10.497814))**x2/(x0 - (x2 - 2.8051755)),PySRFunction(X=>(x0/(x2**10.497814))**x2/(x0 - (x2 - 2.8051755)))
16,0.731298,((x0 * (2.1529949 / (x2 ^ 13.040513))) ^ x2) / (square(x0) - -9.9194765),0.1844972788393806,(x0*2.1529949/x2**13.040513)**x2/(x0**2 - 1*(-9.9194765)),PySRFunction(X=>(x0*2.1529949/x2**13.040513)**x2/(x0**2 - 1*(-9.9194765)))
17,0.6503246,((x0 * (1.6964699 / (x2 ^ 11.702939))) ^ x2) / (sqrt(cube(x0)) - -5.2800164),0.11734941456336151,(1.6964699*x0/x2**11.702939)**x2/(sqrt(x0**3) + 5.2800164),PySRFunction(X=>(1.6964699*x0/x2**11.702939)**x2/(sqrt(x0**3) + 5.2800164))
18,0.49837458,x2 + ((((x0 * 1.6456604) / (x2 ^ 13.377182)) ^ x2) / (square(x0) - -10.526133)),0.2661196598918053,x2 + (x0*1.6456604/x2**13.377182)**x2/(x0**2 - 1*(-10.526133)),PySRFunction(X=>x2 + (x0*1.6456604/x2**13.377182)**x2/(x0**2 - 1*(-10.526133)))
19,0.4925687,((((x0 * 1.6364938) / (x2 ^ 13.362007)) ^ x2) / (square(x0) - -10.707892)) + sqrt(x2),0.011718019692490313,sqrt(x2) + (1.6364938*x0/x2**13.362007)**x2/(x0**2 + 10.707892),PySRFunction(X=>sqrt(x2) + (1.6364938*x0/x2**13.362007)**x2/(x0**2 + 10.707892))
20,0.43283144,(x1 * 0.046217963) + (((x0 * (1.9016852 / (x2 ^ 13.172354))) ^ x2) / (square(x0) - -10.513113)),0.12928557512265904,x1*0.046217963 + (x0*1.9016852/x2**13.172354)**x2/(x0**2 - 1*(-10.513113)),PySRFunction(X=>x1*0.046217963 + (x0*1.9016852/x2**13.172354)**x2/(x0**2 - 1*(-10.513113)))
