complexity,loss,equation,score,sympy_format,lambda_format
1,22.426449,6.336549,0.0,6.33654900000000,PySRFunction(X=>6.33654900000000)
3,22.030058,6.8369527 - soc,0.008916613828857237,6.8369527 - soc,PySRFunction(X=>6.8369527 - soc)
4,21.241776,6.5867596 - cube(soc),0.03643798488693731,6.5867596 - soc**3,PySRFunction(X=>6.5867596 - soc**3)
5,18.261642,cube(2.053243 - cube(soc)),0.15116701424369502,(2.053243 - soc**3)**3,PySRFunction(X=>(2.053243 - soc**3)**3)
6,7.6954083,(square(soc) - soc) * -40.54713,0.8641789681416068,(soc**2 - soc)*(-40.54713),PySRFunction(X=>(soc**2 - soc)*(-40.54713))
7,2.394411,soc / (cube(square(soc)) + 0.02709239),1.1674865547134485,soc/(soc**6 + 0.02709239),PySRFunction(X=>soc/(soc**6 + 0.02709239))
8,1.5432694,square(soc / (square(square(soc)) + 0.08134286)),0.43923411851257654,soc**2/(soc**4 + 0.08134286)**2,PySRFunction(X=>soc**2/(soc**4 + 0.08134286)**2)
10,1.384483,square(soc / (square(square(soc)) + 0.084061675)) + d,0.05428818416676481,d + soc**2/(soc**4 + 0.084061675)**2,PySRFunction(X=>d + soc**2/(soc**4 + 0.084061675)**2)
11,1.3524104,cube(square((-1.2424198 + soc) / 0.34828547) * soc) + d,0.023438302897922692,d + 560.257733556891*soc**3*(soc - 1.2424198)**6,PySRFunction(X=>d + 560.257733556891*soc**3*(soc - 1.2424198)**6)
12,1.1196027,square(soc / ((square(square(soc)) + 0.07206326) + (C * 0.017304832))),0.18891459162274415,soc**2/(C*0.017304832 + soc**4 + 0.07206326)**2,PySRFunction(X=>soc**2/(C*0.017304832 + soc**4 + 0.07206326)**2)
13,0.87849694,exp(cube((1.5065663 - cube(soc)) - exp(C - (soc / 0.11796115)))),0.24251674480288485,exp((-soc**3 - exp(C - soc/0.11796115) + 1.5065663)**3),PySRFunction(X=>exp((-soc**3 - exp(C - soc/0.11796115) + 1.5065663)**3))
14,0.7773053,exp(((0.7583362 - exp(C - (soc / 0.11940581))) - cube(soc)) * 4.1165695),0.12237922972393458,exp((-soc**3 - exp(C - soc/0.11940581) + 0.7583362)*4.1165695),PySRFunction(X=>exp((-soc**3 - exp(C - soc/0.11940581) + 0.7583362)*4.1165695))
15,0.61630476,d + square(cube(exp(C - (soc / 0.119569354)) - (1.6566207 - cube(soc)))),0.23209161323748562,d + (-(1.6566207 - soc**3) + exp(C - soc/0.119569354))**6,PySRFunction(X=>d + (-(1.6566207 - soc**3) + exp(C - soc/0.119569354))**6)
