complexity,loss,equation,score,sympy_format,lambda_format
1,21.240738,6.2277746,0.0,6.22777460000000,PySRFunction(X=>6.22777460000000)
3,20.912554,6.729346 - soc,0.007785646517767297,6.729346 - soc,PySRFunction(X=>6.729346 - soc)
4,20.144405,6.4776974 - cube(soc),0.03742306615515595,6.4776974 - soc**3,PySRFunction(X=>6.4776974 - soc**3)
5,17.637886,square(cube(soc) + -2.746653),0.132877380214874,(soc**3 - 2.746653)**2,PySRFunction(X=>(soc**3 - 2.746653)**2)
6,7.533237,(square(soc) - soc) * -39.59813,0.8507243722095166,(soc**2 - soc)*(-39.59813),PySRFunction(X=>(soc**2 - soc)*(-39.59813))
7,2.9583135,soc / (cube(square(soc)) + 0.028228005),0.9347054874722045,soc/(soc**6 + 0.028228005),PySRFunction(X=>soc/(soc**6 + 0.028228005))
8,2.1978314,square(soc / (square(square(soc)) + 0.083299585)),0.297148195502629,soc**2/(soc**4 + 0.083299585)**2,PySRFunction(X=>soc**2/(soc**4 + 0.083299585)**2)
9,2.1781821,cube((soc / (cube(soc) + 0.123820975)) + 0.24151139),0.008980517111741812,(soc/(soc**3 + 0.123820975) + 0.24151139)**3,PySRFunction(X=>(soc/(soc**3 + 0.123820975) + 0.24151139)**3)
10,1.9880217,d + square(soc / (square(square(soc)) + 0.086185195)),0.09135060616340702,d + soc**2/(soc**4 + 0.086185195)**2,PySRFunction(X=>d + soc**2/(soc**4 + 0.086185195)**2)
11,1.9798809,square(soc / (square(square(soc)) + 0.085193925)) + square(d),0.004103332285649143,d**2 + soc**2/(soc**4 + 0.085193925)**2,PySRFunction(X=>d**2 + soc**2/(soc**4 + 0.085193925)**2)
12,1.7367216,cube(soc / (cube(soc) + 0.11800979)) / (C ^ C),0.13103749330728912,(soc**3/(soc**3 + 0.11800979)**3)/(C**C),PySRFunction(X=>(soc**3/(soc**3 + 0.11800979)**3)/(C**C))
13,1.3376353,square(soc / (((C ^ C) * 0.107812665) + square(square(soc)))),0.2610958445245133,soc**2/(C**C*0.107812665 + soc**4)**2,PySRFunction(X=>soc**2/(C**C*0.107812665 + soc**4)**2)
14,1.3160061,square(soc / (((C ^ C) * 0.10626165) + cube(soc + -0.09639922))),0.016301885399573543,soc**2/(C**C*0.10626165 + (soc - 0.09639922)**3)**2,PySRFunction(X=>soc**2/(C**C*0.10626165 + (soc - 0.09639922)**3)**2)
15,1.1240835,square(soc / (square(square(soc)) + ((C ^ C) * 0.1114823))) + d,0.15763343118225015,d + soc**2/(C**C*0.1114823 + soc**4)**2,PySRFunction(X=>d + soc**2/(C**C*0.1114823 + soc**4)**2)
16,1.1163427,square(d) + square(soc / (square(square(soc)) + ((C ^ C) * 0.11023133))),0.006910141295386514,d**2 + soc**2/(C**C*0.11023133 + soc**4)**2,PySRFunction(X=>d**2 + soc**2/(C**C*0.11023133 + soc**4)**2)
17,1.0305054,square((d * 0.3081609) + (soc / (((C ^ C) / 8.68907) + square(square(soc))))),0.08000853416378527,(d*0.3081609 + soc/(C**C/8.68907 + soc**4))**2,PySRFunction(X=>(d*0.3081609 + soc/(C**C/8.68907 + soc**4))**2)
18,0.99618816,square((soc / (square(square(soc)) + ((C ^ C) * 0.11023133))) + cube(C * d)),0.03386848508652444,(C**3*d**3 + soc/(C**C*0.11023133 + soc**4))**2,PySRFunction(X=>(C**3*d**3 + soc/(C**C*0.11023133 + soc**4))**2)
19,0.93035316,square(((C * d) * 0.5340234) + (soc / (square(square(soc)) + ((C ^ C) * 0.11362275)))),0.06837189940586712,(C*d*0.5340234 + soc/(C**C*0.11362275 + soc**4))**2,PySRFunction(X=>(C*d*0.5340234 + soc/(C**C*0.11362275 + soc**4))**2)
