complexity,loss,equation,score,sympy_format,lambda_format
1,14.73535,9.447384,0.0,9.44738400000000,PySRFunction(X=>9.44738400000000)
3,13.298023,soc + 8.946838,0.05131699565725919,soc + 8.946838,PySRFunction(X=>soc + 8.946838)
4,5.70297,sqrt(soc * 196.58856),0.8466282857908665,14.0210042436339*sqrt(soc),PySRFunction(X=>14.0210042436339*sqrt(soc))
6,3.7141883,soc * cube(3.2920573 - soc),0.2144134650360685,soc*(3.2920573 - soc)**3,PySRFunction(X=>soc*(3.2920573 - soc)**3)
7,2.5965664,cube(cube(soc - 1.3532758)) + 11.507891,0.3579702048373261,(soc - 1*1.3532758)**9 + 11.507891,PySRFunction(X=>(soc - 1*1.3532758)**9 + 11.507891)
8,1.915815,cube(cube(1.3122306 - exp(soc / -0.07228787))),0.30404683729852133,(1.3122306 - exp(soc/(-0.07228787)))**9,PySRFunction(X=>(1.3122306 - exp(soc/(-0.07228787)))**9)
9,1.6620476,cube(2.27319 - exp((soc / -0.12288528) + C)),0.14209278334763964,(2.27319 - exp(C + soc/(-0.12288528)))**3,PySRFunction(X=>(2.27319 - exp(C + soc/(-0.12288528)))**3)
10,0.5129126,cube(2.252624 - exp(cube(C + (soc / -0.1327819)))),1.1757001549120911,(2.252624 - exp((C + soc/(-0.1327819))**3))**3,PySRFunction(X=>(2.252624 - exp((C + soc/(-0.1327819))**3))**3)
11,0.4397098,exp(cube(1.3476334 - cube(exp((soc / -0.15324993) + C)))),0.15399049642374255,exp((1.3476334 - exp(3*C + 3*soc/(-0.15324993)))**3),PySRFunction(X=>exp((1.3476334 - exp(3*C + 3*soc/(-0.15324993)))**3))
12,0.2794024,exp(cube(1.3464677 - exp(((C * -0.20096038) + soc) / -0.038954653))),0.453461927240646,exp((1.3464677 - exp((C*(-0.20096038) + soc)/(-0.038954653)))**3),PySRFunction(X=>exp((1.3464677 - exp((C*(-0.20096038) + soc)/(-0.038954653)))**3))
13,0.20784493,cube(exp(0.8129938 - exp(cube((soc / -0.17916153) + (C - 0.6195835))))),0.29586076381099874,11.4613602533774*exp(-3*exp((C + soc/(-0.17916153) - 1*0.6195835)**3)),PySRFunction(X=>11.4613602533774*exp(-3*exp((C + soc/(-0.17916153) - 1*0.6195835)**3)))
14,0.18049663,cube(exp(0.8121473 - square(exp(cube((soc / -0.19338027) - (0.45968962 - C)))))),0.14108016557180034,11.4322910552507*exp(-3*exp(2*(soc/(-0.19338027) - (0.45968962 - C))**3)),PySRFunction(X=>11.4322910552507*exp(-3*exp(2*(soc/(-0.19338027) - (0.45968962 - C))**3)))
15,0.15112536,exp(cube(cube(1.1018376 - exp((soc / -0.025364194) + (C / 0.12258729))))) + C,0.17760241617241707,C + exp((1.1018376 - exp(C/0.12258729 + soc/(-0.025364194)))**9),PySRFunction(X=>C + exp((1.1018376 - exp(C/0.12258729 + soc/(-0.025364194)))**9))
16,0.14633581,C + exp(cube(1.338173 - exp((((C * -0.20890824) + soc) / -0.030496357) - -0.6332861))),0.032205641973118815,C + exp((1.338173 - exp((C*(-0.20890824) + soc)/(-0.030496357) - 1*(-0.6332861)))**3),PySRFunction(X=>C + exp((1.338173 - exp((C*(-0.20890824) + soc)/(-0.030496357) - 1*(-0.6332861)))**3))
17,0.11991094,C + (cube(exp(cube(0.93505657 - exp((soc / -0.03435718) + (C * 6.0582633))))) - soc),0.1991547485196374,C - soc + exp(3*(0.93505657 - exp(C*6.0582633 + soc/(-0.03435718)))**3),PySRFunction(X=>C - soc + exp(3*(0.93505657 - exp(C*6.0582633 + soc/(-0.03435718)))**3))
19,0.11153268,cube(exp(cube(0.92948 - exp((soc / -0.032841906) + (C * 6.547163))))) + (C * (1.3525022 - soc)),0.03621582922324336,C*(1.3525022 - soc) + exp(3*(0.92948 - exp(C*6.547163 + soc/(-0.032841906)))**3),PySRFunction(X=>C*(1.3525022 - soc) + exp(3*(0.92948 - exp(C*6.547163 + soc/(-0.032841906)))**3))
20,0.09937216,((2.6863031 - exp(soc)) * C) + exp(2.4076316 - exp(((soc / -0.03533687) + (C * 6.085889)) + 1.7991886)),0.11544564817710415,C*(2.6863031 - exp(soc)) + exp(2.4076316 - exp(C*6.085889 + soc/(-0.03533687) + 1.7991886)),PySRFunction(X=>C*(2.6863031 - exp(soc)) + exp(2.4076316 - exp(C*6.085889 + soc/(-0.03533687) + 1.7991886)))
21,0.09140171,exp(2.4143233 - exp(1.7554841 + ((soc / -0.03648172) + (C * 5.8935075)))) + square(0.35172072 + (C - square(soc))),0.08360780669312011,(C - soc**2 + 0.35172072)**2 + exp(2.4143233 - exp(C*5.8935075 + soc/(-0.03648172) + 1.7554841)),PySRFunction(X=>(C - soc**2 + 0.35172072)**2 + exp(2.4143233 - exp(C*5.8935075 + soc/(-0.03648172) + 1.7554841)))
22,0.06657168,(exp(cube(1.3522685 - exp((soc + (C * -0.2281688)) / -0.035692595))) - 0.8793234) - (C / cube(-0.75006306 - cube(soc))),0.31698492536941264,-C/((-soc**3 - 0.75006306)**3) + exp((1.3522685 - exp((C*(-0.2281688) + soc)/(-0.035692595)))**3) - 1*0.8793234,PySRFunction(X=>-C/((-soc**3 - 0.75006306)**3) + exp((1.3522685 - exp((C*(-0.2281688) + soc)/(-0.035692595)))**3) - 1*0.8793234)
23,0.063435204,exp(cube(1.3561952 - exp((soc + (C * -0.22606383)) / -0.036210243))) - ((C / (-0.37383512 - cube(soc * 1.4777888))) + 1.1036565),0.04826028640956273,-(C/(-3.2272834607087*soc**3 - 0.37383512) + 1.1036565) + exp((1.3561952 - exp((C*(-0.22606383) + soc)/(-0.036210243)))**3),PySRFunction(X=>-(C/(-3.2272834607087*soc**3 - 0.37383512) + 1.1036565) + exp((1.3561952 - exp((C*(-0.22606383) + soc)/(-0.036210243)))**3))
24,0.057302095,(exp(cube(1.3553095 - exp((soc + (C * -0.22528592)) / -0.036777604))) - 0.9544997) - (C / (-0.4222737 - cube(cube(soc + 0.39845926)))),0.10168179047072526,-C/(-(soc + 0.39845926)**9 - 0.4222737) + exp((1.3553095 - exp((C*(-0.22528592) + soc)/(-0.036777604)))**3) - 1*0.9544997,PySRFunction(X=>-C/(-(soc + 0.39845926)**9 - 0.4222737) + exp((1.3553095 - exp((C*(-0.22528592) + soc)/(-0.036777604)))**3) - 1*0.9544997)
26,0.049172975,cube(square(sqrt(sqrt(soc) + C) - square(soc))) + exp(2.4159229 - exp((soc / -0.037617076) + (((C + 5.037449) * C) + 1.7292985))),0.07649650052041473,(-soc**2 + sqrt(C + sqrt(soc)))**6 + 11.2001021634942*exp(-5.63669837727632*exp(C*(C + 5.037449) - 26.5836717346133*soc)),PySRFunction(X=>(-soc**2 + sqrt(C + sqrt(soc)))**6 + 11.2001021634942*exp(-5.63669837727632*exp(C*(C + 5.037449) - 26.5836717346133*soc)))
27,0.04798321,exp(2.4163952 - exp((soc / -0.03765121) + (1.781868 + (cube(C) + (C * 5.0931325))))) + square(cube(sqrt(sqrt(soc) + C) - square(soc))),0.02449302591626791,(-soc**2 + sqrt(C + sqrt(soc)))**6 + 11.2053932211309*exp(-5.94094374271778*exp(C**3 + 5.0931325*C - 26.5595713922607*soc)),PySRFunction(X=>(-soc**2 + sqrt(C + sqrt(soc)))**6 + 11.2053932211309*exp(-5.94094374271778*exp(C**3 + 5.0931325*C - 26.5595713922607*soc)))
28,0.039071906,square(cube(sqrt(sqrt(C)) + (soc - square(soc * -1.3413353)))) + exp(2.413817 - exp((((C + 4.8734035) * C) + 1.737455) + (soc / -0.038371522))),0.2054474659393548,(C**(1/4) - 1.79918038702609*soc**2 + soc)**6 + 11.1765406861133*exp(-5.68286211893661*exp(C*(C + 4.8734035) - 26.0609938797841*soc)),PySRFunction(X=>(C**(1/4) - 1.79918038702609*soc**2 + soc)**6 + 11.1765406861133*exp(-5.68286211893661*exp(C*(C + 4.8734035) - 26.0609938797841*soc)))
29,0.036061473,exp(2.4179032 - exp((((C + 4.9567) * C) + (soc / -0.039086528)) + 1.6329553)) + square(square(square(soc + (sqrt(sqrt(C)) - square(soc * -1.35071))))),0.08017862658391356,(C**(1/4) - 1.8244175041*soc**2 + soc)**8 + 11.2223037014059*exp(-5.1189805095703*exp(C*(C + 4.9567) - 25.5842626902036*soc)),PySRFunction(X=>(C**(1/4) - 1.8244175041*soc**2 + soc)**8 + 11.2223037014059*exp(-5.1189805095703*exp(C*(C + 4.9567) - 25.5842626902036*soc)))
30,0.03490849,square(square(square((sqrt(sqrt(C)) - square(soc * -1.348678)) + soc))) + exp(2.417553 - exp(((C + (soc / -0.1974688)) * 5.086757) + (cube(C) + 1.683793))),0.03249499942704593,(C**(1/4) - 1.818932347684*soc**2 + soc)**8 + 11.2183743387212*exp(-5.38594617048765*exp(C**3 + 5.086757*C - 25.7598010419874*soc)),PySRFunction(X=>(C**(1/4) - 1.818932347684*soc**2 + soc)**8 + 11.2183743387212*exp(-5.38594617048765*exp(C**3 + 5.086757*C - 25.7598010419874*soc)))
