complexity,loss,equation,score,sympy_format,lambda_format
1,14.738889,9.447541,0.0,9.44754100000000,PySRFunction(X=>9.44754100000000)
3,13.301228,soc + 8.948152,0.05131657449680872,soc + 8.948152,PySRFunction(X=>soc + 8.948152)
4,5.7083006,sqrt(soc) * 14.021381,0.8459350006353785,14.021381*sqrt(soc),PySRFunction(X=>14.021381*sqrt(soc))
6,3.7193253,soc * cube(3.292126 - soc),0.2141895401447793,soc*(3.292126 - soc)**3,PySRFunction(X=>soc*(3.292126 - soc)**3)
7,2.595231,cube(cube(soc + -1.3532163)) + 11.50873,0.3598667508705262,(soc - 1.3532163)**9 + 11.50873,PySRFunction(X=>(soc - 1.3532163)**9 + 11.50873)
8,1.9166352,cube(cube(1.3121996 - exp(soc * -13.857677))),0.30310438138200585,(1.3121996 - exp(soc*(-13.857677)))**9,PySRFunction(X=>(1.3121996 - exp(soc*(-13.857677)))**9)
9,1.6636356,cube(2.2732046 - exp(C + (soc * -8.129967))),0.14156582058257214,(2.2732046 - exp(C + soc*(-8.129967)))**3,PySRFunction(X=>(2.2732046 - exp(C + soc*(-8.129967)))**3)
10,0.5125506,cube(2.2526424 - exp(cube(C + (soc * -7.5335298)))),1.177361169168417,(2.2526424 - exp((C + soc*(-7.5335298))**3))**3,PySRFunction(X=>(2.2526424 - exp((C + soc*(-7.5335298))**3))**3)
11,0.43997702,exp(cube(1.3476671 - cube(exp((soc * -6.525282) + C)))),0.152676939570538,exp((1.3476671 - exp(3*C + 3*soc*(-6.525282)))**3),PySRFunction(X=>exp((1.3476671 - exp(3*C + 3*soc*(-6.525282)))**3))
12,0.29020452,exp(cube(1.3460115 - cube(square(exp((soc * -4.6852717) + C))))),0.4161365824817003,exp((1.3460115 - exp(6*C + 6*soc*(-4.6852717)))**3),PySRFunction(X=>exp((1.3460115 - exp(6*C + 6*soc*(-4.6852717)))**3))
