complexity,loss,equation,score,sympy_format,lambda_format
1,0.003419486,0.83645034,0.0,0.836450340000000,PySRFunction(X=>0.836450340000000)
5,0.0018728822,exp(log(x1) * -0.07331508),0.1505029299127748,x1**(-0.07331508),PySRFunction(X=>x1**(-0.07331508))
6,0.001869956,cube(exp(log(x1) * -0.024104917)),0.0015636265528099287,x1**(-0.072314751),PySRFunction(X=>x1**(-0.072314751))
7,0.0015343175,(0.6591943 / (x0 + x1)) + 0.77725995,0.19782924442110097,0.77725995 + 0.6591943/(x0 + x1),PySRFunction(X=>0.77725995 + 0.6591943/(x0 + x1))
8,0.0012772416,(0.40106475 / (x2 + sqrt(x1))) + 0.72747266,0.1833829041791419,0.72747266 + 0.40106475/(sqrt(x1) + x2),PySRFunction(X=>0.72747266 + 0.40106475/(sqrt(x1) + x2))
9,0.0004910956,(0.6901935 / ((x1 * x2) + 2.7350047)) + 0.7444416,0.9558192180334626,0.7444416 + 0.6901935/(x1*x2 + 2.7350047),PySRFunction(X=>0.7444416 + 0.6901935/(x1*x2 + 2.7350047))
11,0.00017145445,(0.7457227 / (sqrt(x0 + x1) * exp(x2))) + 0.7080194,0.526160589932646,0.7080194 + 0.7457227*exp(-x2)/sqrt(x0 + x1),PySRFunction(X=>0.7080194 + 0.7457227*exp(-x2)/sqrt(x0 + x1))
12,0.00016232485,sqrt((1.3104554 / (sqrt(x0 + x1) * exp(x2))) + 0.47704682),0.054718059339003124,sqrt(0.47704682 + 1.3104554*exp(-x2)/sqrt(x0 + x1)),PySRFunction(X=>sqrt(0.47704682 + 1.3104554*exp(-x2)/sqrt(x0 + x1)))
13,0.00014951415,(0.795899 / (exp(x2) * sqrt(x1 + (x0 * 1.3962696)))) + 0.7034743,0.08220853714079118,0.7034743 + 0.795899*exp(-x2)/sqrt(1.3962696*x0 + x1),PySRFunction(X=>0.7034743 + 0.795899*exp(-x2)/sqrt(1.3962696*x0 + x1))
14,0.000137751,(0.780289 / (exp(x2) * sqrt((x0 + x1) + log(x0)))) + 0.7036781,0.08194332964645043,0.7036781 + 0.780289*exp(-x2)/sqrt(x0 + x1 + log(x0)),PySRFunction(X=>0.7036781 + 0.780289*exp(-x2)/sqrt(x0 + x1 + log(x0)))
15,0.00013466201,(1.0038936 / (exp(x2) * sqrt(x1 + ((x1 + 1.6838686) * x0)))) + 0.72054213,0.02267969804755932,0.72054213 + 1.0038936*exp(-x2)/sqrt(x0*(x1 + 1.6838686) + x1),PySRFunction(X=>0.72054213 + 1.0038936*exp(-x2)/sqrt(x0*(x1 + 1.6838686) + x1))
