complexity,loss,equation,score,sympy_format,lambda_format
1,22.426449,6.3368425,0.0,6.33684250000000,PySRFunction(X=>6.33684250000000)
3,22.030058,6.8373632 - soc,0.008916613828857237,6.8373632 - soc,PySRFunction(X=>6.8373632 - soc)
4,21.241777,6.5851164 - cube(soc),0.03643793780989555,6.5851164 - soc**3,PySRFunction(X=>6.5851164 - soc**3)
5,18.261639,cube(2.0529008 - cube(soc)),0.1511672255995154,(2.0529008 - soc**3)**3,PySRFunction(X=>(2.0529008 - soc**3)**3)
6,7.6954083,(soc - square(soc)) * 40.543777,0.864178803862828,(-soc**2 + soc)*40.543777,PySRFunction(X=>(-soc**2 + soc)*40.543777)
7,4.250024,(soc ^ soc) ^ -6.791486,0.5936991963328334,(soc**soc)**(-6.791486),PySRFunction(X=>(soc**soc)**(-6.791486))
8,1.9895911,exp(((0.8703102 - soc) * 13.719676) * soc),0.7589954897431086,exp((0.8703102 - soc)*13.719676*soc),PySRFunction(X=>exp((0.8703102 - soc)*13.719676*soc))
9,1.547227,cube(cube(1.6216668 - soc) * (soc * 3.2410018)),0.25146484379246065,34.0437832430689*soc**3*(1.6216668 - soc)**9,PySRFunction(X=>34.0437832430689*soc**3*(1.6216668 - soc)**9)
11,1.2235932,square(square(soc - 1.1631149) * ((soc * 16.766556) - C)),0.11733626026807806,(-C + soc*16.766556)**2*(soc - 1*1.1631149)**4,PySRFunction(X=>(-C + soc*16.766556)**2*(soc - 1*1.1631149)**4)
13,1.0019934,cube((cube(1.5672549 - soc) * 3.9512784) * (soc - (C * 0.038487617))),0.09990018004642329,61.689733076622*(1.5672549 - soc)**9*(-0.038487617*C + soc)**3,PySRFunction(X=>61.689733076622*(1.5672549 - soc)**9*(-0.038487617*C + soc)**3)
14,0.74536383,cube((soc * cube(1.6052793 - soc)) * (3.4787788 - square(C - soc))),0.29587423321121714,soc**3*(1.6052793 - soc)**9*(3.4787788 - (C - soc)**2)**3,PySRFunction(X=>soc**3*(1.6052793 - soc)**9*(3.4787788 - (C - soc)**2)**3)
16,0.55439186,cube(((soc * 3.6585555) * cube(1.5846053 - soc)) - square(soc - C)) + d,0.1480003481786655,d + (soc*3.6585555*(1.5846053 - soc)**3 - (-C + soc)**2)**3,PySRFunction(X=>d + (soc*3.6585555*(1.5846053 - soc)**3 - (-C + soc)**2)**3)
18,0.4932008,cube(cube(1.6043676 - soc) * ((3.3603494 - (square(C - soc) + (d * -0.24841855))) * soc)),0.05847768593966572,soc**3*(1.6043676 - soc)**9*(3.3603494 - (d*(-0.24841855) + (C - soc)**2))**3,PySRFunction(X=>soc**3*(1.6043676 - soc)**9*(3.3603494 - (d*(-0.24841855) + (C - soc)**2))**3)
19,0.46669856,(d + cube(soc * (cube(1.59474 - soc) * (3.1446526 - square(soc - C))))) ^ 1.1569711,0.05523282589177343,(d + soc**3*(1.59474 - soc)**9*(3.1446526 - (-C + soc)**2)**3)**1.1569711,PySRFunction(X=>(d + soc**3*(1.59474 - soc)**9*(3.1446526 - (-C + soc)**2)**3)**1.1569711)
20,0.41565233,(d + (((soc ^ C) * 0.4017267) / ((soc ^ soc) ^ 11.400339))) * sqrt(sqrt(C)),0.11583440181787713,C**(1/4)*(d + 0.4017267*soc**C/(soc**soc)**11.400339),PySRFunction(X=>C**(1/4)*(d + 0.4017267*soc**C/(soc**soc)**11.400339))
21,0.29674438,(sqrt(C) * ((soc * ((d + 1.9650056) * 0.24473023)) ^ C)) / ((soc ^ soc) ^ 10.217364),0.33697807082921893,sqrt(C)*(soc*(0.24473023*d + 0.480896272439288))**C/(soc**soc)**10.217364,PySRFunction(X=>sqrt(C)*(soc*(0.24473023*d + 0.480896272439288))**C/(soc**soc)**10.217364)
22,0.2380279,sqrt(C) * ((((soc * (exp(C) + d)) * 0.1826184) ^ C) / ((soc ^ soc) ^ 10.696244)),0.22048320111832453,sqrt(C)*(0.1826184*soc*(d + exp(C)))**C/(soc**soc)**10.696244,PySRFunction(X=>sqrt(C)*(0.1826184*soc*(d + exp(C)))**C/(soc**soc)**10.696244)
23,0.22445932,((((exp(C) + exp(d)) * 0.13458131) * soc) ^ C) * (sqrt(C) / ((soc ^ soc) ^ 10.533707)),0.058693405601180595,sqrt(C)*(soc*(0.13458131*exp(C) + 0.13458131*exp(d)))**C/(soc**soc)**10.533707,PySRFunction(X=>sqrt(C)*(soc*(0.13458131*exp(C) + 0.13458131*exp(d)))**C/(soc**soc)**10.533707)
24,0.195305,sqrt(C + -0.03794541) * ((((d + exp(C)) * (0.16123752 * soc)) ^ C) / ((soc ^ soc) ^ 11.045605)),0.13913204889709357,(0.16123752*soc*(d + exp(C)))**C*sqrt(C - 0.03794541)/(soc**soc)**11.045605,PySRFunction(X=>(0.16123752*soc*(d + exp(C)))**C*sqrt(C - 0.03794541)/(soc**soc)**11.045605)
25,0.17981045,sqrt(sqrt(C) + -0.25385436) * ((((d + exp(C)) * (soc * 0.2080061)) ^ C) / ((soc ^ soc) ^ 10.691449)),0.08265919871132972,(0.2080061*soc*(d + exp(C)))**C*sqrt(sqrt(C) - 0.25385436)/(soc**soc)**10.691449,PySRFunction(X=>(0.2080061*soc*(d + exp(C)))**C*sqrt(sqrt(C) - 0.25385436)/(soc**soc)**10.691449)
26,0.15635811,((sqrt(C + -0.05199786) / ((soc ^ soc) ^ 11.151432)) + soc) * (((exp(C) + d) * (soc * 0.1518522)) ^ C),0.13975428712079918,(0.1518522*soc*(d + exp(C)))**C*(soc + sqrt(C - 0.05199786)/(soc**soc)**11.151432),PySRFunction(X=>(0.1518522*soc*(d + exp(C)))**C*(soc + sqrt(C - 0.05199786)/(soc**soc)**11.151432))
27,0.148001,(((soc * 0.1546743) * (d + exp(C))) ^ C) * ((sqrt(C + -0.046242595) / ((soc ^ soc) ^ 11.132532)) + cube(soc)),0.054929922863247986,(0.1546743*soc*(d + exp(C)))**C*(soc**3 + sqrt(C - 0.046242595)/(soc**soc)**11.132532),PySRFunction(X=>(0.1546743*soc*(d + exp(C)))**C*(soc**3 + sqrt(C - 0.046242595)/(soc**soc)**11.132532))
28,0.14072812,(((sqrt(C) + -0.15176885) * ((soc * (exp(C + (soc * d)) * 0.112617835)) ^ C)) / ((soc ^ soc) ^ 12.098058)) - -0.48234928,0.05038922849303258,(0.112617835*soc*exp(C + d*soc))**C*(sqrt(C) - 0.15176885)/(soc**soc)**12.098058 + 0.48234928,PySRFunction(X=>(0.112617835*soc*exp(C + d*soc))**C*(sqrt(C) - 0.15176885)/(soc**soc)**12.098058 + 0.48234928)
29,0.1407261,(((sqrt(C) + -0.15192606) * ((((soc * exp(C)) * exp(soc * d)) * 0.112768285) ^ C)) / ((soc ^ soc) ^ 12.097097)) - -0.48240334,1.4354021766300071e-05,(0.112768285*soc*exp(C)*exp(d*soc))**C*(sqrt(C) - 0.15192606)/(soc**soc)**12.097097 + 0.48240334,PySRFunction(X=>(0.112768285*soc*exp(C)*exp(d*soc))**C*(sqrt(C) - 0.15192606)/(soc**soc)**12.097097 + 0.48240334)
30,0.13007104,(((sqrt(C) + -0.13983366) / ((soc ^ soc) ^ 11.950547)) * ((soc * (exp(((d + -0.21911119) * soc) + C) * 0.13067785)) ^ C)) - -0.47190076,0.07873468524493611,(0.13067785*soc*exp(C + soc*(d - 0.21911119)))**C*(sqrt(C) - 0.13983366)/(soc**soc)**11.950547 + 0.47190076,PySRFunction(X=>(0.13067785*soc*exp(C + soc*(d - 0.21911119)))**C*(sqrt(C) - 0.13983366)/(soc**soc)**11.950547 + 0.47190076)
