complexity,loss,equation,score,sympy_format,lambda_format
1,21.86521,6.859815,0.0,6.85981500000000,PySRFunction(X=>6.85981500000000)
3,20.794752,7.3981223 - x2,0.025098071014658406,7.3981223 - x2,PySRFunction(X=>7.3981223 - x2)
5,17.340061,11.10319 - (x2 * 7.900473),0.09084057897803824,11.10319 - 7.900473*x2,PySRFunction(X=>11.10319 - 7.900473*x2)
7,6.609435,x2 * ((x2 * -51.548492) + 47.335148),0.48226065778218086,x2*(47.335148 + x2*(-51.548492)),PySRFunction(X=>x2*(47.335148 + x2*(-51.548492)))
9,2.6119034,square((16.40495 - (x2 * 18.62912)) * x2),0.46420947304198273,x2**2*(16.40495 - 18.62912*x2)**2,PySRFunction(X=>x2**2*(16.40495 - 18.62912*x2)**2)
10,1.7815812,exp(x2 * (12.533213 - (x2 * 14.942929))),0.38257794298280356,exp(x2*(12.533213 - 14.942929*x2)),PySRFunction(X=>exp(x2*(12.533213 - 14.942929*x2)))
12,1.4503685,exp(x2 * (12.678501 - (x2 * 15.479891))) + x2,0.10284181125843649,x2 + exp(x2*(12.678501 - 15.479891*x2)),PySRFunction(X=>x2 + exp(x2*(12.678501 - 15.479891*x2)))
13,1.1421075,cube((x2 * 11.560833) / cosh(x2 / 0.31341287)),0.23894242217254258,1545.13839043105*x2**3/cosh(x2/0.31341287)**3,PySRFunction(X=>1545.13839043105*x2**3/cosh(x2/0.31341287)**3)
15,1.1239893,cube(x2 * ((11.557576 / cosh(x2 / 0.32295597)) + -0.17871255)),0.007995504025083469,x2**3*(-0.17871255 + 11.557576/cosh(x2/0.32295597))**3,PySRFunction(X=>x2**3*(-0.17871255 + 11.557576/cosh(x2/0.32295597))**3)
17,1.0246037,cube(((-0.13209121 / x0) + (11.600019 / cosh(x2 / -0.31833977))) * x2),0.046289164085728446,x2**3*(11.600019/cosh(x2/(-0.31833977)) - 0.13209121/x0)**3,PySRFunction(X=>x2**3*(11.600019/cosh(x2/(-0.31833977)) - 0.13209121/x0)**3)
19,0.9629296,cube(x2 * ((-0.051864628 / cube(x0)) + (11.5700445 / cosh(x2 / -0.31643417)))),0.031040439209331177,x2**3*(11.5700445/cosh(x2/(-0.31643417)) - 0.051864628/x0**3)**3,PySRFunction(X=>x2**3*(11.5700445/cosh(x2/(-0.31643417)) - 0.051864628/x0**3)**3)
