complexity,loss,equation,score,sympy_format,lambda_format
1,0.0039349706,0.7075021,0.0,0.707502100000000,PySRFunction(X=>0.707502100000000)
5,0.0031542429,(0.008584766 / x2) + 0.68200666,0.05528872788478474,0.68200666 + 0.008584766/x2,PySRFunction(X=>0.68200666 + 0.008584766/x2)
7,0.0029277017,(0.00044620436 / square(x2)) + 0.6988391,0.0372653931990454,0.6988391 + 0.00044620436/(x2**2),PySRFunction(X=>0.6988391 + 0.00044620436/(x2**2))
9,0.0017672395,cube((x0 * 0.032343328) / x2) + 0.6918678,0.25239949393848116,3.38340600005804e-5*x0**3/x2**3 + 0.6918678,PySRFunction(X=>3.38340600005804e-5*x0**3/x2**3 + 0.6918678)
11,0.00049298763,cube(cube((x0 / x2) * 0.04365317)) + 0.6988973,0.6383449605744863,5.75628224745136e-13*x0**9/x2**9 + 0.6988973,PySRFunction(X=>5.75628224745136e-13*x0**9/x2**9 + 0.6988973)
13,0.00046859818,square(cube(((x0 / x2) * 0.06369303) + -0.45800522)) + 0.69811314,0.025369220146686605,(x0*0.06369303/x2 - 0.45800522)**6 + 0.69811314,PySRFunction(X=>(x0*0.06369303/x2 - 0.45800522)**6 + 0.69811314)
15,0.0004317224,sqrt(cube(cube((x0 / x2) * 0.050391264) + -0.22549361) + 0.5003863),0.040981426528113825,sqrt((0.000127957503025289*x0**3/x2**3 - 0.22549361)**3 + 0.5003863),PySRFunction(X=>sqrt((0.000127957503025289*x0**3/x2**3 - 0.22549361)**3 + 0.5003863))
16,0.000414035,log(cube(cube(((x0 / x2) * 0.06473714) + -0.33497283)) + 2.0128143),0.041832277785685476,log((0.06473714*x0/x2 - 0.33497283)**9 + 2.0128143),PySRFunction(X=>log((0.06473714*x0/x2 - 0.33497283)**9 + 2.0128143))
17,0.00034709065,cube(square(sin(cube((x0 * 0.049319677) / x2)))) + 0.69969344,0.17636452629179566,sin(0.000119966688527371*x0**3/x2**3)**6 + 0.69969344,PySRFunction(X=>sin(0.000119966688527371*x0**3/x2**3)**6 + 0.69969344)
18,0.0003110423,log(square(cube((x0 * (0.048480228 / x2)) ^ x0)) + 2.010992),0.10965706923086664,log((0.048480228*x0/x2)**(6*x0) + 2.010992),PySRFunction(X=>log((0.048480228*x0/x2)**(6*x0) + 2.010992))
19,0.000264578,cube(sin(cube(((x0 * 0.047267273) / x2) ^ x0))) + 0.69903326,0.16179281193674772,sin((x0*0.047267273/x2)**(3*x0))**3 + 0.69903326,PySRFunction(X=>sin((x0*0.047267273/x2)**(3*x0))**3 + 0.69903326)
21,0.00015288862,cube(sin(cube((x0 * (0.048511166 / x2)) ^ x0)) + -0.07365957) + 0.6999769,0.2742132107103596,(sin((x0*0.048511166/x2)**(3*x0)) - 0.07365957)**3 + 0.6999769,PySRFunction(X=>(sin((x0*0.048511166/x2)**(3*x0)) - 0.07365957)**3 + 0.6999769)
23,0.00014150683,cube(sin(cube((((0.04773005 / x2) + 0.0043465677) * x0) ^ x0)) + -0.066011295) + 0.7002156,0.038680848982476375,(sin((x0*(0.0043465677 + 0.04773005/x2))**(3*x0)) - 0.066011295)**3 + 0.7002156,PySRFunction(X=>(sin((x0*(0.0043465677 + 0.04773005/x2))**(3*x0)) - 0.066011295)**3 + 0.7002156)
25,0.00013282971,cube(sin(cube((-0.24784903 / (x2 / (x0 / (x2 + -5.271073)))) ^ x0)) + -0.054137826) + 0.6997967,0.03164002628467442,(sin((-0.24784903*x0/(x2*(x2 - 5.271073)))**(3*x0)) - 0.054137826)**3 + 0.6997967,PySRFunction(X=>(sin((-0.24784903*x0/(x2*(x2 - 5.271073)))**(3*x0)) - 0.054137826)**3 + 0.6997967)
27,0.00010123325,cube(sin(cube((-0.10491121 / (x2 / ((x0 / (x2 + -2.3637102)) + -0.028776662))) ^ x0)) + -0.06604156) + 0.6997219,0.13582033584890352,(sin((-0.10491121*(x0/(x2 - 2.3637102) - 0.028776662)/x2)**(3*x0)) - 0.06604156)**3 + 0.6997219,PySRFunction(X=>(sin((-0.10491121*(x0/(x2 - 2.3637102) - 0.028776662)/x2)**(3*x0)) - 0.06604156)**3 + 0.6997219)
29,8.3534294e-05,square(cube(sin(square((-0.10507838 / (x2 / (-0.072765976 + (x0 / (x2 + -2.3766942))))) ^ x0))) + -0.088732995) + 0.69198304,0.09608500303785639,(sin((-0.10507838*(x0/(x2 - 2.3766942) - 0.072765976)/x2)**(2*x0))**3 - 0.088732995)**2 + 0.69198304,PySRFunction(X=>(sin((-0.10507838*(x0/(x2 - 2.3766942) - 0.072765976)/x2)**(2*x0))**3 - 0.088732995)**2 + 0.69198304)
