complexity,loss,equation,score,sympy_format,lambda_format
1,0.0039349706,0.7075021,0.0,0.707502100000000,PySRFunction(X=>0.707502100000000)
5,0.0031542182,(0.008601142 / x2) + 0.6818063,0.05529068557300767,0.6818063 + 0.008601142/x2,PySRFunction(X=>0.6818063 + 0.008601142/x2)
6,0.0029278384,square(-0.02114533 / x2) + 0.69915193,0.07447626481986433,0.69915193 + 0.0004471249808089/x2**2,PySRFunction(X=>0.69915193 + 0.0004471249808089/x2**2)
7,0.0029223347,square(square(-0.015406147 / x2) + 0.83674264),0.0018815517180850222,(0.83674264 + 0.000237349365385609/x2**2)**2,PySRFunction(X=>(0.83674264 + 0.000237349365385609/x2**2)**2)
8,0.001767269,(cube(x0 / x2) * 3.3969856e-5) + 0.6918835,0.5029474344228556,(x0**3/x2**3)*3.3969856e-5 + 0.6918835,PySRFunction(X=>(x0**3/x2**3)*3.3969856e-5 + 0.6918835)
9,0.00049299886,cube(cube((x0 / x2) * 0.043646533)) + 0.69897556,1.2766838344935463,5.74841040279964e-13*x0**9/x2**9 + 0.69897556,PySRFunction(X=>5.74841040279964e-13*x0**9/x2**9 + 0.69897556)
11,0.00044389366,sqrt(square(cube(square(x0 / x2) * 0.0022174232)) + 0.48935822),0.05246091621242759,sqrt(1.18875271649554e-16*x0**12/x2**12 + 0.48935822),PySRFunction(X=>sqrt(1.18875271649554e-16*x0**12/x2**12 + 0.48935822))
13,0.00034709825,cube(square(sin(cube(x0 * (0.049325783 / x2))))) + 0.6997423,0.12298857408080505,sin(0.00012001125130661*x0**3/x2**3)**6 + 0.6997423,PySRFunction(X=>sin(0.00012001125130661*x0**3/x2**3)**6 + 0.6997423)
14,0.00033275838,cube(square(cube(square(sin((x0 * 0.06578558) / x2))))) + 0.6997922,0.04219124005009224,sin(x0*0.06578558/x2)**36 + 0.6997922,PySRFunction(X=>sin(x0*0.06578558/x2)**36 + 0.6997922)
15,0.00026457824,cube(sin(cube(((x0 / x2) * 0.047268596) ^ x0))) + 0.69900393,0.22927963007043412,sin((x0*0.047268596/x2)**(3*x0))**3 + 0.69900393,PySRFunction(X=>sin((x0*0.047268596/x2)**(3*x0))**3 + 0.69900393)
16,0.00023920425,square(square(sin(square(((x0 * 0.04785079) / x2) ^ x0)))) + 0.69871885,0.10081922148263577,sin((x0*0.04785079/x2)**(2*x0))**4 + 0.69871885,PySRFunction(X=>sin((x0*0.04785079/x2)**(2*x0))**4 + 0.69871885)
17,0.00015291263,cube(sin(cube(((x0 / x2) * 0.048519332) ^ x0)) + -0.07430386) + 0.7001829,0.44745107694508557,(sin((x0*0.048519332/x2)**(3*x0)) - 0.07430386)**3 + 0.7001829,PySRFunction(X=>(sin((x0*0.048519332/x2)**(3*x0)) - 0.07430386)**3 + 0.7001829)
19,0.00013457763,cube(sin(cube((((0.04671205 / x2) + 0.010446613) * x0) ^ x0)) + -0.04422043) + 0.6998512,0.06386275263513022,(sin((x0*(0.010446613 + 0.04671205/x2))**(3*x0)) - 0.04422043)**3 + 0.6998512,PySRFunction(X=>(sin((x0*(0.010446613 + 0.04671205/x2))**(3*x0)) - 0.04422043)**3 + 0.6998512)
21,0.00010422555,cube(sin(cube(((x0 + 0.07430917) * ((0.04418652 / x2) + 0.020696955)) ^ x0)) + -0.07738195) + 0.70003766,0.127791953232013,(sin(((0.020696955 + 0.04418652/x2)*(x0 + 0.07430917))**(3*x0)) - 0.07738195)**3 + 0.70003766,PySRFunction(X=>(sin(((0.020696955 + 0.04418652/x2)*(x0 + 0.07430917))**(3*x0)) - 0.07738195)**3 + 0.70003766)
23,9.9024226e-05,cube((sin(cube(((x0 + 0.07430917) * ((0.04418652 / x2) + 0.020696955)) ^ x0)) + -0.08367635) / 0.9819499) + 0.70003766,0.025596386764193294,1.05616557846063*(sin(((0.020696955 + 0.04418652/x2)*(x0 + 0.07430917))**(3*x0)) - 0.08367635)**3 + 0.70003766,PySRFunction(X=>1.05616557846063*(sin(((0.020696955 + 0.04418652/x2)*(x0 + 0.07430917))**(3*x0)) - 0.08367635)**3 + 0.70003766)
