complexity,loss,equation,score,sympy_format,lambda_format
1,3.466186e-16,0.70000005,0.0,0.700000050000000,PySRFunction(X=>0.700000050000000)
11,3.1615619000000004e-16,0.7 / (((x0 / x2) + 6.6051216) ^ -5.0757222e-8),0.009198867638125458,0.7/((x0/x2 + 6.6051216)**(-5.0757222e-8)),PySRFunction(X=>0.7/((x0/x2 + 6.6051216)**(-5.0757222e-8)))
15,3.1608366000000003e-16,0.7 / ((((x2 + (x0 + 0.35049134)) / x2) + x0) ^ -5.1360253e-8),5.7359560867741035e-05,0.7/((x0 + (x0 + x2 + 0.35049134)/x2)**(-5.1360253e-8)),PySRFunction(X=>0.7/((x0 + (x0 + x2 + 0.35049134)/x2)**(-5.1360253e-8)))
17,3.0941094e-16,0.7 / (exp(exp((0.15581669 / x2) * x0)) ^ -2.7362661e-8),0.010668314555174115,0.7/(exp(exp(0.15581669*x0/x2))**(-2.7362661e-8)),PySRFunction(X=>0.7/(exp(exp(0.15581669*x0/x2))**(-2.7362661e-8)))
19,2.7140548000000003e-16,0.7 / (exp(exp(cube(x0 / x2) * 0.0010936115)) ^ -2.9813787e-8),0.06552817873835541,0.7/(exp(exp((x0**3/x2**3)*0.0010936115))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp((x0**3/x2**3)*0.0010936115))**(-2.9813787e-8)))
20,2.5588415e-16,0.7 / (exp(exp(exp((x2 / -0.10081373) + x0))) ^ -2.9813787e-8),0.058889135805678505,0.7/(exp(exp(exp(x0 + x2/(-0.10081373))))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp(x0 + x2/(-0.10081373))))**(-2.9813787e-8)))
22,1.997463e-16,0.7 / (exp(exp(exp((x0 + (x2 / -0.117525436)) - x1))) ^ -2.9813787e-8),0.12383837083473627,0.7/(exp(exp(exp(x0 - x1 + x2/(-0.117525436))))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp(x0 - x1 + x2/(-0.117525436))))**(-2.9813787e-8)))
24,1.1960118000000002e-16,0.7 / (exp(exp(exp(((x2 / -0.10081373) + x0) / (x1 + 0.6875369)))) ^ -2.9813787e-8),0.2564426768161447,0.7/(exp(exp(exp((x0 + x2/(-0.10081373))/(x1 + 0.6875369))))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp((x0 + x2/(-0.10081373))/(x1 + 0.6875369))))**(-2.9813787e-8)))
26,6.266551000000001e-17,0.7 / (exp(exp(exp((((x2 / -0.10081373) + x0) - (x1 * 0.021295063)) / 0.6895431))) ^ -2.9813787e-8),0.32317574557195305,0.7/(exp(exp(exp((x0 - 0.021295063*x1 + x2/(-0.10081373))/0.6895431)))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp((x0 - 0.021295063*x1 + x2/(-0.10081373))/0.6895431)))**(-2.9813787e-8)))
28,6.1867684e-17,0.7 / (exp(exp(exp(((x1 / x0) * -0.11465256) + ((x0 + (x2 / -0.10081376)) / 0.6895431)))) ^ -2.9813787e-8),0.0064066205151915995,0.7/(exp(exp(exp((x0 + x2/(-0.10081376))/0.6895431 + x1*(-0.11465256)/x0)))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp((x0 + x2/(-0.10081376))/0.6895431 + x1*(-0.11465256)/x0)))**(-2.9813787e-8)))
30,5.860385400000001e-17,0.7 / (exp(exp(exp((x0 + ((x2 / -0.10081373) - (x1 * (0.39191648 ^ x0)))) / 0.6895431))) ^ -2.9813787e-8),0.027098756587933086,0.7/(exp(exp(exp((-0.39191648**x0*x1 + x0 + x2/(-0.10081373))/0.6895431)))**(-2.9813787e-8)),PySRFunction(X=>0.7/(exp(exp(exp((-0.39191648**x0*x1 + x0 + x2/(-0.10081373))/0.6895431)))**(-2.9813787e-8)))
