complexity,loss,equation,score,sympy_format,lambda_format
1,0.07120152,0.8068778,0.0,0.806877800000000,PySRFunction(X=>0.806877800000000)
3,0.047544956,0.5885727 ^ soc,0.20191923047637164,0.5885727**soc,PySRFunction(X=>0.5885727**soc)
5,0.025638292,(0.0034341183 ^ soc) + 0.6218573,0.3087943451914471,0.0034341183**soc + 0.6218573,PySRFunction(X=>0.0034341183**soc + 0.6218573)
12,0.024205707,sqrt(square((square(soc ^ soc) + 0.8525123) - (soc ^ C))),0.008214083337541579,sqrt((-soc**C + soc**(2*soc) + 0.8525123)**2),PySRFunction(X=>sqrt((-soc**C + soc**(2*soc) + 0.8525123)**2))
13,0.02392426,square(square(sqrt(sqrt(exp(cube(0.1022558 ^ soc))))) - 0.22429237) ^ 0.7682287,0.011695424935111014,((sqrt(exp(0.1022558**(3*soc))) - 0.22429237)**2)**0.7682287,PySRFunction(X=>((sqrt(exp(0.1022558**(3*soc))) - 0.22429237)**2)**0.7682287)
18,0.02005767,sqrt(square(((((0.45773304 ^ C) * 0.45713213) + square(soc ^ soc)) + 0.5461381) - (soc ^ C))),0.03525627652576258,sqrt((0.45713213*0.45773304**C - soc**C + soc**(2*soc) + 0.5461381)**2),PySRFunction(X=>sqrt((0.45713213*0.45773304**C - soc**C + soc**(2*soc) + 0.5461381)**2))
19,0.020025387,sqrt(square(((sqrt((0.13936761 ^ C) * 0.15971822) + square(soc ^ soc)) + 0.6095757) - (soc ^ C))),0.0016108056319346377,sqrt((-soc**C + soc**(2*soc) + 0.39964761978523*sqrt(0.13936761**C) + 0.6095757)**2),PySRFunction(X=>sqrt((-soc**C + soc**(2*soc) + 0.39964761978523*sqrt(0.13936761**C) + 0.6095757)**2))
20,0.018909171,sqrt(square(((soc ^ soc) - ((soc ^ C) + soc)) - -0.76505524) + (soc * sqrt(0.20730956 ^ C))),0.05735377613947733,sqrt(soc*sqrt(0.20730956**C) + (-soc - soc**C + soc**soc + 0.76505524)**2),PySRFunction(X=>sqrt(soc*sqrt(0.20730956**C) + (-soc - soc**C + soc**soc + 0.76505524)**2))
25,0.017120501,sqrt(square(((square(soc ^ soc) + 0.41740575) - (soc ^ C)) + (0.41740575 - (soc ^ C))) + sqrt(C * (0.22850056 ^ C))),0.01987408163335918,sqrt(sqrt(0.22850056**C*C) + (-2*soc**C + soc**(2*soc) + 0.8348115)**2),PySRFunction(X=>sqrt(sqrt(0.22850056**C*C) + (-2*soc**C + soc**(2*soc) + 0.8348115)**2))
27,0.01705313,sqrt((sqrt(C * sqrt(cube(0.22850056 ^ C))) + square((C - soc) + square(soc - square(sqrt((0.13447432 ^ soc) * 0.91831636))))) / 0.9797239),0.00197143485514759,sqrt(1.02069572866396*sqrt(C*sqrt(0.22850056**(3*C))) + 1.02069572866396*(C - soc + (-0.91831636*0.13447432**soc + soc)**2)**2),PySRFunction(X=>sqrt(1.02069572866396*sqrt(C*sqrt(0.22850056**(3*C))) + 1.02069572866396*(C - soc + (-0.91831636*0.13447432**soc + soc)**2)**2))
28,0.016122308,sqrt(sqrt(C * sqrt(cube(0.22850056 ^ C))) + square((C - soc) + square(soc - sqrt(square(((0.13447432 ^ soc) * sqrt(0.8126361)) ^ 0.8214445))))),0.056129861585398066,sqrt(sqrt(C*sqrt(0.22850056**(3*C))) + (C - soc + (soc - 0.918316374029209*sqrt((0.13447432**soc)**1.642889))**2)**2),PySRFunction(X=>sqrt(sqrt(C*sqrt(0.22850056**(3*C))) + (C - soc + (soc - 0.918316374029209*sqrt((0.13447432**soc)**1.642889))**2)**2))
29,0.014862057,sqrt((sqrt(C * cube(sqrt(0.19587535 ^ C))) + square((C - soc) + square(soc - square(sqrt(((0.12315938 ^ soc) * 0.9303201) ^ 0.8222855))))) / 0.9254595),0.08139244799587003,sqrt(1.08054431339243*sqrt(C*(0.19587535**C)**(3/2)) + 1.08054431339243*(C - soc + (soc - 0.94233838253949*(0.12315938**soc)**0.8222855)**2)**2),PySRFunction(X=>sqrt(1.08054431339243*sqrt(C*(0.19587535**C)**(3/2)) + 1.08054431339243*(C - soc + (soc - 0.94233838253949*(0.12315938**soc)**0.8222855)**2)**2))
