complexity,loss,equation,score,sympy_format,lambda_format
1,0.071200974,0.80623287,0.0,0.806232870000000,PySRFunction(X=>0.806232870000000)
3,0.047536775,0.5929562 ^ soc,0.20200143803955195,0.5929562**soc,PySRFunction(X=>0.5929562**soc)
4,0.0413894,1.4728016 - sqrt(soc),0.13847881262010467,1.4728016 - sqrt(soc),PySRFunction(X=>1.4728016 - sqrt(soc))
5,0.023282092,(0.0003180899 ^ soc) + 0.6823371,0.5753403280316393,0.0003180899**soc + 0.6823371,PySRFunction(X=>0.0003180899**soc + 0.6823371)
7,0.021040395,((C * 0.0009831121) ^ soc) + 0.6754474,0.050620159955626645,(C*0.0009831121)**soc + 0.6754474,PySRFunction(X=>(C*0.0009831121)**soc + 0.6754474)
8,0.014322072,exp(soc * (-4.4123163 / C)) + 0.6830271,0.38464231765459755,exp(soc*(-4.4123163)/C) + 0.6830271,PySRFunction(X=>exp(soc*(-4.4123163)/C) + 0.6830271)
9,0.0055568903,exp(cube((-4.0257874 / C) * soc)) + 0.68607587,0.9467631905673891,0.68607587 + exp(-65.2457922283482*soc**3/C**3),PySRFunction(X=>0.68607587 + exp(-65.2457922283482*soc**3/C**3))
10,0.0039199824,exp(cube(cube(soc * (-4.0485816 / C)))) + 0.6798485,0.3489514892391826,0.6798485 + exp(-292230.857858144*soc**9/C**9),PySRFunction(X=>0.6798485 + exp(-292230.857858144*soc**9/C**9))
12,0.00026636003,exp(-0.22216521 - (((soc * 4.004102) / C) ^ 23.581533)) + 0.7004929,1.3444967765532858,exp(-(soc*4.004102/C)**23.581533 - 0.22216521) + 0.7004929,PySRFunction(X=>exp(-(soc*4.004102/C)**23.581533 - 0.22216521) + 0.7004929)
14,0.0002559861,exp(-0.22216521 - ((soc * (4.0288954 / (C + 0.0037259983))) ^ 23.581377)) + 0.7003516,0.01986287187075264,exp(-(soc*4.0288954/(C + 0.0037259983))**23.581377 - 0.22216521) + 0.7003516,PySRFunction(X=>exp(-(soc*4.0288954/(C + 0.0037259983))**23.581377 - 0.22216521) + 0.7003516)
15,0.00024876322,exp(-0.22238146 - ((((3.9801185 / C) * soc) + cube(soc)) ^ 23.58173)) + 0.70049286,0.02862162577527284,exp(-(soc**3 + 3.9801185*soc/C)**23.58173 - 0.22238146) + 0.70049286,PySRFunction(X=>exp(-(soc**3 + 3.9801185*soc/C)**23.58173 - 0.22238146) + 0.70049286)
16,0.00024855,exp(-0.22216521 - ((((soc ^ 1.8495847) + (3.9760964 / C)) * soc) ^ 23.581377)) + 0.7005544,0.0008574878144794959,exp(-(soc*(soc**1.8495847 + 3.9760964/C))**23.581377 - 0.22216521) + 0.7005544,PySRFunction(X=>exp(-(soc*(soc**1.8495847 + 3.9760964/C))**23.581377 - 0.22216521) + 0.7005544)
17,0.00021850254,exp(-0.22216521 - ((((3.9760964 / C) + square(0.6561603 - C)) * soc) ^ 23.581377)) + 0.7005544,0.12884639335864437,exp(-(soc*((0.6561603 - C)**2 + 3.9760964/C))**23.581377 - 0.22216521) + 0.7005544,PySRFunction(X=>exp(-(soc*((0.6561603 - C)**2 + 3.9760964/C))**23.581377 - 0.22216521) + 0.7005544)
18,0.00019654822,exp(-0.22216521 - ((soc * (square(0.56089485 - square(C)) + (3.9653878 / C))) ^ 23.581377)) + 0.7005544,0.10588984357496722,exp(-(soc*((0.56089485 - C**2)**2 + 3.9653878/C))**23.581377 - 0.22216521) + 0.7005544,PySRFunction(X=>exp(-(soc*((0.56089485 - C**2)**2 + 3.9653878/C))**23.581377 - 0.22216521) + 0.7005544)
19,0.00019555044,exp(-0.22216521 - ((soc * (square((C ^ 2.2231572) - 0.54326695) + (3.9542816 / C))) ^ 23.581377)) + 0.70049286,0.0050894443441560225,exp(-(soc*((C**2.2231572 - 1*0.54326695)**2 + 3.9542816/C))**23.581377 - 0.22216521) + 0.70049286,PySRFunction(X=>exp(-(soc*((C**2.2231572 - 1*0.54326695)**2 + 3.9542816/C))**23.581377 - 0.22216521) + 0.70049286)
21,0.00017659049,exp(-0.22292815 - cube(cube(square(-0.38568813 + (soc * (sqrt(square(C - 0.7450554)) - (-5.453962 / C))))))) + 0.7005544,0.05099245752633572,0.7005544 + 0.800172339611791*exp(-(soc*(sqrt((C - 0.7450554)**2) + 5.453962/C) - 0.38568813)**18),PySRFunction(X=>0.7005544 + 0.800172339611791*exp(-(soc*(sqrt((C - 0.7450554)**2) + 5.453962/C) - 0.38568813)**18))
22,0.00017573808,square(exp(-0.94668746 - cube(square(cube((soc * (sqrt(square(0.7454984 - C)) - (-5.453962 / C))) + -0.39227897)))) + 0.8370173),0.00483873143268046,(0.8370173 + 0.388024242748567*exp(-(soc*(sqrt((0.7454984 - C)**2) + 5.453962/C) - 0.39227897)**18))**2,PySRFunction(X=>(0.8370173 + 0.388024242748567*exp(-(soc*(sqrt((0.7454984 - C)**2) + 5.453962/C) - 0.39227897)**18))**2)
23,0.00017483122,exp(-0.22292815 - cube(cube(square(-0.38568813 + (soc * (sqrt(square(log(1.7524921 - C))) - (-5.453962 / C))))))) + 0.7005544,0.005173653384950743,0.7005544 + 0.800172339611791*exp(-(soc*(sqrt(log(1.7524921 - C)**2) + 5.453962/C) - 0.38568813)**18),PySRFunction(X=>0.7005544 + 0.800172339611791*exp(-(soc*(sqrt(log(1.7524921 - C)**2) + 5.453962/C) - 0.38568813)**18))
