complexity,loss,equation,score,sympy_format,lambda_format
1,10.8001585,1.7103744,0.0,1.71037440000000,PySRFunction(X=>1.71037440000000)
3,6.288519,0.61812127 / x2,0.2704176100298262,0.61812127/x2,PySRFunction(X=>0.61812127/x2)
5,3.977912,square(log(x2)) * x0,0.22898426568542246,x0*log(x2)**2,PySRFunction(X=>x0*log(x2)**2)
6,1.4689461,cube((x0 * 0.13413872) / x2),0.9962118536262833,0.00241358430741126*x0**3/x2**3,PySRFunction(X=>0.00241358430741126*x0**3/x2**3)
8,1.0682644,(0.0022673546 * cube(x0 / x2)) + 0.66738784,0.15925496472492356,0.0022673546*(x0**3/x2**3) + 0.66738784,PySRFunction(X=>0.0022673546*(x0**3/x2**3) + 0.66738784)
10,0.92020965,0.12206828 / (exp(x0 * (-0.32055673 / x2)) + 0.004731309),0.07459451495342632,0.12206828/(exp(x0*(-0.32055673)/x2) + 0.004731309),PySRFunction(X=>0.12206828/(exp(x0*(-0.32055673)/x2) + 0.004731309))
11,0.39517948,0.79722464 / (exp(cube((x0 * -0.097570136) / x2)) + 0.04064129),0.8452614830683262,0.79722464/(0.04064129 + exp(-0.000928861005219613*x0**3/x2**3)),PySRFunction(X=>0.79722464/(0.04064129 + exp(-0.000928861005219613*x0**3/x2**3)))
12,0.35802376,sqrt(0.6470754 / (exp(cube((-0.1150915 / x2) * x0)) + 0.0017931083)),0.09874068853526172,0.80440997010231*sqrt(1/(0.0017931083 + exp(-0.00152450815169231*x0**3/x2**3))),PySRFunction(X=>0.80440997010231*sqrt(1/(0.0017931083 + exp(-0.00152450815169231*x0**3/x2**3))))
13,0.32930222,0.79116386 / (exp(cube(((x0 + 0.09433324) * -0.09325508) / x2)) + 0.040802248),0.08362342198085052,0.79116386/(0.040802248 + exp(-0.000810993730716972*(x0 + 0.09433324)**3/x2**3)),PySRFunction(X=>0.79116386/(0.040802248 + exp(-0.000810993730716972*(x0 + 0.09433324)**3/x2**3)))
14,0.28015894,0.9012846 / (sqrt(exp(cube((x0 * -0.12671992) / x2)) * x0) + 0.0467667),0.1616188459544997,0.9012846/(sqrt(x0*exp(-0.00203486063454042*x0**3/x2**3)) + 0.0467667),PySRFunction(X=>0.9012846/(sqrt(x0*exp(-0.00203486063454042*x0**3/x2**3)) + 0.0467667))
15,0.17966759,0.86858505 / (exp(cube(cube(cube(x2 + ((x0 * -0.063220106) - 1.0493355))))) + 0.043980718),0.4442486636038786,0.86858505/(exp((x0*(-0.063220106) + x2 - 1*1.0493355)**27) + 0.043980718),PySRFunction(X=>0.86858505/(exp((x0*(-0.063220106) + x2 - 1*1.0493355)**27) + 0.043980718))
16,0.17109361,0.8923776 / (exp(cube(cube(((-0.07184905 * x0) - 0.22972453) / (0.1968503 + x2)))) + 0.046026245),0.048897587754449634,0.8923776/(exp((-0.07184905*x0 - 1*0.22972453)**9/(x2 + 0.1968503)**9) + 0.046026245),PySRFunction(X=>0.8923776/(exp((-0.07184905*x0 - 1*0.22972453)**9/(x2 + 0.1968503)**9) + 0.046026245))
17,0.15700199,0.86833423 / (exp(cube(cube(cube((x0 * -0.06361761) - (0.8198422 / (x2 + 0.7677016)))))) + 0.04398103),0.08595235319258551,0.86833423/(exp((x0*(-0.06361761) - 0.8198422/(x2 + 0.7677016))**27) + 0.04398103),PySRFunction(X=>0.86833423/(exp((x0*(-0.06361761) - 0.8198422/(x2 + 0.7677016))**27) + 0.04398103))
18,0.13057315,0.9282127 / (exp(cube(cube(cube(((x0 * -0.07389498) - 1.0735186) + (x2 ^ 0.8425979))))) + 0.047912855),0.18432487430784375,0.9282127/(exp((x0*(-0.07389498) + x2**0.8425979 - 1*1.0735186)**27) + 0.047912855),PySRFunction(X=>0.9282127/(exp((x0*(-0.07389498) + x2**0.8425979 - 1*1.0735186)**27) + 0.047912855))
20,0.12976281,(1.0549887 / (exp(cube(cube(cube((x2 ^ 0.8364475) + ((x0 * -0.07434654) - 1.07342))))) + 0.054116096)) + -0.13057497,0.0031126803114968084,-0.13057497 + 1.0549887/(exp((x0*(-0.07434654) + x2**0.8364475 - 1*1.07342)**27) + 0.054116096),PySRFunction(X=>-0.13057497 + 1.0549887/(exp((x0*(-0.07434654) + x2**0.8364475 - 1*1.07342)**27) + 0.054116096))
