complexity,loss,equation,score,sympy_format,lambda_format
1,105.21213,5.677226,0.0,5.67722600000000,PySRFunction(X=>5.67722600000000)
3,97.5085,C * 10.947096,0.03801952207401617,C*10.947096,PySRFunction(X=>C*10.947096)
4,71.9835,cube(2.3559144 - soc),0.3035026276043745,(2.3559144 - soc)**3,PySRFunction(X=>(2.3559144 - soc)**3)
5,37.979225,(1.5502335 - soc) ^ 7.9770174,0.639397626387317,(1.5502335 - soc)**7.9770174,PySRFunction(X=>(1.5502335 - soc)**7.9770174)
6,36.80544,exp(4.416173 - (28.00609 ^ soc)),0.03139363936273629,exp(4.416173 - 28.00609**soc),PySRFunction(X=>exp(4.416173 - 28.00609**soc))
7,22.606527,cube(C + cube(1.3928927 - soc)),0.4874069904448932,(C + (1.3928927 - soc)**3)**3,PySRFunction(X=>(C + (1.3928927 - soc)**3)**3)
8,18.697075,cube(cube(1.486712 - square(soc ^ C))),0.18987157537793992,(1.486712 - soc**(2*C))**9,PySRFunction(X=>(1.486712 - soc**(2*C))**9)
9,8.975791,exp(3.5398505 - cube((8.005652 ^ soc) - C)),0.7338360303182782,exp(3.5398505 - (8.005652**soc - C)**3),PySRFunction(X=>exp(3.5398505 - (8.005652**soc - C)**3))
10,2.8222008,exp(3.37164 - (((7.810039 ^ soc) - C) ^ 12.346904)),1.157014058087249,exp(3.37164 - (7.810039**soc - C)**12.346904),PySRFunction(X=>exp(3.37164 - (7.810039**soc - C)**12.346904))
11,2.494874,exp(exp(1.2144606 - (((7.0995107 ^ soc) - C) ^ 19.581877))),0.12327877918202274,exp(exp(1.2144606 - (7.0995107**soc - C)**19.581877)),PySRFunction(X=>exp(exp(1.2144606 - (7.0995107**soc - C)**19.581877)))
12,1.7337157,exp(3.3752503 - cube((cube(soc ^ C) * 66.57915) * soc)),0.3639713181808951,exp(3.3752503 - 295130.938570492*soc**3*soc**(9*C)),PySRFunction(X=>exp(3.3752503 - 295130.938570492*soc**3*soc**(9*C)))
13,1.284358,exp(exp(1.2176114 - cube((cube(soc ^ C) * soc) * 46.83363))),0.3000079261402309,exp(exp(1.2176114 - 102724.364140792*soc**3*soc**(9*C))),PySRFunction(X=>exp(exp(1.2176114 - 102724.364140792*soc**3*soc**(9*C))))
14,1.0853919,exp(exp(1.2144606 - square(square((cube(soc ^ C) * 52.909187) * soc)))),0.16831786267237903,exp(exp(1.2144606 - 7836539.96824415*soc**4*soc**(12*C))),PySRFunction(X=>exp(exp(1.2144606 - 7836539.96824415*soc**4*soc**(12*C))))
15,0.709274,exp(exp(1.2141244 - cube(soc * ((square(soc ^ C) * 34.627403) + -2.3802423)))),0.42545448723658086,exp(exp(1.2141244 - soc**3*(soc**(2*C)*34.627403 - 2.3802423)**3)),PySRFunction(X=>exp(exp(1.2141244 - soc**3*(soc**(2*C)*34.627403 - 2.3802423)**3)))
16,0.57336926,exp(exp(1.2136089 - square(square(((square(soc ^ C) * 38.309746) - 2.5478015) * soc)))),0.2127119697114546,exp(exp(1.2136089 - soc**4*(soc**(2*C)*38.309746 - 1*2.5478015)**4)),PySRFunction(X=>exp(exp(1.2136089 - soc**4*(soc**(2*C)*38.309746 - 1*2.5478015)**4)))
17,0.46971104,exp(exp(cube(1.0667994 - square(square(((square(soc ^ C) * 29.301643) + -1.9828179) * soc))))),0.19941224484564185,exp(exp((1.0667994 - soc**4*(soc**(2*C)*29.301643 - 1.9828179)**4)**3)),PySRFunction(X=>exp(exp((1.0667994 - soc**4*(soc**(2*C)*29.301643 - 1.9828179)**4)**3)))
19,0.3890469,exp(exp(cube(1.0667049 - square((soc ^ 2.2565014) * square(square((soc ^ C) * -6.436068) + -3.2068205))))),0.09420889760875542,exp(exp((1.0667049 - soc**4.5130028*(41.422971300624*soc**(2*C) - 3.2068205)**4)**3)),PySRFunction(X=>exp(exp((1.0667049 - soc**4.5130028*(41.422971300624*soc**(2*C) - 3.2068205)**4)**3)))
20,0.38904688,exp(exp(cube(1.0667049 - (square(square(square((soc ^ C) * -6.436068) + -3.2068205)) * square(soc ^ 2.2565014))))),5.140768509791373e-08,exp(exp((1.0667049 - soc**4.5130028*(41.422971300624*soc**(2*C) - 3.2068205)**4)**3)),PySRFunction(X=>exp(exp((1.0667049 - soc**4.5130028*(41.422971300624*soc**(2*C) - 3.2068205)**4)**3)))
21,0.3523384,exp(exp(cube(1.0673679 - square(square((square(soc ^ C) * 41.44322) + -3.218325) * (soc ^ 2.2569492))))) + -0.21221823,0.09910777307562114,exp(exp((1.0673679 - soc**4.5138984*(soc**(2*C)*41.44322 - 3.218325)**4)**3)) - 0.21221823,PySRFunction(X=>exp(exp((1.0673679 - soc**4.5138984*(soc**(2*C)*41.44322 - 3.218325)**4)**3)) - 0.21221823)
22,0.31504977,cube(exp(1.5018007 - square(square(((square(soc ^ C) * 51.3012) + -3.9479158) * (soc ^ 1.1168882)))) + -1.6056911) + 4.913326,0.11186145107544954,(exp(1.5018007 - soc**4.4675528*(soc**(2*C)*51.3012 - 3.9479158)**4) - 1.6056911)**3 + 4.913326,PySRFunction(X=>(exp(1.5018007 - soc**4.4675528*(soc**(2*C)*51.3012 - 3.9479158)**4) - 1.6056911)**3 + 4.913326)
23,0.28205147,cube(exp(exp(0.530858 - square(square(((square(soc ^ C) * 43.531536) + -3.371759) * (soc ^ 1.119276))))) + -2.5816379) + 4.7021613,0.11064105433067213,(exp(exp(0.530858 - soc**4.477104*(soc**(2*C)*43.531536 - 3.371759)**4)) - 2.5816379)**3 + 4.7021613,PySRFunction(X=>(exp(exp(0.530858 - soc**4.477104*(soc**(2*C)*43.531536 - 3.371759)**4)) - 2.5816379)**3 + 4.7021613)
25,0.26401344,cube(exp(exp(0.5337546 - square(square(((square(soc ^ C) * 48.658314) + -3.854382) * (soc ^ 1.1361454)) + -0.030778294))) + -2.6281667) + 5.08494,0.03304478053643707,(exp(exp(0.5337546 - (soc**2.2722908*(soc**(2*C)*48.658314 - 3.854382)**2 - 0.030778294)**2)) - 2.6281667)**3 + 5.08494,PySRFunction(X=>(exp(exp(0.5337546 - (soc**2.2722908*(soc**(2*C)*48.658314 - 3.854382)**2 - 0.030778294)**2)) - 2.6281667)**3 + 5.08494)
27,0.25590426,cube(exp(exp(0.5283234 - square(square((soc ^ 1.130545) * ((square(soc ^ C) * 48.660423) + -3.843869)) + -0.035951883))) + -2.5773022) + (5.2818637 - soc),0.015598310393217957,-soc + (exp(exp(0.5283234 - (soc**2.26109*(soc**(2*C)*48.660423 - 3.843869)**2 - 0.035951883)**2)) - 2.5773022)**3 + 5.2818637,PySRFunction(X=>-soc + (exp(exp(0.5283234 - (soc**2.26109*(soc**(2*C)*48.660423 - 3.843869)**2 - 0.035951883)**2)) - 2.5773022)**3 + 5.2818637)
28,0.24572149,cube(exp(exp(0.5283234 - square(square(((square(soc ^ C) * 48.658882) + -3.843869) * (soc ^ 1.130545)) + -0.035951883))) + -2.5773022) + (5.4427586 - sqrt(soc)),0.04060465006515428,-sqrt(soc) + (exp(1.69608626521479*exp(-(soc**2.26109*(48.658882*soc**(2*C) - 3.843869)**2 - 0.035951883)**2)) - 2.5773022)**3 + 5.4427586,PySRFunction(X=>-sqrt(soc) + (exp(1.69608626521479*exp(-(soc**2.26109*(48.658882*soc**(2*C) - 3.843869)**2 - 0.035951883)**2)) - 2.5773022)**3 + 5.4427586)
