complexity,loss,equation,score,sympy_format,lambda_format
1,105.076324,5.671928,0.0,5.67192800000000,PySRFunction(X=>5.67192800000000)
3,97.42003,C * 10.931233,0.03782757250595025,C*10.931233,PySRFunction(X=>C*10.931233)
4,71.88682,cube(2.355184 - soc),0.3039388985526786,(2.355184 - soc)**3,PySRFunction(X=>(2.355184 - soc)**3)
5,37.86405,(1.5521688 - soc) ^ 7.9336843,0.6410908246520469,(1.5521688 - soc)**7.9336843,PySRFunction(X=>(1.5521688 - soc)**7.9336843)
6,37.18411,78.31458 / exp(cube(exp(soc))),0.01812059363191605,78.31458/exp(exp(3*soc)),PySRFunction(X=>78.31458/exp(exp(3*soc)))
7,22.574598,cube(C + cube(1.3926488 - soc)),0.4990562276511611,(C + (1.3926488 - soc)**3)**3,PySRFunction(X=>(C + (1.3926488 - soc)**3)**3)
8,16.032001,(1.2332962 - cube(soc ^ C)) ^ 16.636192,0.34223850455782523,(1.2332962 - soc**(3*C))**16.636192,PySRFunction(X=>(1.2332962 - soc**(3*C))**16.636192)
9,14.853172,(1.0974749 - square(square(soc ^ C))) ^ 37.02833,0.07637334214519786,(1.0974749 - soc**(4*C))**37.02833,PySRFunction(X=>(1.0974749 - soc**(4*C))**37.02833)
10,8.972007,exp(cube(cube(-0.94107956 - soc) + C) - -3.4636796),0.5041040482697641,exp((C + (-soc - 0.94107956)**3)**3 - 1*(-3.4636796)),PySRFunction(X=>exp((C + (-soc - 0.94107956)**3)**3 - 1*(-3.4636796)))
11,5.86034,cube(exp(cube(C + cube(-0.8575457 - soc)) - -1.1411834)),0.42590177447912586,30.6781354336705*exp(3*(C + (-soc - 0.8575457)**3)**3),PySRFunction(X=>30.6781354336705*exp(3*(C + (-soc - 0.8575457)**3)**3))
12,3.587108,exp(cube(cube(exp(C) + cube(-1.2067701 - soc))) - -3.3535829),0.4908613155607722,exp(((-soc - 1.2067701)**3 + exp(C))**9 - 1*(-3.3535829)),PySRFunction(X=>exp(((-soc - 1.2067701)**3 + exp(C))**9 - 1*(-3.3535829)))
13,2.0760906,exp(cube(cube(cube((1.3473324 ^ C) - soc) + -1.9325064)) + 3.3999896),0.5468597008529703,exp(((1.3473324**C - soc)**3 - 1.9325064)**9 + 3.3999896),PySRFunction(X=>exp(((1.3473324**C - soc)**3 - 1.9325064)**9 + 3.3999896))
14,1.2134814,exp(cube(cube(cube(square((1.3432378 ^ C) - soc) + -1.9623104))) - -3.372971),0.536993187467716,exp(((1.3432378**C - soc)**2 - 1.9623104)**27 - 1*(-3.372971)),PySRFunction(X=>exp(((1.3432378**C - soc)**2 - 1.9623104)**27 - 1*(-3.372971)))
15,0.5778964,exp(exp(cube(cube(cube(cube((1.3428719 ^ C) - soc) + -1.9143322))) + 1.2128079)),0.7418540836314259,exp(exp(((1.3428719**C - soc)**3 - 1.9143322)**27 + 1.2128079)),PySRFunction(X=>exp(exp(((1.3428719**C - soc)**3 - 1.9143322)**27 + 1.2128079)))
16,0.43647906,exp(exp(cube(cube(cube(cube(cube((1.3429966 ^ C) - soc) + -1.875777))) + 1.0664451))),0.28065421223251874,exp(exp((((1.3429966**C - soc)**3 - 1.875777)**27 + 1.0664451)**3)),PySRFunction(X=>exp(exp((((1.3429966**C - soc)**3 - 1.875777)**27 + 1.0664451)**3)))
18,0.41113394,exp(exp(cube(cube(cube(cube(cube((1.3431875 ^ C) - soc) + -1.875207))) + 1.0669104))) + -0.17739165,0.029910676068120198,exp(exp((((1.3431875**C - soc)**3 - 1.875207)**27 + 1.0669104)**3)) - 0.17739165,PySRFunction(X=>exp(exp((((1.3431875**C - soc)**3 - 1.875207)**27 + 1.0669104)**3)) - 0.17739165)
19,0.4090248,exp(exp(cube(cube(cube(cube(cube((1.3436674 ^ C) - soc) + -1.8761878))) + 1.0667663)) - cube(soc)),0.005143259582754023,exp(-soc**3 + exp((((1.3436674**C - soc)**3 - 1.8761878)**27 + 1.0667663)**3)),PySRFunction(X=>exp(-soc**3 + exp((((1.3436674**C - soc)**3 - 1.8761878)**27 + 1.0667663)**3)))
20,0.3656823,exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8845993))) + 1.033007)) + 0.35817847) - soc,0.11201086624548967,-soc + exp(exp((((1.344516**C - soc)**3 - 1.8845993)**27 + 1.033007)**3) + 0.35817847),PySRFunction(X=>-soc + exp(exp((((1.344516**C - soc)**3 - 1.8845993)**27 + 1.033007)**3) + 0.35817847))
21,0.35831133,exp(exp(cube(cube(cube(cube(cube((1.344835 ^ C) - soc) + -1.8866467))) + 1.02276)) + 0.45909914) - sqrt(soc),0.020362678298716262,-sqrt(soc) + 1.58264759868801*exp(exp((((1.344835**C - soc)**3 - 1.8866467)**27 + 1.02276)**3)),PySRFunction(X=>-sqrt(soc) + 1.58264759868801*exp(exp((((1.344835**C - soc)**3 - 1.8866467)**27 + 1.02276)**3)))
22,0.358162,exp(exp(cube(cube(cube(cube(cube((1.344835 ^ C) - soc) + -1.8866467))) + 1.02276)) + 0.45930207) - (soc ^ 0.45930207),0.0004168473435356221,-soc**0.45930207 + exp(exp((((1.344835**C - soc)**3 - 1.8866467)**27 + 1.02276)**3) + 0.45930207),PySRFunction(X=>-soc**0.45930207 + exp(exp((((1.344835**C - soc)**3 - 1.8866467)**27 + 1.02276)**3) + 0.45930207))
23,0.35283902,(cube(1.1021591 - soc) + exp(exp(cube(cube(cube(cube(cube((1.345418 ^ C) - soc) + -1.8805944))) + 1.0647086)))) + -0.41297293,0.014973479089775919,(1.1021591 - soc)**3 + exp(exp((((1.345418**C - soc)**3 - 1.8805944)**27 + 1.0647086)**3)) - 0.41297293,PySRFunction(X=>(1.1021591 - soc)**3 + exp(exp((((1.345418**C - soc)**3 - 1.8805944)**27 + 1.0647086)**3)) - 0.41297293)
24,0.33341104,(exp(exp(cube(cube(cube(cube(cube((1.3441533 ^ C) - soc) + -1.8786204))) + 1.0645436))) + exp(cube(soc * -3.086079))) + -0.35210449,0.05663583577805403,exp(exp((((1.3441533**C - soc)**3 - 1.8786204)**27 + 1.0645436)**3)) - 0.35210449 + exp(-29.3914571586317*soc**3),PySRFunction(X=>exp(exp((((1.3441533**C - soc)**3 - 1.8786204)**27 + 1.0645436)**3)) - 0.35210449 + exp(-29.3914571586317*soc**3))
25,0.32266682,exp(exp(cube(cube(cube(cube(cube((1.3441533 ^ C) - soc) + -1.8786204))) + 1.0645436))) + (exp(cube(cube(soc * -3.086079))) + -0.35210449),0.03275580933081627,exp(exp((((1.3441533**C - soc)**3 - 1.8786204)**27 + 1.0645436)**3)) - 0.35210449 + exp(-25390.0381651294*soc**9),PySRFunction(X=>exp(exp((((1.3441533**C - soc)**3 - 1.8786204)**27 + 1.0645436)**3)) - 0.35210449 + exp(-25390.0381651294*soc**9))
26,0.2857187,(exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8804055))) + 1.0642165))) + exp(cube(C + (soc * -4.6146083)))) + -0.31139502,0.121612513447547,exp((C + soc*(-4.6146083))**3) + exp(exp((((1.344516**C - soc)**3 - 1.8804055)**27 + 1.0642165)**3)) - 0.31139502,PySRFunction(X=>exp((C + soc*(-4.6146083))**3) + exp(exp((((1.344516**C - soc)**3 - 1.8804055)**27 + 1.0642165)**3)) - 0.31139502)
27,0.26519457,exp(exp(cube(cube(cube(cube(cube((1.344516 ^ C) - soc) + -1.8804055))) + 1.0642165))) + (exp(cube(cube(C + (soc * -4.6146083)))) + -0.31139502),0.07454397737845168,exp((C + soc*(-4.6146083))**9) + exp(exp((((1.344516**C - soc)**3 - 1.8804055)**27 + 1.0642165)**3)) - 0.31139502,PySRFunction(X=>exp((C + soc*(-4.6146083))**9) + exp(exp((((1.344516**C - soc)**3 - 1.8804055)**27 + 1.0642165)**3)) - 0.31139502)
28,0.25707573,(exp(cube(cube(C + cube(-0.82636154 - soc)))) - 0.28467706) + exp(exp(cube(cube(cube(cube(cube((1.342881 ^ C) - soc) + -1.8776617))) + 1.064113))),0.031093072239506934,exp((C + (-soc - 0.82636154)**3)**9) + exp(exp((((1.342881**C - soc)**3 - 1.8776617)**27 + 1.064113)**3)) - 1*0.28467706,PySRFunction(X=>exp((C + (-soc - 0.82636154)**3)**9) + exp(exp((((1.342881**C - soc)**3 - 1.8776617)**27 + 1.064113)**3)) - 1*0.28467706)
29,0.23898378,exp(exp(cube(cube(C + cube(-0.8353474 - soc)))) + exp(cube(cube(cube(cube((-0.9671142 - soc) + ((C ^ 1.1714972) * 0.33535329))))) - -0.86611444)) + -0.32224214,0.07297502722974494,exp(exp((C + (-soc - 0.8353474)**3)**9) + exp((C**1.1714972*0.33535329 - soc - 0.9671142)**81 - 1*(-0.86611444))) - 0.32224214,PySRFunction(X=>exp(exp((C + (-soc - 0.8353474)**3)**9) + exp((C**1.1714972*0.33535329 - soc - 0.9671142)**81 - 1*(-0.86611444))) - 0.32224214)
30,0.23522787,exp(exp(cube(cube(cube(cube((((C ^ 1.1672112) * 0.3352311) - soc) + -0.9675628)))) - -0.86614716) + cube(exp(cube(cube(cube(-0.80669373 - soc) + C))))) - 0.31837946,0.015840979617250346,exp(exp(3*(C + (-soc - 0.80669373)**3)**9) + exp((C**1.1672112*0.3352311 - soc - 0.9675628)**81 - 1*(-0.86614716))) - 1*0.31837946,PySRFunction(X=>exp(exp(3*(C + (-soc - 0.80669373)**3)**9) + exp((C**1.1672112*0.3352311 - soc - 0.9675628)**81 - 1*(-0.86614716))) - 1*0.31837946)
