complexity,loss,equation,score,sympy_format,lambda_format
1,0.91349906,0.9184014,0.0,0.918401400000000,PySRFunction(X=>0.918401400000000)
3,0.25916627,0.27668247 / x2,0.6299062609853714,0.27668247/x2,PySRFunction(X=>0.27668247/x2)
5,0.24376081,(0.24981457 / x2) + 0.17394719,0.030641183612477172,0.17394719 + 0.24981457/x2,PySRFunction(X=>0.17394719 + 0.24981457/x2)
6,0.19847439,cube(x2) + (0.25789014 / x2),0.20552738344101734,x2**3 + 0.25789014/x2,PySRFunction(X=>x2**3 + 0.25789014/x2)
7,0.1728828,(x2 + (0.3090618 / x2)) + -0.547703,0.13804616589857882,x2 - 0.547703 + 0.3090618/x2,PySRFunction(X=>x2 - 0.547703 + 0.3090618/x2)
8,0.10857965,square(cube(square(x2 - 1.2016971))) + x2,0.46512990323055337,x2 + (x2 - 1*1.2016971)**12,PySRFunction(X=>x2 + (x2 - 1*1.2016971)**12)
9,0.09892753,(cube(cube(0.79915076 - x2)) * 79.91036) + x2,0.09309644316742255,x2 + (0.79915076 - x2)**9*79.91036,PySRFunction(X=>x2 + (0.79915076 - x2)**9*79.91036)
10,0.052935738,x2 + (cube(cube(square(1.1599469 - x2))) * x0),0.6253088745502752,x0*(1.1599469 - x2)**18 + x2,PySRFunction(X=>x0*(1.1599469 - x2)**18 + x2)
11,0.042276777,x2 + (cube(cube(square(x2 - 1.1641549))) * sqrt(x0)),0.22484075912422383,sqrt(x0)*(x2 - 1.1641549)**18 + x2,PySRFunction(X=>sqrt(x0)*(x2 - 1.1641549)**18 + x2)
12,0.01776523,x2 + (square(cube(cube(x2 - 1.1308831))) * sqrt(exp(x0))),0.8669947520057611,x2 + (x2 - 1.1308831)**18*sqrt(exp(x0)),PySRFunction(X=>x2 + (x2 - 1.1308831)**18*sqrt(exp(x0)))
13,0.013286993,x2 + (cube(cube(0.6570571 - x2)) * sqrt(exp(x0 + 11.691794))),0.2904575894164025,x2 + 345.812596599855*(0.6570571 - x2)**9*sqrt(exp(x0)),PySRFunction(X=>x2 + 345.812596599855*(0.6570571 - x2)**9*sqrt(exp(x0)))
15,0.012271078,(cube(cube(0.6385059 - x2)) * sqrt(exp((x0 + x2) + 12.203599))) + x2,0.03977023767695982,x2 + 446.660813461359*(0.6385059 - x2)**9*sqrt(exp(x0 + x2)),PySRFunction(X=>x2 + 446.660813461359*(0.6385059 - x2)**9*sqrt(exp(x0 + x2)))
17,0.012263683,((sqrt(exp((x2 + x0) + 12.212881)) * cube(cube(0.63819975 - x2))) + x2) + 0.002639941,0.00030140909968263914,x2 + 448.738584033844*(0.63819975 - x2)**9*sqrt(exp(x0 + x2)) + 0.002639941,PySRFunction(X=>x2 + 448.738584033844*(0.63819975 - x2)**9*sqrt(exp(x0 + x2)) + 0.002639941)
18,0.011356485,((sqrt(x2) * 1.3365281) + (sqrt(exp(x0 + 11.879196)) * cube(cube(0.6528909 - x2)))) - 0.416721,0.07685334682602964,1.3365281*sqrt(x2) + 379.782226391856*(0.6528909 - x2)**9*sqrt(exp(x0)) - 0.416721,PySRFunction(X=>1.3365281*sqrt(x2) + 379.782226391856*(0.6528909 - x2)**9*sqrt(exp(x0)) - 0.416721)
19,0.010967674,((0.16015689 / x1) + (sqrt(exp(x2 + (x0 + 12.382888))) * cube(cube(0.63247 - x2)))) + x2,0.03483672741075056,x2 + 488.551064849454*(0.63247 - x2)**9*sqrt(exp(x0 + x2)) + 0.16015689/x1,PySRFunction(X=>x2 + 488.551064849454*(0.63247 - x2)**9*sqrt(exp(x0 + x2)) + 0.16015689/x1)
