complexity,loss,equation,score,sympy_format,lambda_format
1,10.8001585,1.7116768,0.0,1.71167680000000,PySRFunction(X=>1.71167680000000)
3,6.288519,0.61811805 / x2,0.2704176100298262,0.61811805/x2,PySRFunction(X=>0.61811805/x2)
5,4.6024075,(x0 / x2) * 0.49435648,0.15607302686928684,x0*0.49435648/x2,PySRFunction(X=>x0*0.49435648/x2)
7,1.4689462,cube(x0 * (0.13414285 / x2)),0.5710171315912699,0.00241380724997626*x0**3/x2**3,PySRFunction(X=>0.00241380724997626*x0**3/x2**3)
9,1.0682647,cube((x0 * 0.13137633) / x2) + 0.66689944,0.1592548583482743,0.00226752130902514*x0**3/x2**3 + 0.66689944,PySRFunction(X=>0.00226752130902514*x0**3/x2**3 + 0.66689944)
11,0.98726624,square(-1.0878966 - ((x0 / x2) * -0.26710254)) + 0.4602759,0.039425542743829506,(-(-0.26710254)*x0/x2 - 1.0878966)**2 + 0.4602759,PySRFunction(X=>(-(-0.26710254)*x0/x2 - 1.0878966)**2 + 0.4602759)
12,0.8137014,exp((x2 / (x0 / -47.840195)) + 5.295972) + 0.7955361,0.19334628152861771,exp(x2/((x0/(-47.840195))) + 5.295972) + 0.7955361,PySRFunction(X=>exp(x2/((x0/(-47.840195))) + 5.295972) + 0.7955361)
13,0.5226795,4.780282 / (cube(((x0 / x2) * -0.115661755) - -2.3781135) - -0.24743326),0.44262500272471744,4.780282/((x0*(-0.115661755)/x2 - 1*(-2.3781135))**3 - 1*(-0.24743326)),PySRFunction(X=>4.780282/((x0*(-0.115661755)/x2 - 1*(-2.3781135))**3 - 1*(-0.24743326)))
15,0.44674858,(5.6001472 / (cube((x0 * (-0.13773832 / x2)) - -2.7728076) - -0.29839328)) - -0.37236744,0.07848624499461185,-1*(-0.37236744) + 5.6001472/((x0*(-0.13773832)/x2 - 1*(-2.7728076))**3 - 1*(-0.29839328)),PySRFunction(X=>-1*(-0.37236744) + 5.6001472/((x0*(-0.13773832)/x2 - 1*(-2.7728076))**3 - 1*(-0.29839328)))
17,0.36371255,(5.0455837 / (square(square(-2.9210804 - (-0.14488854 * (x0 / x2)))) - -0.27494112)) - -0.70177543,0.10281605883201789,-1*(-0.70177543) + 5.0455837/((-(-1)*0.14488854*x0/x2 - 2.9210804)**4 - 1*(-0.27494112)),PySRFunction(X=>-1*(-0.70177543) + 5.0455837/((-(-1)*0.14488854*x0/x2 - 2.9210804)**4 - 1*(-0.27494112)))
19,0.24127688,(((-0.20704205 / x2) + 11.1840725) * tanh((x2 / (x0 / -98.64997)) + 6.332039)) - -11.622339,0.20520935207873825,(11.1840725 - 0.20704205/x2)*tanh(x2/((x0/(-98.64997))) + 6.332039) - 1*(-11.622339),PySRFunction(X=>(11.1840725 - 0.20704205/x2)*tanh(x2/((x0/(-98.64997))) + 6.332039) - 1*(-11.622339))
21,0.22254145,((((-0.28217062 / x2) + 12.082719) * tanh((x2 / (x0 / -98.64828)) + 6.303594)) - -11.772401) + x2,0.0404158886553003,x2 + (12.082719 - 0.28217062/x2)*tanh(x2/((x0/(-98.64828))) + 6.303594) - 1*(-11.772401),PySRFunction(X=>x2 + (12.082719 - 0.28217062/x2)*tanh(x2/((x0/(-98.64828))) + 6.303594) - 1*(-11.772401))
22,0.20565791,exp(2.5358467 * (x2 + tanh((x2 / (x0 / -85.53646)) + 6.436532))) - (-0.26371905 / x2),0.07889921904546215,exp(2.5358467*(x2 + tanh(x2/((x0/(-85.53646))) + 6.436532))) - (-1)*0.26371905/x2,PySRFunction(X=>exp(2.5358467*(x2 + tanh(x2/((x0/(-85.53646))) + 6.436532))) - (-1)*0.26371905/x2)
24,0.19444355,exp((tanh((x2 / (x0 / -85.53646)) + 6.436532) + x2) * 2.5358467) - ((-0.2789896 / x2) + 0.13835642),0.028036133887339512,-(0.13835642 - 0.2789896/x2) + exp((x2 + tanh(x2/((x0/(-85.53646))) + 6.436532))*2.5358467),PySRFunction(X=>-(0.13835642 - 0.2789896/x2) + exp((x2 + tanh(x2/((x0/(-85.53646))) + 6.436532))*2.5358467))
25,0.15083544,x2 + (((0.133561 / x2) + (tanh((x2 / (x0 / -131.80966)) + 8.532362) * ((-0.21729645 / x2) + 10.329191))) - -9.869625),0.25395244834559605,x2 + (10.329191 - 0.21729645/x2)*tanh(x2/((x0/(-131.80966))) + 8.532362) - 1*(-9.869625) + 0.133561/x2,PySRFunction(X=>x2 + (10.329191 - 0.21729645/x2)*tanh(x2/((x0/(-131.80966))) + 8.532362) - 1*(-9.869625) + 0.133561/x2)
27,0.144142,(((0.15024431 / x2) + 9.662347) - (x2 * -1.4842418)) + (tanh((x2 / (x0 / -131.79904)) + 8.526625) * ((-0.23497891 / x2) + 10.495786)),0.02269525821310699,-(-1.4842418)*x2 + (10.495786 - 0.23497891/x2)*tanh(x2/((x0/(-131.79904))) + 8.526625) + 9.662347 + 0.15024431/x2,PySRFunction(X=>-(-1.4842418)*x2 + (10.495786 - 0.23497891/x2)*tanh(x2/((x0/(-131.79904))) + 8.526625) + 9.662347 + 0.15024431/x2)
