complexity,loss,equation,score,sympy_format,lambda_format
1,0.11742749,3.7534175,0.0,3.75341750000000,PySRFunction(X=>3.75341750000000)
3,0.0184571,soc + 3.2534037,0.9251859582018255,soc + 3.2534037,PySRFunction(X=>soc + 3.2534037)
4,0.0154842315,sqrt(soc) + 3.0900657,0.17562693678835467,sqrt(soc) + 3.0900657,PySRFunction(X=>sqrt(soc) + 3.0900657)
6,0.005691112,exp(sqrt(sqrt(soc))) + 1.5074737,0.5004582619482887,exp(soc**(1/4)) + 1.5074737,PySRFunction(X=>exp(soc**(1/4)) + 1.5074737)
7,0.0043588285,sqrt(sqrt(soc) * 3.4456398) + 2.279427,0.26670233102808416,1.85624346463496*soc**(1/4) + 2.279427,PySRFunction(X=>1.85624346463496*soc**(1/4) + 2.279427)
8,0.0018361219,soc + (3.2822444 - exp(soc * -51.673584)),0.8645476442662478,soc - exp(soc*(-51.673584)) + 3.2822444,PySRFunction(X=>soc - exp(soc*(-51.673584)) + 3.2822444)
9,0.0018361218,soc + (3.2822444 - square(exp(soc * -25.836792))),5.446261634550437e-08,soc + 3.2822444 - exp(-51.673584*soc),PySRFunction(X=>soc + 3.2822444 - exp(-51.673584*soc))
10,0.00089526805,((soc * 0.8780297) + 3.3491015) - exp(soc * -39.447067),0.7182877382081014,soc*0.8780297 - exp(soc*(-39.447067)) + 3.3491015,PySRFunction(X=>soc*0.8780297 - exp(soc*(-39.447067)) + 3.3491015)
11,0.0005668679,((exp(soc) * 0.48762172) - exp(soc * -27.972607)) + 2.9591117,0.4569968746573149,exp(soc)*0.48762172 - exp(soc*(-27.972607)) + 2.9591117,PySRFunction(X=>exp(soc)*0.48762172 - exp(soc*(-27.972607)) + 2.9591117)
13,0.0004869132,(tan(soc * 0.7210156) - exp(soc * -33.2829)) + 3.395016,0.07602021143657176,-exp(soc*(-33.2829)) + tan(soc*0.7210156) + 3.395016,PySRFunction(X=>-exp(soc*(-33.2829)) + tan(soc*0.7210156) + 3.395016)
14,0.00019059551,((soc * -8.323827) + (sqrt(soc) * ((soc * 4.747125) + 5.570729))) - -2.3116217,0.9379324393559663,sqrt(soc)*(4.747125*soc + 5.570729) - 8.323827*soc + 2.3116217,PySRFunction(X=>sqrt(soc)*(4.747125*soc + 5.570729) - 8.323827*soc + 2.3116217)
16,0.00016232753,((sqrt(soc) * ((soc * 6.8535743) + 5.9220996)) + ((-9.771953 - soc) * soc)) + 2.2924492,0.08026867473299994,sqrt(soc)*(6.8535743*soc + 5.9220996) + soc*(-soc - 9.771953) + 2.2924492,PySRFunction(X=>sqrt(soc)*(6.8535743*soc + 5.9220996) + soc*(-soc - 9.771953) + 2.2924492)
17,0.00013024437,square(sin(sqrt(sqrt((soc * 62.184822) - -0.026112301))) + (soc * 1.1304245)) - -2.1606767,0.22020362915766953,(1.1304245*soc + sin((62.184822*soc + 0.026112301)**(1/4)))**2 + 2.1606767,PySRFunction(X=>(1.1304245*soc + sin((62.184822*soc + 0.026112301)**(1/4)))**2 + 2.1606767)
19,9.3733535e-05,(square(sin(sqrt(sqrt((soc * 63.793644) + 0.07953653))) + (soc * 1.1177227)) - -1.8450166) * 1.1051915,0.16447821618572248,1.1051915*(1.1177227*soc + sin((63.793644*soc + 0.07953653)**(1/4)))**2 + 2.0390966636789,PySRFunction(X=>1.1051915*(1.1177227*soc + sin((63.793644*soc + 0.07953653)**(1/4)))**2 + 2.0390966636789)
21,9.373143e-05,(square((soc * 1.1177227) + sin(sqrt(sqrt((soc * 62.79668) + (soc + 0.079549216))))) - -1.8450638) * 1.1051915,1.122876479921464e-05,1.1051915*(1.1177227*soc + sin((63.79668*soc + 0.079549216)**(1/4)))**2 + 2.0391488287177,PySRFunction(X=>1.1051915*(1.1177227*soc + sin((63.79668*soc + 0.079549216)**(1/4)))**2 + 2.0391488287177)
22,9.030166e-05,(square((soc * 1.0892754) + sin(sqrt(sqrt((soc * (61.72801 - cube(soc))) - -0.06453459)))) - -1.9052356) * 1.0855607,0.03727772180889432,1.0855607*(1.0892754*soc + sin((soc*(61.72801 - soc**3) + 0.06453459)**(1/4)))**2 + 2.06824889160092,PySRFunction(X=>1.0855607*(1.0892754*soc + sin((soc*(61.72801 - soc**3) + 0.06453459)**(1/4)))**2 + 2.06824889160092)
23,7.920561e-05,square(-1.6749524 - (sin(sqrt(sqrt((soc * (64.741196 - cube(cube(soc)))) - -0.21338102))) + (soc * 1.1492563))) * 0.4379261,0.13110871377604033,0.4379261*(-1.1492563*soc - sin((soc*(64.741196 - soc**9) + 0.21338102)**(1/4)) - 1.6749524)**2,PySRFunction(X=>0.4379261*(-1.1492563*soc - sin((soc*(64.741196 - soc**9) + 0.21338102)**(1/4)) - 1.6749524)**2)
24,6.878223e-05,square((soc * 1.1522157) + (sin(sqrt(sqrt((soc * (64.74126 - cube(cube(cube(soc))))) - -0.21636476))) - -1.6744064)) * 0.4378432,0.14110170295085955,0.4378432*(1.1522157*soc + sin((soc*(64.74126 - soc**27) + 0.21636476)**(1/4)) + 1.6744064)**2,PySRFunction(X=>0.4378432*(1.1522157*soc + sin((soc*(64.74126 - soc**27) + 0.21636476)**(1/4)) + 1.6744064)**2)
25,6.770245e-05,(square(sin(sqrt(sqrt(((soc * 62.8668) - cube(cube(square(cube(soc))))) - -0.070725575))) + (1.1087688 * soc)) - -1.8840396) * 1.0915424,0.015823058361447172,1.0915424*(1.1087688*soc + sin((-soc**54 + 62.8668*soc + 0.070725575)**(1/4)))**2 + 2.05650910667904,PySRFunction(X=>1.0915424*(1.1087688*soc + sin((-soc**54 + 62.8668*soc + 0.070725575)**(1/4)))**2 + 2.05650910667904)
